case_id,rho_start,G_start_nm,pore_D50_nm,pore_log_width,phi_iso_fraction,phi_closed_fraction,state_class,final_rho_5,final_G_um_5,final_rho_50,final_G_um_50,HMS_density_miss,joint_rho_min,joint_rho_max,fast_smaller_G_fraction,fast_smaller_D90_fraction,span_ratio_ge_1p2,span_ratio_ge_1p5,barrier_mode,barrier_extrapolated
primary_000,0.62,35,10,0.45,0.0,0.0,primary_common_state,0.9996118932334023,2.185339046961313,0.9917419736893619,0.6705237696300603,0.011741973689361918,0.6200356447398778,0.9917419736893619,0.12,0.48,0.0,0.0,nearest_slice_clamp,True
primary_001,0.62,35,10,0.45,0.05,0.0,primary_common_state,0.983582858306674,2.1855692398963247,0.9730554812142925,0.6711081451318535,-0.006944518785707454,0.6200338625028838,0.9730554812142925,0.16,0.48,0.0,0.0,nearest_slice_clamp,True
primary_002,0.62,35,10,0.45,0.1,0.0,primary_common_state,0.9673414494551864,2.185803064022305,0.9543269380631038,0.6718091720199335,-0.025673061936896224,0.6200320802658901,0.9543269380631038,0.2,0.56,0.0,0.0,nearest_slice_clamp,True
primary_003,0.62,35,10,0.65,0.0,0.0,primary_common_state,0.9995494980253334,2.187337357669405,0.9904196858135488,0.6755249578406738,0.010419685813548796,0.6200356447398778,0.9904196858135488,0.2,0.84,0.0,0.0,nearest_slice_clamp,True
primary_004,0.62,35,10,0.65,0.05,0.0,primary_common_state,0.9844125952151948,2.187559415384731,0.9720087629394877,0.6760945969210447,-0.007991237060512302,0.6200338625028838,0.9720087629394877,0.2,0.92,0.0,0.0,nearest_slice_clamp,True
primary_005,0.62,35,10,0.65,0.1,0.0,primary_common_state,0.9690689876488826,2.1877991834968253,0.9535045949063797,0.6767079004631315,-0.02649540509362025,0.6200320802658901,0.9535045949063797,0.2,0.72,0.0,0.0,nearest_slice_clamp,True
primary_006,0.62,35,10,0.85,0.0,0.0,primary_common_state,0.9995063721389227,2.188442132377723,0.9895483750380581,0.6782064409127682,0.009548375038058166,0.6200356447398778,0.9895483750380581,0.24,0.28,0.0,0.0,nearest_slice_clamp,True
primary_007,0.62,35,10,0.85,0.05,0.0,primary_common_state,0.9847764250117276,2.1886677677834,0.9713007079528172,0.6787837732426811,-0.008699292047182783,0.620033862502884,0.9713007079528172,0.24,0.32,0.0,0.0,nearest_slice_clamp,True
primary_008,0.62,35,10,0.85,0.1,0.0,primary_common_state,0.9698498939055922,2.188913119413657,0.9529305261566386,0.6793997293174218,-0.027069473843361336,0.6200320802658901,0.9529305261566386,0.2,0.24,0.0,0.0,nearest_slice_clamp,True
primary_009,0.62,35,15,0.45,0.0,0.0,primary_common_state,0.9994912894668717,2.1871200925698315,0.9888287303765461,0.6755361226661523,0.008828730376546079,0.6200356447398778,0.9888287303765461,0.32,0.36,0.0,0.0,nearest_slice_clamp,True
