case_id,modified_parameter,parameter_value,T1_C,switch_density,hold_h,density_target,grain_threshold_um,T_lower_density_C,T_upper_growth_C,gap_C,lower_boundary_present,upper_boundary_present,success_band_present,finite_window_present,zero_width_or_isolated,lower_above_upper,lower_censored,upper_censored,success_count
pore_D50_nm_10,pore_D50_nm,10.0,1400,0.9,30,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0
pore_D50_nm_15,pore_D50_nm,15.0,1400,0.9,30,0.976,0.29,1200.0,1000.0,-200.0,True,True,False,False,False,True,False,False,0
pore_D50_nm_25,pore_D50_nm,25.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
pore_D50_nm_40,pore_D50_nm,40.0,1400,0.9,30,0.976,0.29,1300.0,,,True,False,False,False,False,False,False,True,0
pore_D50_nm_60,pore_D50_nm,60.0,1400,0.9,30,0.976,0.29,1300.0,,,True,False,False,False,False,False,False,True,0
pore_log_width_0.45,pore_log_width,0.45,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
pore_log_width_0.65,pore_log_width,0.65,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
pore_log_width_0.85,pore_log_width,0.85,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
tau_remove_scale_0.1,tau_remove_scale,0.1,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
tau_remove_scale_0.3,tau_remove_scale,0.3,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
tau_remove_scale_1,tau_remove_scale,1.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
tau_remove_scale_3,tau_remove_scale,3.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
tau_remove_scale_10,tau_remove_scale,10.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
PR_scale_0.1,PR_scale,0.1,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
PR_scale_0.3,PR_scale,0.3,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
PR_scale_1,PR_scale,1.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
PR_scale_3,PR_scale,3.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
PR_scale_10,PR_scale,10.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
rho_close_mid_0.84,rho_close_mid,0.84,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
rho_close_mid_0.87,rho_close_mid,0.87,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
rho_close_mid_0.9,rho_close_mid,0.9,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
rho_close_mid_0.93,rho_close_mid,0.93,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
rho_close_width_0.015,rho_close_width,0.015,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
rho_close_width_0.03,rho_close_width,0.03,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
rho_close_width_0.06,rho_close_width,0.06,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
closed_shrinkage_prefactor_0.1,closed_shrinkage_prefactor,0.1,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
closed_shrinkage_prefactor_0.3,closed_shrinkage_prefactor,0.3,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
closed_shrinkage_prefactor_1,closed_shrinkage_prefactor,1.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
closed_shrinkage_prefactor_3,closed_shrinkage_prefactor,3.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
closed_shrinkage_prefactor_10,closed_shrinkage_prefactor,10.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
closed_accommodation_capacity_0.3,closed_accommodation_capacity,0.3,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
closed_accommodation_capacity_1,closed_accommodation_capacity,1.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
closed_accommodation_capacity_3,closed_accommodation_capacity,3.0,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
zener_strength_0.1,zener_strength,0.1,1400,0.9,30,0.976,0.29,1200.0,,,True,False,False,False,False,False,False,True,0
