case,T_C,rho,activity,Lambda,sigma_eff_Pa,P_surf_W_m3,P_dens_W_m3,P_excess_W_m3
primary_000_5,950.0000000000001,0.6200356447398778,0.00011322479051186864,0.00011323761181674465,250000000.0,47227.852210048426,74.25987474534654,47153.59233530308
primary_000_5,980.0000000000001,0.6202583409605431,0.00013387196706807415,0.00013388989117117575,250000000.0,115320.45182038311,209.3900139950302,115111.06180638808
primary_000_5,1010.0000000000001,0.6208635628641114,0.0001572563382360709,0.00015728107168147735,250000000.0,269222.5206985972,561.83986944219,268660.680829155
primary_000_5,1040.0,0.6224311453359284,0.00018379342875056952,0.00018382721498470925,250000000.0,599814.3999335583,1437.0037585433604,598377.3961750149
primary_000_5,1070.0,0.626300592433016,0.00021428280410412684,0.00021432873106561965,250000000.0,1264808.08838078,3500.6619078719077,1261307.4264729081
primary_000_5,1100.0,0.6353643400227287,0.0002505769919672526,0.0002506397965335353,250000000.0,2471492.8116051536,8074.126857293668,2463418.68474786
primary_000_5,1130.0,0.6534578019374723,0.0002982467959822849,0.0002983357736709092,250000000.0,4286666.807526303,17314.850672449866,4269351.956853854
primary_000_5,1162.0590192922969,0.6867578122267907,0.0004017230864557021,0.0004018845327505975,250000000.0,6144317.470962808,33315.81434213471,6111001.656620673
primary_000_5,1188.5721329388634,0.7357150240218248,0.0006678223393924408,0.0006682686241083354,250000000.0,6545276.366274031,44899.48952814309,6500376.876745888
primary_000_5,1214.4063000720748,0.7938907860361852,0.0013725712649828932,0.0013744578062727145,250000000.0,5755901.518549936,48256.430687666274,5707645.08786227
primary_000_5,1239.8163848905947,0.8502826611939308,0.003223176194047813,0.003233598652244834,250000000.0,4379320.645201666,43629.07723645522,4335691.567965211
primary_000_5,1265.3037253022253,0.8980557532355842,0.008310956093183436,0.008380606949575587,250000000.0,2999663.3319142573,34442.12843873417,2965221.2034755233
primary_000_5,1290.559660910801,0.9337826440201439,0.021597863686059076,0.022074628503395817,250000000.0,1924495.3478581477,24876.758401219096,1899618.5894569287
primary_000_5,1315.6606441312097,0.9589070978483881,0.0508029691030298,0.05352204805678977,250000000.0,1167461.716918982,17232.471018623266,1150229.2459003588
primary_000_5,1341.3278368696829,0.9763709589049725,0.1032145203755077,0.11509387999761811,250000000.0,640961.0090042317,11392.814198991427,629568.1948052403
primary_000_5,1366.634422905638,0.9873369128732227,0.18248639870766922,0.22322123866709195,250000000.0,318757.494101926,6946.922153484359,311810.5719484416
primary_000_5,1392.4794398311806,0.9937676632144969,0.29367611553236267,0.41578109135260094,250000000.0,144019.5969597975,3733.072284452569,140286.52467534493
primary_000_5,1418.022789134117,0.997021972203145,0.42587517724400487,0.741781508766088,250000000.0,64326.168690944796,1821.583913638448,62504.58477730635
primary_000_5,1443.8008726904663,0.9985677317841073,0.5643450747575774,1.2953946852398022,250000000.0,30686.661254131726,828.6613845546889,29857.999869577037
primary_000_5,1469.5503535833413,0.999264855838796,0.6887332895992655,2.2126789232056603,250000000.0,16709.490824627865,373.4059311155159,16336.084893512349
primary_000_5,1495.0839655693826,0.9995822386290028,0.7870139540058438,3.69514326787135,250000000.0,10873.825148379738,175.40831242269516,10698.416835957043
primary_000_5,1499.8192229129904,0.9996118932334023,0.8022341085083955,4.05648366590278,250000000.0,10223.501829397277,153.43551742429736,10070.06631197298
primary_000_50,950.0000000000001,0.6200178223699389,0.00011322479051186864,0.00011323761181674465,250000000.0,47227.852210048426,74.25987474534654,47153.59233530308
primary_000_50,1050.0,0.6205864583276597,0.00019229345626923085,0.0001923304401543139,250000000.0,794463.3226882302,1962.176769213159,792501.145919017
primary_000_50,1150.0,0.6303929462455852,0.00030623236927938374,0.00030632617627011525,250000000.0,8757749.14625222,32439.240464140556,8725309.90578808
primary_000_50,1299.1389467196182,0.7670797201451341,0.0013434295969855005,0.0013452368279551303,250000000.0,41864388.52113332,441148.0226835457,41423240.49844977
primary_000_50,1399.6621088203906,0.936944114146447,0.030934293787595265,0.031921771237269365,250000000.0,11829650.531331642,214520.75889131954,11615129.772440322
primary_000_50,1499.3736510118147,0.9917419736893619,0.27447332152976744,0.37830906798422953,250000000.0,1209775.1261078042,42270.84634159255,1167504.2797662118
primary_001_5,950.0000000000001,0.6200338625028838,0.00011322479051186864,0.00011323761181674465,250000000.0,44866.459599546026,70.54688100807923,44795.91271853795
primary_001_5,980.0000000000001,0.6202454176201113,0.000133883652381361,0.00013390157961389932,250000000.0,109554.4317308895,198.91182993726858,109355.51990095223
primary_001_5,1010.0000000000001,0.6208203083436825,0.00015730629443265563,0.00015733104359612294,250000000.0,255761.49276325465,533.6631302040824,255227.82963305057
primary_001_5,1040.0,0.6223089782932196,0.00018396039817773668,0.00018399424583246242,250000000.0,569825.5928211046,1364.5347431712496,568461.0580779333
primary_001_5,1070.0,0.6259814334839913,0.00021480172742459588,0.00021484787711973472,250000000.0,1201596.1024602854,3321.6273011348294,1198274.4751591505
primary_001_5,1100.0,0.634570274384499,0.00025220309813777855,0.0002522667205862674,250000000.0,2348270.4117886443,7645.9418607727985,2340624.4699278716
primary_001_5,1134.9130791970974,0.6536985515814391,0.00031570323137152597,0.00031580293137743845,250000000.0,4380285.365137376,18227.6180144059,4362057.74712297
primary_001_5,1163.4609527795942,0.6847894574346894,0.0004356015444069886,0.00043579137580332774,250000000.0,5908636.07411848,31409.89012366414,5877226.183994816
primary_001_5,1189.7709050324197,0.7305952195034484,0.0007379117234315406,0.0007384566392428839,250000000.0,6326846.30050309,41783.27121289445,6285063.029290196
primary_001_5,1215.1280909395773,0.7838915926097278,0.0014836421709760676,0.0014858466357044015,250000000.0,5642015.19712007,45218.41393013235,5596796.783189938
primary_001_5,1240.3128972145855,0.8365839335668976,0.0034118309293874843,0.003423511371371439,250000000.0,4352874.823896762,41404.98343488091,4311469.840461881
primary_001_5,1265.5670264635392,0.881792925090904,0.008615051873788583,0.008689915950480838,250000000.0,3018073.47003485,33117.81670246086,2984955.653332389
primary_001_5,1291.1299185964267,0.91666375195592,0.022400856114442824,0.022914152753252804,250000000.0,1935449.4963051279,24031.152696911708,1911418.3436082161
primary_001_5,1316.5901982373762,0.9413442777489942,0.05269346358182828,0.05562451176687298,250000000.0,1166149.975892893,16657.947062082683,1149492.0288308105
primary_001_5,1341.7815218899568,0.9580946504382205,0.10479028116601673,0.11705668399412239,250000000.0,645639.4015901372,11123.876719643518,634515.5248704937
primary_001_5,1367.2314120705078,0.9690312948984656,0.18508796080417925,0.22712630554192026,250000000.0,318851.55677848356,6764.445780045857,312087.1109984377
primary_001_5,1392.1805216121443,0.975399694757092,0.2925351441050445,0.41349777542657207,250000000.0,147745.84956049247,3717.0766822362966,144028.77287825616
primary_001_5,1417.736969641715,0.9790220210561036,0.4245457760104529,0.7377576848200607,250000000.0,65769.82213686452,1816.8492420413247,63952.97289482319
primary_001_5,1443.5204357659222,0.9810618185573997,0.5630173252968795,1.2884202461330647,250000000.0,31244.973607586508,827.337547350169,30417.63606023634
primary_001_5,1469.2704666076515,0.9823756365052874,0.6875800121412324,2.200819534158805,250000000.0,16925.67248184126,372.93322909538944,16552.73925274587
primary_001_5,1494.801645013983,0.9834253280412693,0.7861141779379964,3.6753917130145677,250000000.0,10956.990862380304,175.15799013120588,10781.832872249099
primary_001_5,1499.5362187859923,0.983582858306674,0.8013827175776722,4.0348085916997904,250000000.0,10293.963233085606,153.20641296579356,10140.756820119812
primary_001_50,950.0000000000001,0.6200169312514419,0.00011322479051186864,0.00011323761181674465,250000000.0,44866.459599546026,70.54688100807923,44795.91271853795
primary_001_50,1050.0,0.6205571214513735,0.0001923050493931458,0.0001923420377382134,250000000.0,754740.1603470684,1864.011712163725,752876.1486349048
primary_001_50,1150.0,0.6298686936785326,0.0003065906260743075,0.0003066846527139905,250000000.0,8319887.3312699115,30799.275793697383,8289088.055476214
primary_001_50,1299.8808619221777,0.7586984547100653,0.001457408719058779,0.0014595358593459686,250000000.0,40807667.30760411,411177.6854871312,40396489.62211698
primary_001_50,1400.5476244299762,0.9199685922236075,0.03221606809142647,0.03328849243021935,250000000.0,11845771.217409924,206829.7963096605,11638941.421100263
primary_001_50,1499.2344387021244,0.9730554812142925,0.27425104706533493,0.37788693453344074,250000000.0,1234467.0051067583,41853.58105802159,1192613.4240487367
primary_002_5,950.0000000000001,0.6200320802658901,0.00011322479051186864,0.00011323761181674465,250000000.0,42505.066989043626,66.8338872708119,42438.233101772814
primary_002_5,980.0000000000001,0.620232488317884,0.0001339082891565503,0.00013392622298794384,250000000.0,103788.41402671796,188.4254457610382,103599.98858095692
primary_002_5,1010.0000000000001,0.6207769832336927,0.00015741021314028792,0.0001574349950164092,250000000.0,242300.55634192316,505.40871074172685,241795.14763118143
primary_002_5,1040.0,0.6221862681608078,0.00018430123903050928,0.0001843352122385218,250000000.0,539838.5137536871,1291.5228772575829,538546.9908764296
primary_002_5,1070.0,0.6256588164457106,0.00021582950345874565,0.00021587609588933005,250000000.0,1138408.5094792463,3139.337735247122,1135269.1717439992
primary_002_5,1100.0,0.6337569891831794,0.0002552515098966174,0.00025531667986465465,250000000.0,2225323.3336639823,7200.668462328959,2218122.6652016533
primary_002_5,1130.8930963332718,0.6482551688423682,0.00031643597981314083,0.0003165361432377726,250000000.0,3907346.799607257,15489.943541757044,3891856.8560655
primary_002_5,1158.9197350148584,0.6747069121346416,0.00043592514809740607,0.0004361152617074534,250000000.0,5444554.512718133,26815.286185987956,5417739.2265321445
primary_002_5,1184.8937936392076,0.7140286322527905,0.0007091334518322641,0.0007096366789399475,250000000.0,6127911.126496634,37015.27260414559,6090895.853892488
primary_002_5,1210.5476366796688,0.7630222435266508,0.0013727353754255003,0.0013746223681781495,250000000.0,5734879.774681046,42131.92968277757,5692747.844998268
primary_002_5,1235.7239495477838,0.8131950858842993,0.0030359910090282625,0.0030452363191134572,250000000.0,4599710.359619824,40318.60603834416,4559391.75358148
primary_002_5,1261.206329591003,0.8583661948429571,0.007530784804099073,0.007587927855890816,250000000.0,3265787.3328794925,33330.490494716054,3232456.8423847766
primary_002_5,1286.4639066768636,0.8935123388562388,0.019224965359929756,0.0196018094679429,250000000.0,2143735.896300265,24856.304995014758,2118879.5913052503
primary_002_5,1311.459110387811,0.9188216637911666,0.04537242995001246,0.047528933139482456,250000000.0,1325502.5437312627,17580.873698104413,1307921.6700331583
primary_002_5,1336.6733887399141,0.9366882550752185,0.09263384444074355,0.10209091872469998,250000000.0,748749.8641802607,11930.291478393354,736819.5727018673
primary_002_5,1361.6146703901582,0.9484655139348314,0.16517019923556858,0.19784894967133018,250000000.0,383280.5366220542,7509.359551979207,375771.17707007495
primary_002_5,1387.1663482565332,0.9559242005949884,0.26918925804556587,0.36834332419042326,250000000.0,176121.21206391128,4174.01457393507,171947.1974899762
primary_002_5,1412.4662340026198,0.960253999835751,0.39648222602143535,0.6569520287823658,250000000.0,78657.99808109326,2095.179876783223,76562.81820431004
primary_002_5,1438.0258992019499,0.9629427980207654,0.5342398011352457,1.1470275958259293,250000000.0,36717.12811787837,970.2180648523952,35746.910053025975
primary_002_5,1463.5730136036673,0.9649040320239917,0.6620465466373916,1.9589873695625362,250000000.0,19273.35706854862,439.46372734825025,18833.893341200368
primary_002_5,1488.9147370611495,0.9666537165993397,0.7658719554517953,3.271167095465619,250000000.0,11988.692974166428,205.42064663921326,11783.272327527215
primary_002_5,1499.530105822103,0.9673414494551864,0.8013979101616224,4.035193742491834,250000000.0,10332.376174886866,151.7086504326513,10180.667524454215
primary_002_50,950.0000000000001,0.620016040132945,0.00011322479051186864,0.00011323761181674465,250000000.0,42505.066989043626,66.8338872708119,42438.233101772814
primary_002_50,1050.0,0.6205277717146005,0.00019232919147878764,0.00019236618911240748,250000000.0,715017.0016434311,1765.7949374980615,713251.2067059331
primary_002_50,1191.9071028390968,0.6336128876943206,0.00037366149889032837,0.0003738011739972912,250000000.0,18409531.170914084,82276.4821716982,18327254.688742384
primary_002_50,1304.9399445785684,0.7588467651873169,0.001785218508594964,0.001788411213394094,250000000.0,38514606.93139708,381505.6643793691,38133101.267017715
primary_002_50,1405.2780752526633,0.9066288144886611,0.03761152821564151,0.03908144093404008,250000000.0,11087013.380696127,189849.9578368707,10897163.422859257
primary_002_50,1499.4544450530511,0.9543269380631038,0.2755782396081565,0.38041132207168216,250000000.0,1247816.7663260521,41060.758157832686,1206756.0081682194
primary_003_5,950.0000000000001,0.6200356447398778,0.00011322479051186864,0.00011323761181674465,250000000.0,33587.417177302144,74.25987474534654,33513.1573025568
primary_003_5,980.0000000000001,0.6202583432181141,0.0001338679700761412,0.00013388589310887351,250000000.0,81982.0388326981,209.39314071536032,81772.64569198275
primary_003_5,1010.0000000000001,0.620863591001021,0.00015723871863620057,0.00015726344653902268,250000000.0,191196.0162901564,561.8713425410208,190634.1449476154
primary_003_5,1040.0,0.6224313770450145,0.00018373253489559454,0.00018376629874349105,250000000.0,424851.3724094413,1437.2415510687356,423414.13085837255
primary_003_5,1070.0,0.6263022155937608,0.0002140870200660121,0.00021413286313257837,250000000.0,889966.238414108,3502.2552344047963,886463.9831797032
primary_003_5,1100.0,0.635374769832716,0.0002499534595469801,0.0002500159518990992,250000000.0,1710948.1450291646,8084.074836567892,1702864.0701925966
primary_003_5,1128.7068259130638,0.6516864253642134,0.00029405448195223824,0.0002941409754243876,250000000.0,2798509.763046122,16831.239397402223,2781678.52364872
primary_003_5,1160.0908433932082,0.6837622765987263,0.0003927306745298289,0.00039288497251009543,250000000.0,3678730.1830834737,32165.20798783658,3646564.975095637
primary_003_5,1186.4336921728832,0.7304964568867389,0.0006790811485076867,0.000679542613085841,250000000.0,3540751.4443161087,42816.56802720118,3497934.8762889076
primary_003_5,1212.1664407461994,0.7857353039760445,0.0014521002875217822,0.0014542119491112043,250000000.0,2801892.3819416985,45965.105530046276,2755927.276411652
primary_003_5,1237.6019515109147,0.8400144755487148,0.003479142591409351,0.0034912892846585375,250000000.0,1930246.6874572523,42394.203518926624,1887852.4839383257
primary_003_5,1263.189164190388,0.8874372830084414,0.008972934797946735,0.009054177340875456,250000000.0,1208807.2392161,34711.44815788452,1174095.7910582155
primary_003_5,1288.6282502802233,0.9245351331257624,0.022864844375458444,0.02339987896643044,250000000.0,718129.6367300854,26275.80364211074,691853.8330879746
primary_003_5,1313.8081628455066,0.951847536190988,0.051726043251784544,0.054547573392357517,250000000.0,409343.215115721,19165.07816674135,390178.13694897963
primary_003_5,1339.014884806551,0.9713755778076374,0.1011766066193391,0.1125656134057581,250000000.0,219006.69098535695,13299.570078012017,205707.12090734494
primary_003_5,1363.96937879885,0.9842263569300082,0.17614937457818167,0.21381227268959316,250000000.0,111841.41198404106,8426.931205576904,103414.48077846415
primary_003_5,1389.0959820049811,0.9919638311883,0.2803670115343619,0.38959721973299893,250000000.0,56528.16208492536,4736.14497646758,51792.01710845778
primary_003_5,1414.7337684569975,0.9961443710601422,0.4101972826380609,0.6954821850817935,250000000.0,29729.700711420242,2355.954811585816,27373.745899834426
primary_003_5,1440.5369976938919,0.9981546286384048,0.5485275766139112,1.2149747098613444,250000000.0,17301.592597964598,1084.37081897155,16217.221778993047
primary_003_5,1466.2684410037978,0.9990657927315293,0.6748763020468828,2.0757524176050675,250000000.0,11391.251147605313,490.59133826882976,10900.659809336483
primary_003_5,1491.7574848232798,0.9994797236448496,0.7761315385924691,3.4669087986431313,250000000.0,8583.748912505052,230.03793740375573,8353.710975101296
primary_003_5,1498.8552476308978,0.9995494980253334,0.7995107446190725,3.987798463812986,250000000.0,8107.946177117547,188.07514209107867,7919.871035026469
primary_003_50,950.0000000000001,0.6200178223699389,0.00011322479051186864,0.00011323761181674465,250000000.0,33587.417177302144,74.25987474534654,33513.1573025568
primary_003_50,1050.0,0.6205864635247385,0.00019228934927677875,0.00019232633158192743,250000000.0,564851.9566260899,1962.1977345216285,562889.7588915683
primary_003_50,1190.9412736899399,0.636542087781266,0.0003683614927088019,0.0003684972328995719,250000000.0,13615813.74816254,89235.15752317544,13526578.590639364
primary_003_50,1302.8565995290437,0.7742838732374943,0.0016948887309171004,0.001697766255811807,250000000.0,19583261.35020277,414250.6504643065,19169010.69973846
primary_003_50,1402.9726746548404,0.9340222853944103,0.0378936821122758,0.03938616908313236,250000000.0,3870705.055294511,214859.0737511539,3655845.981543357
primary_003_50,1499.6809935871051,0.9904196858135488,0.2787384430095347,0.3864595864121723,250000000.0,402294.5592759138,48230.52960365282,354064.029672261
primary_004_5,950.0000000000001,0.6200338625028838,0.00011322479051186864,0.00011323761181674465,250000000.0,31908.046318437053,70.54688100807921,31837.499437428974
primary_004_5,980.0000000000001,0.6202454229384949,0.0001338737810220905,0.00013389170561096814,250000000.0,77882.9379223348,198.9191652235349,77684.01875711126
primary_004_5,1010.0000000000001,0.6208203726313315,0.00015726430830947908,0.00015728904426222964,250000000.0,181636.2568399812,533.7343522540076,181102.52248772717
primary_004_5,1040.0,0.6223094871130933,0.00018382159754668387,0.00018385539413895207,250000000.0,403609.63609189476,1365.0491011385884,402244.58699075616
primary_004_5,1070.0,0.6259848100983314,0.00021438154408243314,0.0002144275133838461,250000000.0,845480.8791368678,3324.865959180033,842156.0131776878
primary_004_5,1100.0,0.6345903154382824,0.00025097699594421873,0.00025104000120958415,250000000.0,1625573.7761146347,7664.36438369,1617909.4117309446
primary_004_5,1129.203172761906,0.6500742536554569,0.0002989695884728536,0.00029905899801842034,250000000.0,2679978.759351793,16076.780002231173,2663901.979349562
primary_004_5,1160.472324307491,0.6803652635227369,0.00041769840455968603,0.0004178729494239691,250000000.0,3516394.283428011,29926.22080140179,3486468.062626609
primary_004_5,1186.9377294373699,0.7242404070639752,0.0007370781867451216,0.0007376218717368449,250000000.0,3432912.0239188964,39681.377092767034,3393230.6468261294
primary_004_5,1212.4010385960028,0.7751757436199176,0.0015432540249687259,0.001545639339099942,250000000.0,2770687.13275483,43085.98285650315,2727601.149898327
primary_004_5,1237.6667459274513,0.8260620449749954,0.003622019309417089,0.0036351860233871203,250000000.0,1940982.1120458094,40295.313296869776,1900686.7987489395
primary_004_5,1263.0267001903553,0.8710352966792494,0.009149191046303465,0.009233671672493952,250000000.0,1232285.2669148757,33441.64351148888,1198843.623403387
primary_004_5,1288.1430717431622,0.906569371393929,0.022833038416372003,0.023366568164940874,250000000.0,740499.8104400295,25648.755802477488,714851.054637552
primary_004_5,1313.506682184785,0.9335722961662677,0.051690459256643374,0.054508002962961315,250000000.0,420687.9364716577,18796.889294681867,401891.0471769759
primary_004_5,1338.8354991772594,0.9530206985603161,0.10115141635986302,0.11253443371988445,250000000.0,223796.41315707273,13080.613731181505,210715.79942589122
primary_004_5,1363.8635876700228,0.9659896825576173,0.17614723218948866,0.21380911623034454,250000000.0,113489.80439083118,8301.184854777643,105188.61953605353
primary_004_5,1389.0357364184729,0.9740323744613565,0.2803957703181232,0.3896527546010684,250000000.0,56924.620785818275,4669.57098597251,52255.049799845765
primary_004_5,1414.7024020006138,0.9786917139899696,0.41025509505324304,0.6956483924015952,250000000.0,29732.91535342253,2323.976495236016,27408.938858186513
primary_004_5,1440.5239113838466,0.9813165358996111,0.5486013037594099,1.2153364826446287,250000000.0,17221.499955199022,1069.9490717111075,16151.550883487915
primary_004_5,1466.2670428253273,0.9829344853270264,0.6749495154793502,2.0764451911975907,250000000.0,11301.632518074823,484.15168231686266,10817.48083575796
primary_004_5,1491.7636986779985,0.9841198000667688,0.7761933777389576,3.4681430330226117,250000000.0,8497.538464653193,227.04774247843193,8270.490722174762
primary_004_5,1498.8630951579116,0.9844125952151948,0.7995685286559943,3.9892364372442977,250000000.0,8023.320269414337,185.6362423923684,7837.684027021969
primary_004_50,950.0000000000001,0.6200169312514419,0.00011322479051186864,0.00011323761181674465,250000000.0,31908.046318437053,70.54688100807921,31837.499437428974
primary_004_50,1050.0,0.6205571332306272,0.00019229526827940234,0.00019233225286156516,250000000.0,536609.3603491532,1864.0591431435032,534745.3012060097
primary_004_50,1192.711878228864,0.6365560668016212,0.0003725987487969673,0.0003727376303716733,250000000.0,13347023.382641701,88258.62652477172,13258764.756116929
primary_004_50,1305.6846649768527,0.769172319071536,0.0019383763690509544,0.0019421409692110389,250000000.0,18821024.781430766,387918.0465561189,18433106.734874647
primary_004_50,1405.8279933949625,0.919217447894633,0.04146148466617412,0.04325489691119456,250000000.0,3728038.964755757,202893.08347901542,3525145.881276741
primary_004_50,1499.8684973558898,0.9720087629394877,0.2798514345991565,0.3886023635184051,250000000.0,402859.2132428927,47246.22753189722,355612.9857109955
primary_005_5,950.0000000000001,0.6200320802658901,0.00011322479051186864,0.00011323761181674465,250000000.0,30228.675459571943,66.83388727081189,30161.84157230113
primary_005_5,980.0000000000001,0.620232498414713,0.00013388853113782852,0.00013390645967702454,250000000.0,73783.83843379679,188.4393519373319,73595.39908185946
