case_id,two_step_final_rho,two_step_final_G_um,density_ok,grain_ok,strict_success,comparator_status
primary_000,0.967885750701414,0.4766391501881651,True,False,False,optional high-temperature isothermal comparator not previously defined
primary_001,0.9517197619507045,0.5017397501472485,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_002,0.9365598524414867,0.5386106029961029,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_003,0.9639590693632142,0.5039714748719637,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_004,0.9489018229781268,0.531074137172997,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_005,0.9350407496616222,0.5649824265449692,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_006,0.9616538085712013,0.5191753007583709,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_007,0.9473446175364311,0.5455344971273175,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_008,0.9341315760165475,0.5774097023184249,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_009,0.9608473114428386,0.5195809159830818,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_010,0.9460037408482019,0.5486996979437562,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_011,0.9325574214916459,0.5850881306352724,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_012,0.9576062806379791,0.5451326930445497,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_013,0.9438925041070653,0.5709356909042765,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_014,0.9310229471829693,0.6040045066669593,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_015,0.9558942338131078,0.5570963624624545,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_016,0.9427464045339465,0.5821795754149327,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_017,0.9303549344000714,0.6164584194915892,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_018,0.9530271600418001,0.5769683699768094,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_019,0.9402294275118949,0.604274676100655,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_020,0.9284997628410907,0.643278806830217,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_021,0.948836126516705,0.6061545381438481,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_022,0.9362516834952207,0.6459048335832148,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_023,0.924271450725434,0.704682847015628,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_024,0.9362918739537507,0.6525438932359675,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_025,0.9258868131340071,0.7152855519701712,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_026,0.9165695771672263,0.8069418848099561,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_027,0.928893814598988,0.718434924675615,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_028,0.9204794258887191,0.8042969488812621,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_029,0.9133156082404255,0.9284729133494702,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_030,0.9142465868454536,0.8282613914566705,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_031,0.9095974434271886,0.9873680711925077,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_032,0.9057873623829993,1.2263851298770068,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_033,0.9092088812685306,0.9275599112353657,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_034,0.9058261703989168,1.131751043238828,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_035,0.9032533332830425,1.453076710330876,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_036,0.9079891807525772,0.9798961572726833,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_037,0.9051036974290455,1.1841322598661066,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_038,0.9033647579694544,1.5162234853025462,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_039,0.9039897486812322,1.2030422232994586,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_040,0.9026190597370053,1.5089841346844597,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_041,0.9014508900632555,2.010356603321483,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_042,0.9027179391989791,1.3883120547435126,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_043,0.9017628092560315,1.7650021502208428,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_044,0.9007923923830535,2.3840428941696126,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_045,0.9679257973068032,0.4771140157307982,True,False,False,optional high-temperature isothermal comparator not previously defined
primary_046,0.9517178636086153,0.5017296239955653,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_047,0.9365604971455512,0.5385732485144349,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_048,0.9638630252692166,0.503050579370403,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_049,0.948770670067563,0.529880566450093,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_050,0.9348918661714688,0.5637556004479226,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_051,0.9615492725154962,0.5182857376112607,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_052,0.9473223746210588,0.5452730357668265,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_053,0.9340807649572266,0.5768872765485961,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_054,0.9609300885191148,0.5202374525338066,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_055,0.9460659413917605,0.5491018656295772,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_056,0.9324190772032716,0.5840226036095839,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_057,0.9575964315510177,0.54500401935088,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_058,0.9438968083074533,0.5708475360408478,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_059,0.9312781673208653,0.6055415958996725,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_060,0.9557981665285322,0.556519538773993,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_061,0.9427040509726158,0.5818106137901247,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_062,0.9303656871005394,0.6163546363022194,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_063,0.9531604492297828,0.5775109079376279,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_064,0.9403835841205613,0.6049631680378792,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_065,0.9286655045840875,0.6442058914698287,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_066,0.9489151259276927,0.6067535505648957,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_067,0.9360672861802056,0.6441266521073744,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_068,0.9243674856825431,0.7059233487554236,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_069,0.9363791414521346,0.6533544864877374,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_070,0.9259959992034915,0.7164952685042092,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_071,0.9166929469677451,0.8086791034541786,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_072,0.9285816888822377,0.7157307416776358,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_073,0.9206560642157342,0.8061870008292005,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_074,0.913010539716885,0.9242416371412057,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_075,0.913874289296792,0.8242442468771367,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_076,0.909251630846386,0.9823256993294243,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_077,0.9054735966423761,1.2197626929522196,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_078,0.9088103842536808,0.9226402322327399,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_079,0.9060313041553244,1.1353352913228096,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_080,0.903432041125682,1.4578594618426328,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_081,0.9082615724576373,0.9830508280235186,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_082,0.9053399432475877,1.1880185214542678,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_083,0.9030199815113511,1.5073626161142237,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_084,0.9035276721867033,1.1959317625054238,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_085,0.9022282827061288,1.499928782750106,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_086,0.9016293691475621,2.0173902262877164,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_087,0.9022635855864839,1.379937379767904,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_088,0.9013796720948803,1.7542267993883613,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_089,0.900967033151381,2.392493353119547,False,False,False,optional high-temperature isothermal comparator not previously defined
primary_090,0.9678518738198727,0.4764101259948631,True,False,False,optional high-temperature isothermal comparator not previously defined
primary_091,0.9517206802936915,0.5018389661096887,False,False,False,optional high-temperature isothermal comparator not previously defined
