case_id,modified_parameter,parameter_value
pore_D50_nm_10,pore_D50_nm,10.0
pore_D50_nm_15,pore_D50_nm,15.0
pore_D50_nm_25,pore_D50_nm,25.0
pore_D50_nm_40,pore_D50_nm,40.0
pore_D50_nm_60,pore_D50_nm,60.0
pore_log_width_0.45,pore_log_width,0.45
pore_log_width_0.65,pore_log_width,0.65
pore_log_width_0.85,pore_log_width,0.85
tau_remove_scale_0.1,tau_remove_scale,0.1
tau_remove_scale_0.3,tau_remove_scale,0.3
tau_remove_scale_1,tau_remove_scale,1.0
tau_remove_scale_3,tau_remove_scale,3.0
tau_remove_scale_10,tau_remove_scale,10.0
PR_scale_0.1,PR_scale,0.1
PR_scale_0.3,PR_scale,0.3
PR_scale_1,PR_scale,1.0
PR_scale_3,PR_scale,3.0
PR_scale_10,PR_scale,10.0
rho_close_mid_0.84,rho_close_mid,0.84
rho_close_mid_0.87,rho_close_mid,0.87
rho_close_mid_0.9,rho_close_mid,0.9
rho_close_mid_0.93,rho_close_mid,0.93
rho_close_width_0.015,rho_close_width,0.015
rho_close_width_0.03,rho_close_width,0.03
rho_close_width_0.06,rho_close_width,0.06
closed_shrinkage_prefactor_0.1,closed_shrinkage_prefactor,0.1
closed_shrinkage_prefactor_0.3,closed_shrinkage_prefactor,0.3
closed_shrinkage_prefactor_1,closed_shrinkage_prefactor,1.0
closed_shrinkage_prefactor_3,closed_shrinkage_prefactor,3.0
closed_shrinkage_prefactor_10,closed_shrinkage_prefactor,10.0
closed_accommodation_capacity_0.3,closed_accommodation_capacity,0.3
closed_accommodation_capacity_1,closed_accommodation_capacity,1.0
closed_accommodation_capacity_3,closed_accommodation_capacity,3.0
zener_strength_0.1,zener_strength,0.1
zener_strength_0.3,zener_strength,0.3
zener_strength_1,zener_strength,1.0
zener_strength_3,zener_strength,3.0
zener_strength_10,zener_strength,10.0
mobile_drag_scale_0.1,mobile_drag_scale,0.1
mobile_drag_scale_0.3,mobile_drag_scale,0.3
mobile_drag_scale_1,mobile_drag_scale,1.0
mobile_drag_scale_3,mobile_drag_scale,3.0
mobile_drag_scale_10,mobile_drag_scale,10.0
