state_id,source,T_C,inside_both_pass_nuc_growth,inside_both_pass_nuc_PR,inside_both_pass_nuc_transport,inside_OAT_Delta_Q_nuc,inside_OAT_Delta_Q_growth,inside_PR_prefactor_threshold,inside_growth_prefactor_threshold,physical_input_classification,closed_channel_mapping_status,closed_channel_classification
PDF_conditioned_nominal,representative_state,900.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
PDF_conditioned_nominal,representative_state,1000.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
PDF_conditioned_nominal,representative_state,1100.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
PDF_conditioned_nominal,representative_state,1200.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
PDF_conditioned_nominal,representative_state,1300.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
PDF_conditioned_nominal,representative_state,1400.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
PDF_conditioned_nominal,representative_state,1500.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
T1_switch_like,representative_state,900.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
T1_switch_like,representative_state,1000.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
T1_switch_like,representative_state,1100.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
T1_switch_like,representative_state,1200.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
T1_switch_like,representative_state,1300.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
T1_switch_like,representative_state,1400.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
T1_switch_like,representative_state,1500.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
candidate_like_injected,representative_state,900.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1000.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1100.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1200.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1300.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1400.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
candidate_like_injected,representative_state,1500.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,900.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1000.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1100.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1200.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1300.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1400.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
resolved_best_prepared,representative_state,1500.0,True,True,True,True,True,True,True,physical_input_inside_range,apparent_proxy_only,apparent_proxy_not_physical_property
history_50C,existing_history,950.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_50C,existing_history,1000.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_50C,existing_history,1050.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_50C,existing_history,1100.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_50C,existing_history,1195.3949665996456,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_50C,existing_history,1256.87923764167,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_50C,existing_history,1310.4560230759355,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_50C,existing_history,1362.1487351748456,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_50C,existing_history,1413.3812777995176,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_50C,existing_history,1463.645884967751,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_50C,existing_history,1499.2847729572436,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,950.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,960.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,970.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,980.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,990.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1000.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1010.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1020.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1030.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1040.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1050.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1060.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1070.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1080.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1090.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1100.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1110.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1120.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1138.0323413358442,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1150.5476762900016,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1164.569343730111,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1175.5365622033603,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1187.4673955483076,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1199.7631336918143,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1210.2236253335254,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1221.194255472422,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1232.573945607921,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1242.8796909680036,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1253.7087313255488,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1263.7882235115271,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1274.4581404639152,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1284.5886190368235,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1295.3606904862254,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1305.7375863201437,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1315.8045147883695,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1326.5942101350497,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1337.1459148838494,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1347.5059307465372,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1357.709842687475,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1367.785712801167,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1378.6582963322026,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1389.431184801399,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1400.1299988078558,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1410.789966384913,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1421.4788374535,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1432.3485315062608,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1442.748358051358,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1452.950428329993,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1463.1199793050705,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1473.1800561379837,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1484.2739669445823,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1494.7723618618938,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_5C,existing_history,1499.4709761665504,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_high_T2,existing_history,950.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_high_T2,existing_history,1300.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_high_T2,existing_history,1300.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_high_T2,existing_history,1300.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_high_T2,existing_history,1300.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_high_T2,existing_history,1300.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
history_high_T2,existing_history,1300.0,True,True,True,True,True,True,True,physical_input_inside_range,mapping_unidentified,insufficient_state_support
