model,switch_density,switch_G_nm,closed_fraction_at_switch,A_closed_at_switch,closed_density_gain_after_switch,highT_reference_G_nm,two_step_density_gain,T2_success_band,lower_boundary_cause,upper_boundary_cause,Q_closed_app_kJ_mol,log10_prefactor_app,status
resolved_forward,0.8,,0.0757768,0.994638,0.0356299910119775,2293.6,0.2984097558991784,none,density exhaustion / closed-rate limitation,intrinsic growth,118-137 apparent only,,"conditional forward diagnostic, not validation"
candidate_693168,0.8800000102226334,117.06676548485184,0.6494175043485234,0.1521739946592898,0.2439174127336666,1122.8446064842246,0.09999998990468517,930-1200,closed accommodation density exhaustion,grain growth,not estimated; different reduced layer,,"conditional comparator, not validation"
