parameter_id,parent,variation,mechanism_mode,A_J,tau_J_ref_s,XJ_prod_TJ,lambda_TJ_ref,K_TJ0,Q_TJ_event_J_mol,q_TJ,success_5pct,success_10pct,has_lower_failure,has_upper_failure,decision,reason
mech_009_A_half,mech_009,A_half,persistent_tj_multihit_q1,6.0,1350000.0,1.0,0.5,1.0,340000.0,1,9,11,True,True,promising_reduced_only,
mech_009_A_double,mech_009,A_double,persistent_tj_multihit_q1,24.0,1350000.0,1.0,0.5,1.0,340000.0,1,11,11,True,True,promising_reduced_only,
mech_009_tau_low,mech_009,tau_low,persistent_tj_multihit_q1,12.0,405000.0,1.0,0.5,1.0,340000.0,1,9,11,True,True,promising_reduced_only,
mech_009_tau_high,mech_009,tau_high,persistent_tj_multihit_q1,12.0,4050000.0,1.0,0.5,1.0,340000.0,1,11,11,True,True,promising_reduced_only,
mech_009_prod_half,mech_009,prod_half,persistent_tj_multihit_q1,12.0,1350000.0,0.5,0.5,1.0,340000.0,1,11,11,True,True,promising_reduced_only,
mech_009_prod_double,mech_009,prod_double,persistent_tj_multihit_q1,12.0,1350000.0,2.0,0.5,1.0,340000.0,1,11,11,True,True,promising_reduced_only,
mech_009_lambda_half,mech_009,lambda_half,persistent_tj_multihit_q1,12.0,1350000.0,1.0,0.25,1.0,340000.0,1,11,11,True,True,promising_reduced_only,
mech_009_lambda_double,mech_009,lambda_double,persistent_tj_multihit_q1,12.0,1350000.0,1.0,1.0,1.0,340000.0,1,9,9,True,True,promising_reduced_only,
mech_009_Q_minus40,mech_009,Q_minus40,persistent_tj_multihit_q1,12.0,1350000.0,1.0,0.5,1.0,300000.0,1,11,11,True,True,promising_reduced_only,
mech_009_Q_plus40,mech_009,Q_plus40,persistent_tj_multihit_q1,12.0,1350000.0,1.0,0.5,1.0,380000.0,1,10,11,True,True,promising_reduced_only,
mech_009_q0_visible,mech_009,q0_visible,persistent_tj_multihit_q0,12.0,1350000.0,1.0,0.5,1.0,340000.0,0,4,7,True,True,promising_reduced_only,
mech_019_A_half,mech_019,A_half,persistent_tj_multihit_q1,24.0,450000.0,2.0,1.5,2.0,380000.0,1,10,11,True,True,promising_reduced_only,
mech_019_A_double,mech_019,A_double,persistent_tj_multihit_q1,96.0,450000.0,2.0,1.5,2.0,380000.0,1,11,12,True,True,promising_reduced_only,
mech_019_tau_low,mech_019,tau_low,persistent_tj_multihit_q1,48.0,135000.0,2.0,1.5,2.0,380000.0,1,9,11,True,True,promising_reduced_only,
mech_019_tau_high,mech_019,tau_high,persistent_tj_multihit_q1,48.0,1350000.0,2.0,1.5,2.0,380000.0,1,11,11,True,True,promising_reduced_only,
mech_019_prod_half,mech_019,prod_half,persistent_tj_multihit_q1,48.0,450000.0,1.0,1.5,2.0,380000.0,1,11,11,True,True,promising_reduced_only,
mech_019_prod_double,mech_019,prod_double,persistent_tj_multihit_q1,48.0,450000.0,4.0,1.5,2.0,380000.0,1,11,11,True,True,promising_reduced_only,
mech_019_lambda_half,mech_019,lambda_half,persistent_tj_multihit_q1,48.0,450000.0,2.0,0.75,2.0,380000.0,1,11,13,True,True,promising_reduced_only,
mech_019_lambda_double,mech_019,lambda_double,persistent_tj_multihit_q1,48.0,450000.0,2.0,3.0,2.0,380000.0,1,9,9,True,True,promising_reduced_only,
mech_019_Q_minus40,mech_019,Q_minus40,persistent_tj_multihit_q1,48.0,450000.0,2.0,1.5,2.0,340000.0,1,11,11,True,True,promising_reduced_only,
mech_019_Q_plus40,mech_019,Q_plus40,persistent_tj_multihit_q1,48.0,450000.0,2.0,1.5,2.0,420000.0,1,11,11,True,True,promising_reduced_only,
mech_019_q0_visible,mech_019,q0_visible,persistent_tj_multihit_q0,48.0,450000.0,2.0,1.5,2.0,380000.0,0,7,9,True,True,promising_reduced_only,
