mechanism_mode,A_J,XJ_capacity,XJ_prod_TJ,XJ_prod_relocation,XJ_prod_sweep,tau_J_ref_s,Q_relax_J_mol,J_size_exp,lambda_TJ_ref,Q_TJ_event_J_mol,K_TJ0,q_TJ,packet_G_ref,parameter_id
persistent_junction,6.0,1.0,0.5,8.0,0.4,50000.0,380000.0,1.0,0.5,340000.0,1.0,0,1.5e-07,mech_000
tj_multihit_q0,6.0,1.0,0.5,8.0,0.4,50000.0,380000.0,1.0,0.5,340000.0,1.0,0,1.5e-07,mech_001
tj_multihit_q1,6.0,1.0,0.5,8.0,0.4,50000.0,380000.0,1.0,0.5,340000.0,1.0,1,1.5e-07,mech_002
persistent_tj_multihit_q0,6.0,1.0,0.5,8.0,0.4,150000.0,380000.0,1.0,0.5,340000.0,1.0,0,1.5e-07,mech_003
persistent_tj_multihit_q1,6.0,1.0,0.5,8.0,0.4,150000.0,380000.0,1.0,0.5,340000.0,1.0,1,1.5e-07,mech_004
persistent_junction,12.0,1.0,0.5,8.0,0.4,150000.0,380000.0,1.0,0.5,340000.0,1.0,0,1.5e-07,mech_005
tj_multihit_q0,12.0,1.0,0.5,8.0,0.4,450000.0,380000.0,1.0,0.5,340000.0,1.0,0,1.5e-07,mech_006
tj_multihit_q1,12.0,1.0,1.0,8.0,0.4,450000.0,380000.0,1.0,0.5,340000.0,1.0,1,1.5e-07,mech_007
persistent_tj_multihit_q0,12.0,1.0,1.0,8.0,0.4,450000.0,380000.0,1.0,0.5,340000.0,1.0,0,1.5e-07,mech_008
persistent_tj_multihit_q1,12.0,1.0,1.0,8.0,0.4,1350000.0,380000.0,1.0,0.5,340000.0,1.0,1,1.5e-07,mech_009
persistent_junction,24.0,1.0,1.0,8.0,0.4,1350000.0,380000.0,1.0,0.5,340000.0,1.0,0,1.5e-07,mech_010
tj_multihit_q0,24.0,1.0,1.0,8.0,0.4,1350000.0,380000.0,1.0,1.5,340000.0,1.0,0,1.5e-07,mech_011
tj_multihit_q1,24.0,1.0,1.0,8.0,0.4,50000.0,380000.0,1.0,1.5,340000.0,1.0,1,1.5e-07,mech_012
persistent_tj_multihit_q0,24.0,1.0,1.0,8.0,0.4,50000.0,380000.0,1.0,1.5,340000.0,2.0,0,1.5e-07,mech_013
