parameter_id,mechanism_mode,G0_nm,T1_C,rho_switch,growth_tolerance,map_type,T2_min_searched_C,T2_max_searched_C,T2_cap_C,extension_model_extrapolative,boundary_status,n_success,T_lower_density_C,T_first_success_C,T_last_success_C,T_upper_growth_C,window_width_C,lower_bracketed,upper_bracketed
mech_009,persistent_tj_multihit_q1,75.0,1350.0,0.85,0.1,practical,900.0,1300.0,1550.0,True,COMPLETE_WINDOW,1,1260.0,1260.0,1260.0,1270.0,0.0,True,True
mech_009,persistent_tj_multihit_q1,100.0,1300.0,0.85,0.1,practical,900.0,1275.0,1550.0,True,COMPLETE_WINDOW,1,1260.0,1260.0,1260.0,1270.0,0.0,True,True
mech_009,persistent_tj_multihit_q1,100.0,1350.0,0.85,0.1,practical,900.0,1300.0,1550.0,True,COMPLETE_WINDOW,2,1260.0,1260.0,1270.0,1275.0,10.0,True,True
mech_009,persistent_tj_multihit_q1,150.0,1350.0,0.75,0.05,practical,900.0,1325.0,1550.0,True,COMPLETE_WINDOW,3,1270.0,1270.0,1300.0,1310.0,30.0,True,True
mech_009,persistent_tj_multihit_q1,150.0,1350.0,0.75,0.1,practical,900.0,1325.0,1550.0,True,COMPLETE_WINDOW,4,1270.0,1270.0,1310.0,1320.0,40.0,True,True
mech_009,persistent_tj_multihit_q1,150.0,1350.0,0.8,0.05,practical,900.0,1325.0,1550.0,True,COMPLETE_WINDOW,3,1270.0,1270.0,1300.0,1310.0,30.0,True,True
mech_009,persistent_tj_multihit_q1,150.0,1350.0,0.8,0.1,practical,900.0,1325.0,1550.0,True,COMPLETE_WINDOW,5,1270.0,1270.0,1320.0,1325.0,50.0,True,True
mech_009,persistent_tj_multihit_q1,150.0,1350.0,0.85,0.05,practical,900.0,1325.0,1550.0,True,COMPLETE_WINDOW,4,1245.0,1245.0,1300.0,1310.0,55.0,True,True
mech_009,persistent_tj_multihit_q1,150.0,1350.0,0.85,0.1,practical,900.0,1325.0,1550.0,True,COMPLETE_WINDOW,6,1245.0,1245.0,1320.0,1325.0,75.0,True,True
mech_009,persistent_tj_multihit_q1,225.0,1350.0,0.75,0.05,practical,900.0,1345.0,1550.0,True,COMPLETE_WINDOW,4,1270.0,1270.0,1310.0,1320.0,40.0,True,True
mech_009,persistent_tj_multihit_q1,225.0,1350.0,0.75,0.1,practical,900.0,1345.0,1550.0,True,COMPLETE_WINDOW,6,1270.0,1270.0,1325.0,1335.0,55.0,True,True
mech_009,persistent_tj_multihit_q1,225.0,1350.0,0.8,0.05,practical,900.0,1345.0,1550.0,True,COMPLETE_WINDOW,5,1260.0,1260.0,1310.0,1320.0,50.0,True,True
mech_009,persistent_tj_multihit_q1,225.0,1350.0,0.8,0.1,practical,900.0,1345.0,1550.0,True,COMPLETE_WINDOW,7,1260.0,1260.0,1325.0,1335.0,65.0,True,True
mech_009,persistent_tj_multihit_q1,225.0,1350.0,0.85,0.05,practical,900.0,1345.0,1550.0,True,COMPLETE_WINDOW,6,1235.0,1235.0,1310.0,1320.0,75.0,True,True
mech_009,persistent_tj_multihit_q1,225.0,1350.0,0.85,0.1,practical,900.0,1345.0,1550.0,True,COMPLETE_WINDOW,8,1235.0,1235.0,1325.0,1335.0,90.0,True,True
