parameter_id,rho,P_persistent_junction_drag,P_TJ_multihit,P_clean_GB_discovery
nominal_persistent,0.7000000000000002,9.406112442793797e-27,0.0,2.3625970157475887e-14
nominal_persistent,0.7000000000000002,2.239526568981881e-26,0.0,3.8510618638973875e-14
nominal_persistent,0.7000000000000002,5.281404604009525e-26,0.0,6.233053408435525e-14
nominal_persistent,0.7000000000000002,1.232665536141227e-25,0.0,1.0018827015396594e-13
nominal_persistent,0.7000000000000002,2.8456011769000694e-25,0.0,1.5995317523601346e-13
nominal_persistent,0.7000000000000002,6.498668570287939e-25,0.0,2.536829448858294e-13
nominal_persistent,0.7000000000000002,1.467987198651152e-24,0.0,3.9973557051851426e-13
nominal_persistent,0.7000000000000002,3.2799489103724637e-24,0.0,6.258877458781527e-13
nominal_persistent,0.7000000000000002,7.249843175255908e-24,0.0,9.739117381755105e-13
nominal_persistent,0.7000000000000003,1.5854191301093503e-23,0.0,1.5062534024241868e-12
nominal_persistent,0.7000000000000005,3.4308507469582393e-23,0.0,2.3157199384524073e-12
nominal_persistent,0.7000000000000007,7.348086729741379e-23,0.0,3.539454812161068e-12
nominal_persistent,0.7000000000000012,1.5579186420446528e-22,0.0,5.378986043624278e-12
nominal_persistent,0.7000000000000018,3.2703047711205285e-22,0.0,8.128832208149639e-12
nominal_persistent,0.7000000000000028,6.798104139897748e-22,0.0,1.2217103527773744e-11
nominal_persistent,0.7000000000000044,1.3996718931501375e-21,0.0,1.826282982271542e-11
nominal_persistent,0.7000000000000066,2.854845312193345e-21,0.0,2.715649640262153e-11
nominal_persistent,0.7000000000000102,5.769449387417254e-21,0.0,4.0172621615906305e-11
nominal_persistent,0.7000000000000157,1.1554729844807385e-20,0.0,5.912635878946433e-11
nominal_persistent,0.7000000000000237,2.2936856572284656e-20,0.0,8.659030063525313e-11
nominal_persistent,0.7000000000000358,4.513675138308965e-20,0.0,1.2619322805338867e-10
nominal_persistent,0.7000000000000537,8.806873524011935e-20,0.0,1.8302989106131702e-10
nominal_persistent,0.7000000000000801,1.7040338766997686e-19,0.0,2.6422056557694656e-10
nominal_persistent,0.700000000000119,3.2701606918158786e-19,0.0,3.796717680689583e-10
nominal_persistent,0.7000000000001756,6.225319679896893e-19,0.0,5.431059821989392e-10
nominal_persistent,0.7000000000002582,1.175767707993442e-18,0.0,7.734496320283007e-10
nominal_persistent,0.7000000000003779,2.203500133690907e-18,0.0,1.0966961756041367e-09
nominal_persistent,0.7000000000005505,4.0982555283410215e-18,0.0,1.5483967813993463e-09
nominal_persistent,0.7000000000007985,7.565553950181007e-18,0.0,2.1769766965285606e-09
nominal_persistent,0.700000000001153,1.3864302429939955e-17,0.0,3.048133739327669e-09
nominal_persistent,0.7000000000016577,2.5224902538759567e-17,0.0,4.250649592151984e-09
nominal_persistent,0.7000000000023731,4.55713979989338e-17,0.0,5.904038732071768e-09
nominal_persistent,0.7000000000033828,8.17603163200934e-17,0.0,8.168578832084202e-09
nominal_persistent,0.7000000000048026,1.456916981178315e-16,0.0,1.1258416312294924e-08
nominal_persistent,0.7000000000067903,2.578829175021887e-16,0.0,1.5458628765147672e-08
nominal_persistent,0.7000000000095628,4.534800760963848e-16,0.0,2.114736115679867e-08
nominal_persistent,0.7000000000134142,7.923059143829952e-16,0.0,2.88244458516733e-08
nominal_persistent,0.7000000000187445,1.3755511483268497e-15,0.0,3.914828071131304e-08
nominal_persistent,0.7000000000260937,2.373333535596434e-15,0.0,5.298319055336376e-08
nominal_persistent,0.7000000000361893,4.06993053894327e-15,0.0,7.146005406213483e-08
nominal_persistent,0.700000000050007,6.9375864945768525e-15,0.0,9.605366349430784e-08
nominal_persistent,0.7000000000688515,1.1756256293164652e-14,0.0,1.2868112528874823e-07
nominal_persistent,0.7000000000944617,1.980678480703118e-14,0.0,1.7182663818043758e-07
nominal_persistent,0.7000000001291462,3.3180841497330325e-14,0.0,2.2869923986090586e-07
nominal_persistent,0.7000000001759608,5.5275484728972666e-14,0.0,3.034316388531328e-07
nominal_persistent,0.7000000002389358,9.157815440971352e-14,0.0,4.013300984506572e-07
nominal_persistent,0.7000000003233711,1.509061523183963e-13,0.0,5.291875771141941e-07
nominal_persistent,0.7000000004362127,2.473537432265356e-13,0.0,6.95675028330584e-07
nominal_persistent,0.7000000005865357,4.03335510657657e-13,0.0,9.118290088860811e-07
nominal_persistent,0.70000000078616,6.543197604291338e-13,0.0,1.1916576384958137e-06
nominal_persistent,0.7000000010504339,1.0561549222379808e-12,0.0,1.5528916130237565e-06
nominal_persistent,0.7000000013992271,1.6963556217510494e-12,0.0,2.0179125343098113e-06
nominal_persistent,0.7000000018581857,2.711407569664986e-12,0.0,2.6148974396701944e-06
nominal_persistent,0.7000000024603146,4.313179830476724e-12,0.0,3.37922627579099e-06
nominal_persistent,0.7000000032479679,6.8290567755713796e-12,0.0,4.355208375204982e-06
nominal_persistent,0.7000000042753391,1.0762647852192339e-11,0.0,5.598195000598465e-06
nominal_persistent,0.7000000056115786,1.6885229565270665e-11,0.0,7.1771580002396195e-06
nominal_persistent,0.7000000073446735,2.6372892329208776e-11,0.0,9.177829884406768e-06
nominal_persistent,0.7000000095862727,4.101137950997548e-11,0.0,1.1706518550486981e-05
nominal_persistent,0.7000000124776651,6.35007781124442e-11,0.0,1.489473086665882e-05
nominal_persistent,0.7000000161971682,9.790691405388663e-11,0.0,1.890476384056393e-05
nominal_persistent,0.7000000209692356,1.5032744928536108e-10,0.0,2.3936450683003266e-05
nominal_persistent,0.7000000270756521,2.2987099070149927e-10,0.0,3.0235282330539425e-05
nominal_persistent,0.7000000348692585,3.5009081879860604e-10,0.0,3.810216359592093e-05
nominal_persistent,0.7000000447907346,5.310764655539572e-10,0.0,4.790510783863678e-05
nominal_persistent,0.7000000573890643,8.024937596506243e-10,0.0,6.009322575194876e-05
nominal_persistent,0.7000000733464293,1.2079874532836732e-09,0.0,7.521342351437144e-05
nominal_persistent,0.7000000935084081,1.811534466552576e-09,0.0,9.393029423448727e-05
nominal_persistent,0.7000001189205171,2.7065798898347997e-09,0.0,0.00011704976553529486
nominal_persistent,0.7000001508723106,4.0291293450810836e-09,0.0,0.0001455471566216417
nominal_persistent,0.7000001909504667,5.976447371875767e-09,0.0,0.00018060040174329848
nominal_persistent,0.7000002411025257,8.833673067358288e-09,0.0,0.00022362931525809096
nominal_persistent,0.7000003037132212,1.3011580576677394e-08,0.0,0.00027634190833668006
nominal_persistent,0.7000003816956613,1.9099977289137183e-08,0.0,0.00034078892073785425
nominal_persistent,0.7000004785999635,2.794297403869668e-08,0.0,0.0004194279052183424
nominal_persistent,0.7000005987423619,4.074475093056176e-08,0.0,0.0005151983994237753
nominal_persistent,0.7000007473582446,5.9217710429350335e-08,0.0,0.0006316099431459569
nominal_persistent,0.7000009307830976,8.578936535027088e-08,0.0,0.0007728449504479163
nominal_persistent,0.7000011566658964,1.2389036654078978e-07,0.0,0.000943878729385756
nominal_persistent,0.7000014342201154,1.7835428338062606e-07,0.0,0.0011506192601363665
nominal_persistent,0.7000017745182345,2.5597083973604866e-07,0.0,0.0014000696987050503
nominal_persistent,0.7000021908363872,3.6624924424286324e-07,0.0,0.001700516971638242
nominal_persistent,0.7000026990566506,5.224683096889426e-07,0.0,0.002061750271035422
nominal_persistent,0.7000033181354082,7.431169044469584e-07,0.0,0.0024953137524463174
nominal_persistent,0.7000040706472173,1.0538641096089668e-06,0.0,0.003014798284758295
nominal_persistent,0.7000049834147218,1.4902461270793414e-06,0.0,0.003636177704617278
nominal_persistent,0.7000060882363186,2.1013202134819e-06,0.0,0.0043781956917262315
nominal_persistent,0.7000074227245487,2.954619519036822e-06,0.0,0.005262810108531979
nominal_persistent,0.7000090312695322,4.14285290835853e-06,0.0,0.006315702440666357
nominal_persistent,0.7000109661431745,5.792938630166356e-06,0.0,0.007566860834387424
nominal_persistent,0.700013288761371,8.078150334124421e-06,0.0,0.009051246154116873
nominal_persistent,0.7000160711229813,1.1234401484385342e-05,0.0,0.010809551475066041
nominal_persistent,0.7000193974459512,1.5582016313181896e-05,0.0,0.012889066478470964
nominal_persistent,0.7000233660226036,2.1554753126961264e-05,0.0,0.01534465932246111
nominal_persistent,0.7000280913177772,2.9738385516700444e-05,0.0,0.018239889708249912
nominal_persistent,0.7000337063351607,4.092184204707537e-05,0.0,0.021648268032098798
nominal_persistent,0.7000403652788041,5.616479673255294e-05,0.0,0.025654676684708243
nominal_persistent,0.7000482465383773,7.688674244229637e-05,0.0,0.03035697069960025
nominal_persistent,0.7000575560282367,0.00010498403068837977,0.0,0.03586777601901691
nominal_persistent,0.7000685309117349,0.0001429832017125776,0.0,0.04231650458633517
nominal_persistent,0.7000814437433824,0.0001942412529237933,0.0,0.04985160622032714
nominal_persistent,0.7000966070624393,0.00026320641571935715,0.0,0.05864307769455854
nominal_persistent,0.7001143784721516,0.00035575666726945165,0.0,0.06888524953165547
nominal_persistent,0.7001351662391313,0.0004796377571241109,0.0,0.08079987060257118
nominal_persistent,0.7001594354471796,0.0006450281687663586,0.0,0.09463950954739833
nominal_persistent,0.7001877147390932,0.0008652653838747158,0.0,0.11069129013411794
nominal_persistent,0.7002206036785241,0.0011577763235828074,0.0,0.12928097474728034
nominal_persistent,0.7002587807616799,0.0015452651883347702,0.0,0.15077740602911183
nominal_persistent,0.7003030121053473,0.0020572244150507068,0.0,0.17559731104085377
nominal_persistent,0.7003541608332409,0.0027318494464541607,0.0,0.20421046492111164
nominal_persistent,0.7004131971767957,0.003618455800170525,0.0,0.2371452016414671
nominal_persistent,0.7004812092989717,0.004780517862282052,0.0,0.27499424786926246
nominal_persistent,0.7005594148401753,0.006299473202856184,0.0,0.3184208419644678
nominal_persistent,0.700649173173675,0.008279464238559587,0.0,0.36816508366834777
nominal_persistent,0.7007519983435877,0.010853220849010912,0.0,0.42505044112769086
nominal_persistent,0.7008695726412157,0.014189323008773347,0.0,0.4899903207746544
nominal_persistent,0.7010037607548709,0.018501121294624653,0.0,0.5639945827499764
nominal_persistent,0.7011566244038521,0.024057634604023506,0.0,0.6481758608628876
nominal_persistent,0.7013304373385516,0.031196787491386508,0.0,0.7437555228016525
nominal_persistent,0.7015277005553304,0.04034139260415676,0.0,0.8520690852308987
nominal_persistent,0.7017511575364193,0.05201832461389025,0.0,0.9745708818951152
nominal_persistent,0.7020038092813927,0.06688136800416643,0.0,1.1128377738492796
nominal_persistent,0.7022889288475166,0.08573824870587285,0.0,1.2685716929810094
nominal_persistent,0.7026100750614612,0.10958237495108529,0.0,1.443600827045284
