parameter_id,mechanism_mode,t_s,T_C,rho,G_nm,X_J,X_J_production,X_J_relaxation,Lambda_TJ,K_TJ,Lambda_over_K_TJ,P_comp_TJ,C_GBseg,C_TJ,f_clean_GB,f_iso,P_persistent_junction_drag,P_TJ_multihit,P_clean_GB_discovery,sigma_base,sigma_GBseg_pore,sigma_TJ_pore,sigma_act_total,f_GBseg,f_TJ,f_iso_location
nominal_persistent,persistent_junction,0.0,25.0,0.7,150.0,0.0,6.585952578999185e-49,0.0,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,4.569111536451377e-57,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,1620.0,30.4,0.7,150.0,3.36076054566337e-45,5.67146599852251e-48,3.24103319574568e-72,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,8.662259602016678e-56,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,3240.0,35.8,0.7,150.0,3.1001052446236e-44,4.529970611359984e-47,2.9896637596199566e-71,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,1.481707405476892e-54,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,4860.0,41.2,0.7,150.0,2.424252442466241e-43,3.3690177500028594e-46,2.3378882649164594e-70,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,2.298939273660204e-53,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,6480.0,46.6,0.7,150.0,1.752044835310868e-42,2.341476602938967e-45,1.689628104865902e-69,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,3.2514179994881244e-52,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,8100.0,52.0,0.7,150.0,1.1848513538326105e-41,1.525883406290573e-44,1.142640934282245e-68,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,4.211164865302776e-51,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,9720.0,57.4,0.7,150.0,7.530150300666354e-41,9.353377222192664e-44,7.261888123777841e-68,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,5.016360569239899e-50,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,11340.0,62.800000000000004,0.7,150.0,4.511541493521239e-40,5.408957407199693e-43,4.350817484855999e-67,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,5.518039677035887e-49,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,12960.0,68.2,0.7,150.0,2.5553506449970607e-39,2.95908859406955e-42,2.46431608401629e-66,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,5.626419098291834e-48,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
nominal_persistent,persistent_junction,14580.0,73.6,0.7,150.0,1.3718907445777534e-38,1.53542324845901e-41,1.3230170325137241e-65,1.8137167874361721e-22,3.0,6.04572262478724e-23,1.0,0.40576281822618754,0.47748788662923936,0.5942371817738125,0.09999999999999999,0.0,0.0,5.336664216472896e-47,26666666.666666668,10820341.819365002,12733010.31011305,46809837.814289406,0.6,0.3,0.09999999999999999
