case_id,metric,rho,G_reference,G_fast,ratio,pct
A006,G_mean,0.85,171.67995600070344,168.65165590802758,1.0179559463935968,1.7639217548864279
A006,G_mean,0.851,174.4904484042939,170.71925176478587,1.0220900490162874,2.1612625069139493
A006,G_mean,0.852,177.27532210766066,172.86340946235865,1.025522536313636,2.488734806880003
A006,G_mean,0.853,178.65963006975787,174.99044061148305,1.020967942279894,2.053731700240383
A006,G_mean,0.854,181.41105213940253,177.28129658128884,1.0232949309247636,2.276463043133791
A006,G_mean,0.855,184.14145473186892,179.55364047167478,1.0255512182774034,2.4914619398844944
A006,G_mean,0.856,186.8523320532572,181.89828340158428,1.0272352688493254,2.651317538954184
A006,G_mean,0.857,189.54503275108956,184.2226391602031,1.0288910940324658,2.8079836826300864
A006,G_mean,0.858,190.88491334359853,186.70501246343355,1.0223877271692619,2.189749209064533
A006,G_mean,0.859,193.55161175571098,189.16828486509775,1.0231715738911473,2.264681162224366
A006,G_mean,0.86,196.20288720749102,191.6979582748775,1.0235001403935344,2.2960563917947967
A006,G_mean,0.861,198.84012184117486,194.29397593306143,1.0233982854397898,2.286332288482858
A006,G_mean,0.862,201.46247040584115,196.9565936660261,1.0228775115163473,2.236583682677009
A006,G_mean,0.863,205.37286498838668,199.6809411592415,1.0285050931556157,2.7715072434067882
A006,G50,0.85,165.0025886948535,162.97684303913155,1.0124296533050132,1.2277053782884881
A006,G50,0.851,167.70553357138704,164.99267951383834,1.0164422692300186,1.6176294244899896
A006,G50,0.852,170.38549607685334,167.08386803408698,1.0197603041012482,1.937740076935389
A006,G50,0.853,171.71818247371272,169.15902058058566,1.0151287343964486,1.490326683092403
A006,G50,0.854,174.36825395489092,171.3945337863629,1.0173501459050887,1.7054252142120625
A006,G50,0.855,176.9994105444086,173.61269311363063,1.0195073146441045,1.9134060505406147
A006,G50,0.856,179.6133008516011,175.90215259415956,1.021097798990578,2.066187882437372
A006,G50,0.857,182.21078213615834,178.17240602009917,1.022665553023983,2.2163211576807047
