case_id,rho_target,pore_D50_ref_nm,pore_D50_fast_nm,pore_D90_ref_nm,pore_D90_fast_nm,large_pore_ref,large_pore_fast,fine_connected_ref,fine_connected_fast,isolated_ref,isolated_fast,PR_work_ref,PR_work_fast
A006,0.85,51.494178597677944,51.494178597677944,218.47129726829564,218.47129726829564,0.9000070366659824,0.8963259255139042,0.08300681994346348,0.08536140766430328,0.13893055007921545,0.12517472481971242,1777221.3736459902,240349.5059847436
A007,0.85,35.87972219711224,35.87972219711224,73.9038729141267,73.9038729141267,0.8075806789548615,0.7977844302633943,0.14852037219752912,0.15257014657872311,0.1791057147346416,0.17481305417945123,176687.1942118845,1956.3041991402354
A010,0.85,33.47121608849067,23.321819428122957,205.97671439071183,143.51888878844898,0.703705938466128,0.6427277842702213,0.22190880061861235,0.24886618635099395,0.1921277690579482,0.15677397259242729,1361869.4958098922,125123.93638696903
A010,0.88,48.037517394182366,33.47121608849067,205.97671439071183,205.97671439071183,0.747031441697037,0.6929629650343551,0.20164649592360345,0.22671835483909974,0.24404293013173892,0.1984863450500746,1362122.0895176842,125555.23127149133
A010,0.9,100.0,33.47121608849067,205.97671439071183,205.97671439071183,0.7859795580964017,0.7357305249360497,0.18285065329136413,0.20721867290882232,0.296154671358695,0.24306478788200533,1362246.937891875,125766.82677680744
A010,0.92,100.0,33.47121608849067,205.97671439071183,205.97671439071183,0.8393017560293338,0.791223594761183,0.15598961957574,0.18089150308308838,0.379798629594592,0.3123342515223487,1362352.7475355782,125938.50198954417
A011,0.85,51.494178597677944,51.494178597677944,73.9038729141267,73.9038729141267,0.8583770432374808,0.8533565278097316,0.11826529815299627,0.12059005855023172,0.12438833618893884,0.11829161071183024,993549.4232054409,15519.588293702629
A011,0.88,51.494178597677944,51.494178597677944,106.06601717798215,106.06601717798215,0.882652739213686,0.8872856083014802,0.10083152395096001,0.09898457674480773,0.1600050705506821,0.1511155939411527,993604.858316473,15573.224150700544
A011,0.9,51.494178597677944,51.494178597677944,106.06601717798215,106.06601717798215,0.9012331091201813,0.9089775921484982,0.0870738129256317,0.08362374985363193,0.19741418879590894,0.18776035144594602,993633.0847352622,15599.406393132422
A011,0.92,51.494178597677944,51.494178597677944,106.06601717798215,106.06601717798215,0.9279129946202234,0.9342263392445451,0.06808294703854678,0.0651778692193773,0.2631374600699802,0.24944426440275008,993654.3095432712,15617.05896634625
A014,0.85,51.494178597677944,51.494178597677944,73.9038729141267,73.9038729141267,0.8389026973361403,0.833448398570891,0.1313366962559453,0.13358165702760288,0.10998409631040584,0.10637344914648927,190129.24772533943,9981.082930641565
A014,0.88,51.494178597677944,51.494178597677944,73.9038729141267,73.9038729141267,0.893099736221109,0.8890434609523459,0.1011088792050878,0.10288069673560324,0.15140072596710574,0.14627272971853644,190153.59117716757,10005.24706391764
