stage,case_id,base_mechanism,initial_microstructure_mode,G0_mean_nm,rho0,topology,pore_ln_sigma,large_pore_tail_fraction,large_pore_radius_factor,bimodal_fine_fraction,G0_ln_sigma,coarse_grain_tail_fraction,coarse_grain_radius_factor,pore_location_bias,grain_pore_correlation,residual_stress_mode,sigma_res_scale,stress_sign,rate,peak_T_C,hold_h,production_k_PR_ref_s,budget_h,targets
combined,C014,mech_009_q0,bimodal_pore_distribution,225,0.7,mixed_GBseg_TJ,0.95,0.1,12,0.9,0.75,0.2,8,mixed,isolated_pores_on_large_grains,evolving_shear_generated,2.0,mixed,20,1450,20,0.0002,96,0.85;0.88;0.90;0.92
combined,C015,mech_019_q0,broad_grain_distribution,75,0.75,mixed_GBseg_TJ,1.2,0.2,12,0.5,0.25,0.05,2,baseline,none,mixed_evolving,2.0,compressive,100,1500,20,0.0002,96,0.85;0.88;0.90;0.92
combined,C016,mech_009,correlated_pore_grain_distribution,150,0.75,baseline,0.35,0.02,2,0.7,0.5,0.1,4,GBseg_fine_rich,large_pores_on_large_grains,initial_only,0.25,tensile,20,1350,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C017,mech_019,defect_rich_large_pore,225,0.75,baseline,0.65,0.05,2,0.9,0.75,0.2,8,TJ_large_rich,large_pores_on_small_grains,evolving_PR_generated,0.25,mixed,100,1400,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C018,mech_009_q0,broad_pore_distribution,75,0.65,GBseg_rich,0.95,0.1,4,0.5,0.25,0.05,2,isolated_large_rich,TJ_pores_on_small_grains,evolving_shear_generated,0.25,compressive,20,1450,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C019,mech_019_q0,large_pore_tail,150,0.65,GBseg_rich,1.2,0.2,4,0.7,0.5,0.1,4,mixed,isolated_pores_on_large_grains,mixed_evolving,0.25,tensile,100,1500,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C020,mech_009,bimodal_pore_distribution,225,0.65,TJ_rich,0.35,0.02,8,0.9,0.75,0.2,8,baseline,none,initial_only,0.5,mixed,20,1350,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C021,mech_019,broad_grain_distribution,75,0.7,TJ_rich,0.65,0.05,8,0.5,0.25,0.05,2,GBseg_fine_rich,large_pores_on_large_grains,evolving_PR_generated,0.5,compressive,100,1400,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C022,mech_009_q0,correlated_pore_grain_distribution,150,0.7,mixed_GBseg_TJ,0.95,0.1,12,0.7,0.5,0.1,4,TJ_large_rich,large_pores_on_small_grains,evolving_shear_generated,0.5,tensile,20,1450,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C023,mech_019_q0,defect_rich_large_pore,225,0.7,mixed_GBseg_TJ,1.2,0.2,12,0.9,0.75,0.2,8,isolated_large_rich,TJ_pores_on_small_grains,mixed_evolving,0.5,mixed,100,1500,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C024,mech_009,broad_pore_distribution,75,0.75,baseline,0.35,0.02,2,0.5,0.25,0.05,2,mixed,isolated_pores_on_large_grains,initial_only,1.0,compressive,20,1350,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C025,mech_019,large_pore_tail,150,0.75,baseline,0.65,0.05,2,0.7,0.5,0.1,4,baseline,none,evolving_PR_generated,1.0,tensile,100,1400,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C026,mech_009_q0,bimodal_pore_distribution,225,0.75,GBseg_rich,0.95,0.1,4,0.9,0.75,0.2,8,GBseg_fine_rich,large_pores_on_large_grains,evolving_shear_generated,1.0,mixed,20,1450,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C027,mech_019_q0,broad_grain_distribution,75,0.65,GBseg_rich,1.2,0.2,4,0.5,0.25,0.05,2,TJ_large_rich,large_pores_on_small_grains,mixed_evolving,1.0,compressive,100,1500,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C028,mech_009,correlated_pore_grain_distribution,150,0.65,TJ_rich,0.35,0.02,8,0.7,0.5,0.1,4,isolated_large_rich,TJ_pores_on_small_grains,initial_only,2.0,tensile,20,1350,20,0.0002,96,0.85;0.88;0.90;0.92
combined,C029,mech_019,defect_rich_large_pore,225,0.65,TJ_rich,0.65,0.05,8,0.9,0.75,0.2,8,mixed,isolated_pores_on_large_grains,evolving_PR_generated,2.0,mixed,100,1400,20,0.0002,96,0.85;0.88;0.90;0.92
combined,C030,mech_009_q0,broad_pore_distribution,75,0.7,mixed_GBseg_TJ,0.95,0.1,12,0.5,0.25,0.05,2,baseline,none,evolving_shear_generated,2.0,compressive,20,1450,20,0.0002,96,0.85;0.88;0.90;0.92
combined,C031,mech_019_q0,large_pore_tail,150,0.7,mixed_GBseg_TJ,1.2,0.2,12,0.7,0.5,0.1,4,GBseg_fine_rich,large_pores_on_large_grains,mixed_evolving,2.0,tensile,100,1500,20,0.0002,96,0.85;0.88;0.90;0.92
combined,C032,mech_009,bimodal_pore_distribution,225,0.7,baseline,0.35,0.02,2,0.9,0.75,0.2,8,TJ_large_rich,large_pores_on_small_grains,initial_only,0.25,mixed,20,1350,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C033,mech_019,broad_grain_distribution,75,0.75,baseline,0.65,0.05,2,0.5,0.25,0.05,2,isolated_large_rich,TJ_pores_on_small_grains,evolving_PR_generated,0.25,compressive,100,1400,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C034,mech_009_q0,correlated_pore_grain_distribution,150,0.75,GBseg_rich,0.95,0.1,4,0.7,0.5,0.1,4,mixed,isolated_pores_on_large_grains,evolving_shear_generated,0.25,tensile,20,1450,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C035,mech_019_q0,defect_rich_large_pore,225,0.75,GBseg_rich,1.2,0.2,4,0.9,0.75,0.2,8,baseline,none,mixed_evolving,0.25,mixed,100,1500,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C036,mech_009,broad_pore_distribution,75,0.65,TJ_rich,0.35,0.02,8,0.5,0.25,0.05,2,GBseg_fine_rich,large_pores_on_large_grains,initial_only,0.5,compressive,20,1350,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C037,mech_019,large_pore_tail,150,0.65,TJ_rich,0.65,0.05,8,0.7,0.5,0.1,4,TJ_large_rich,large_pores_on_small_grains,evolving_PR_generated,0.5,tensile,100,1400,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C038,mech_009_q0,bimodal_pore_distribution,225,0.65,mixed_GBseg_TJ,0.95,0.1,12,0.9,0.75,0.2,8,isolated_large_rich,TJ_pores_on_small_grains,evolving_shear_generated,0.5,mixed,20,1450,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C039,mech_019_q0,broad_grain_distribution,75,0.7,mixed_GBseg_TJ,1.2,0.2,12,0.5,0.25,0.05,2,mixed,isolated_pores_on_large_grains,mixed_evolving,0.5,compressive,100,1500,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C040,mech_009,correlated_pore_grain_distribution,150,0.7,baseline,0.35,0.02,2,0.7,0.5,0.1,4,baseline,none,initial_only,1.0,tensile,20,1350,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C041,mech_019,defect_rich_large_pore,225,0.7,baseline,0.65,0.05,2,0.9,0.75,0.2,8,GBseg_fine_rich,large_pores_on_large_grains,evolving_PR_generated,1.0,mixed,100,1400,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C042,mech_009_q0,broad_pore_distribution,75,0.75,GBseg_rich,0.95,0.1,4,0.5,0.25,0.05,2,TJ_large_rich,large_pores_on_small_grains,evolving_shear_generated,1.0,compressive,20,1450,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C043,mech_019_q0,large_pore_tail,150,0.75,GBseg_rich,1.2,0.2,4,0.7,0.5,0.1,4,isolated_large_rich,TJ_pores_on_small_grains,mixed_evolving,1.0,tensile,100,1500,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C044,mech_009,bimodal_pore_distribution,225,0.75,TJ_rich,0.35,0.02,8,0.9,0.75,0.2,8,mixed,isolated_pores_on_large_grains,initial_only,2.0,mixed,20,1350,20,0.0002,96,0.85;0.88;0.90;0.92
combined,C045,mech_019,broad_grain_distribution,75,0.65,TJ_rich,0.65,0.05,8,0.5,0.25,0.05,2,baseline,none,evolving_PR_generated,2.0,compressive,100,1400,20,0.0002,96,0.85;0.88;0.90;0.92
combined,C046,mech_009_q0,correlated_pore_grain_distribution,150,0.65,mixed_GBseg_TJ,0.95,0.1,12,0.7,0.5,0.1,4,GBseg_fine_rich,large_pores_on_large_grains,evolving_shear_generated,2.0,tensile,20,1450,20,0.0002,96,0.85;0.88;0.90;0.92
combined,C047,mech_019_q0,defect_rich_large_pore,225,0.65,mixed_GBseg_TJ,1.2,0.2,12,0.9,0.75,0.2,8,TJ_large_rich,large_pores_on_small_grains,mixed_evolving,2.0,mixed,100,1500,20,0.0002,96,0.85;0.88;0.90;0.92
combined,C048,mech_009,broad_pore_distribution,75,0.7,baseline,0.35,0.02,2,0.5,0.25,0.05,2,isolated_large_rich,TJ_pores_on_small_grains,initial_only,0.25,compressive,20,1350,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C049,mech_019,large_pore_tail,150,0.7,baseline,0.65,0.05,2,0.7,0.5,0.1,4,mixed,isolated_pores_on_large_grains,evolving_PR_generated,0.25,tensile,100,1400,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C050,mech_009_q0,bimodal_pore_distribution,225,0.7,GBseg_rich,0.95,0.1,4,0.9,0.75,0.2,8,baseline,none,evolving_shear_generated,0.25,mixed,20,1450,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C051,mech_019_q0,broad_grain_distribution,75,0.75,GBseg_rich,1.2,0.2,4,0.5,0.25,0.05,2,GBseg_fine_rich,large_pores_on_large_grains,mixed_evolving,0.25,compressive,100,1500,0,0.0002,96,0.85;0.88;0.90;0.92
combined,C052,mech_009,correlated_pore_grain_distribution,150,0.75,TJ_rich,0.35,0.02,8,0.7,0.5,0.1,4,TJ_large_rich,large_pores_on_small_grains,initial_only,0.5,tensile,20,1350,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C053,mech_019,defect_rich_large_pore,225,0.75,TJ_rich,0.65,0.05,8,0.9,0.75,0.2,8,isolated_large_rich,TJ_pores_on_small_grains,evolving_PR_generated,0.5,mixed,100,1400,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C054,mech_009_q0,broad_pore_distribution,75,0.65,mixed_GBseg_TJ,0.95,0.1,12,0.5,0.25,0.05,2,mixed,isolated_pores_on_large_grains,evolving_shear_generated,0.5,compressive,20,1450,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C055,mech_019_q0,large_pore_tail,150,0.65,mixed_GBseg_TJ,1.2,0.2,12,0.7,0.5,0.1,4,baseline,none,mixed_evolving,0.5,tensile,100,1500,2,0.0002,96,0.85;0.88;0.90;0.92
combined,C056,mech_009,bimodal_pore_distribution,225,0.65,baseline,0.35,0.02,2,0.9,0.75,0.2,8,GBseg_fine_rich,large_pores_on_large_grains,initial_only,1.0,mixed,20,1350,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C057,mech_019,broad_grain_distribution,75,0.7,baseline,0.65,0.05,2,0.5,0.25,0.05,2,TJ_large_rich,large_pores_on_small_grains,evolving_PR_generated,1.0,compressive,100,1400,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C058,mech_009_q0,correlated_pore_grain_distribution,150,0.7,GBseg_rich,0.95,0.1,4,0.7,0.5,0.1,4,isolated_large_rich,TJ_pores_on_small_grains,evolving_shear_generated,1.0,tensile,20,1450,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C059,mech_019_q0,defect_rich_large_pore,225,0.7,GBseg_rich,1.2,0.2,4,0.9,0.75,0.2,8,mixed,isolated_pores_on_large_grains,mixed_evolving,1.0,mixed,100,1500,8,0.0002,96,0.85;0.88;0.90;0.92
combined,C060,mech_009,broad_pore_distribution,75,0.75,TJ_rich,0.35,0.02,8,0.5,0.25,0.05,2,baseline,none,initial_only,2.0,compressive,20,1350,20,0.0002,96,0.85;0.88;0.90;0.92
