parameter_id,mechanism_mode,G0_nm,T1_C,rho_switch,growth_tolerance,map_type,T2_min_searched_C,T2_max_searched_C,state_group_id,boundary_status,n_success,T_lower_density_C,T_first_success_C,T_last_success_C,T_upper_growth_C,window_width_C,lower_bracketed,upper_bracketed,mechanism_id,heating_rate_C_min,T_at_switch_C,rho1,G1_nm,first_step_growth_fraction,X_J,Lambda_over_K_TJ,P_comp_TJ,f_GBseg,f_TJ,f_iso_location,C_GBseg,C_TJ,f_clean_GB,tier
mech_009,persistent_tj_multihit_q1,150.0,1325.0,0.76,0.05,practical,900.0,1320.0,prod_00181,COMPLETE_WINDOW,3,1270.0,1270.0,1300.0,1310.0,30.0,True,True,mech_009,1.0,1325.0,0.7608807394547973,150.89939874214303,0.005995991614286898,0.045913211631532336,0.5996374532207283,0.12296706854783701,0.533194853123532,0.3413146086572658,0.12549053821920214,0.2896667908938372,0.43469582882445534,0.7103332091061628,Tier_A
mech_009,persistent_tj_multihit_q1,150.0,1325.0,0.76,0.1,practical,900.0,1320.0,prod_00181,COMPLETE_WINDOW,4,1270.0,1270.0,1310.0,1320.0,40.0,True,True,mech_009,1.0,1325.0,0.7608807394547973,150.89939874214303,0.005995991614286898,0.045913211631532336,0.5996374532207283,0.12296706854783701,0.533194853123532,0.3413146086572658,0.12549053821920214,0.2896667908938372,0.43469582882445534,0.7103332091061628,Tier_B
mech_009,persistent_tj_multihit_q1,150.0,1325.0,0.78,0.05,practical,900.0,1320.0,prod_00182,COMPLETE_WINDOW,3,1270.0,1270.0,1300.0,1310.0,30.0,True,True,mech_009,1.0,1325.0,0.7808807394547973,151.49835178651577,0.00998901191010513,0.06250553170543573,0.6020911823436745,0.1245775540402102,0.5077307956496878,0.3552695238387433,0.13699968051156894,0.2511001688686555,0.4152881393010842,0.7488998311313445,Tier_A
mech_009,persistent_tj_multihit_q1,150.0,1325.0,0.78,0.1,practical,900.0,1320.0,prod_00182,COMPLETE_WINDOW,4,1270.0,1270.0,1310.0,1320.0,40.0,True,True,mech_009,1.0,1325.0,0.7808807394547973,151.49835178651577,0.00998901191010513,0.06250553170543573,0.6020911823436745,0.1245775540402102,0.5077307956496878,0.3552695238387433,0.13699968051156894,0.2511001688686555,0.4152881393010842,0.7488998311313445,Tier_B
mech_009,persistent_tj_multihit_q1,150.0,1325.0,0.8,0.05,practical,900.0,1320.0,prod_00183,COMPLETE_WINDOW,3,1270.0,1270.0,1300.0,1310.0,30.0,True,True,mech_009,1.0,1325.0,0.8008807394547973,152.27782058780898,0.015185470585393167,0.080803825314655,0.5947545395564208,0.12314968430407458,0.480316591903841,0.36877382966139305,0.15090957843476593,0.21308230270624018,0.39192583368753975,0.7869176972937598,Tier_A
mech_009,persistent_tj_multihit_q1,150.0,1325.0,0.8,0.1,practical,900.0,1320.0,prod_00183,COMPLETE_WINDOW,4,1270.0,1270.0,1310.0,1320.0,40.0,True,True,mech_009,1.0,1325.0,0.8008807394547973,152.27782058780898,0.015185470585393167,0.080803825314655,0.5947545395564208,0.12314968430407458,0.480316591903841,0.36877382966139305,0.15090957843476593,0.21308230270624018,0.39192583368753975,0.7869176972937598,Tier_B
mech_009,persistent_tj_multihit_q1,150.0,1325.0,0.82,0.05,practical,900.0,1320.0,prod_00184,COMPLETE_WINDOW,4,1260.0,1260.0,1300.0,1310.0,40.0,True,True,mech_009,1.0,1325.0,0.8208807394547972,153.30381343680338,0.02202542291202254,0.10161851850633638,0.5747909355729273,0.11778668278576654,0.4509360208242898,0.38090672632044353,0.16815725285526664,0.17632956654479437,0.36355186317461885,0.8236704334552056,Tier_A
mech_009,persistent_tj_multihit_q1,150.0,1325.0,0.84,0.05,practical,900.0,1320.0,prod_00185,COMPLETE_WINDOW,4,1260.0,1260.0,1300.0,1310.0,40.0,True,True,mech_009,1.0,1325.0,0.8408807394547972,154.6624987978736,0.0310833253191574,0.12642793497345908,0.5394321868987602,0.10770000074219988,0.41925709673925743,0.39042553243617195,0.19031737082457062,0.14149264352353175,0.32899240980663413,0.8585073564764683,Tier_A
mech_009,persistent_tj_multihit_q1,150.0,1325.0,0.86,0.05,practical,900.0,1320.0,prod_00186,COMPLETE_WINDOW,4,1245.0,1245.0,1300.0,1310.0,55.0,True,True,mech_009,1.0,1325.0,0.8602221835046102,156.39918603100327,0.042661240206688454,0.15610156292984775,0.48816119091586463,0.09294151743922285,0.3857603754886,0.39524457877408486,0.2189950457373152,0.1102038556607261,0.2883836252807569,0.8897961443392739,Tier_A
mech_009,persistent_tj_multihit_q1,150.0,1325.0,0.76,0.05,practical,900.0,1320.0,prod_00188,COMPLETE_WINDOW,3,1270.0,1270.0,1300.0,1310.0,30.0,True,True,mech_009,5.0,1325.0,0.7604878426746903,151.09801149932298,0.007320076662153193,0.04481138480626665,0.5977630795640847,0.12260614598380515,0.534223823939502,0.34049210200525853,0.12528407405523942,0.2911318360962645,0.43545473904012355,0.7088681639037355,Tier_A
