mechanism_id,map_type,growth_tolerance,boundary_status,tier,G0_nm,n_cases
mech_009,kinetic,0.05,COMPLETE_WINDOW,Tier_C,125.0,28
mech_009,kinetic,0.05,COMPLETE_WINDOW,Tier_C,150.0,164
mech_009,kinetic,0.05,COMPLETE_WINDOW,Tier_C,175.0,188
mech_009,kinetic,0.05,COMPLETE_WINDOW,Tier_C,200.0,198
mech_009,kinetic,0.05,COMPLETE_WINDOW,Tier_C,225.0,213
mech_009,kinetic,0.05,COMPLETE_WINDOW,Tier_C,250.0,220
mech_009,kinetic,0.05,COMPLETE_WINDOW,Tier_C,300.0,252
mech_009,kinetic,0.05,NO_OVERLAP,Tier_C,75.0,38
mech_009,kinetic,0.05,NO_OVERLAP,Tier_C,100.0,66
mech_009,kinetic,0.05,NO_OVERLAP,Tier_C,125.0,66
mech_009,kinetic,0.1,COMPLETE_WINDOW,Tier_C,100.0,1
mech_009,kinetic,0.1,COMPLETE_WINDOW,Tier_C,125.0,58
mech_009,kinetic,0.1,COMPLETE_WINDOW,Tier_C,150.0,164
mech_009,kinetic,0.1,COMPLETE_WINDOW,Tier_C,175.0,188
mech_009,kinetic,0.1,COMPLETE_WINDOW,Tier_C,200.0,198
mech_009,kinetic,0.1,COMPLETE_WINDOW,Tier_C,225.0,213
mech_009,kinetic,0.1,COMPLETE_WINDOW,Tier_C,250.0,220
mech_009,kinetic,0.1,COMPLETE_WINDOW,Tier_C,300.0,252
mech_009,kinetic,0.1,NO_OVERLAP,Tier_C,75.0,38
mech_009,kinetic,0.1,NO_OVERLAP,Tier_C,100.0,65
mech_009,kinetic,0.1,NO_OVERLAP,Tier_C,125.0,36
mech_009,practical,0.05,COMPLETE_WINDOW,Tier_C,125.0,28
mech_009,practical,0.05,COMPLETE_WINDOW,Tier_C,150.0,97
mech_009,practical,0.05,COMPLETE_WINDOW,Tier_C,175.0,108
mech_009,practical,0.05,COMPLETE_WINDOW,Tier_C,200.0,103
mech_009,practical,0.05,COMPLETE_WINDOW,Tier_C,225.0,104
mech_009,practical,0.05,COMPLETE_WINDOW,Tier_C,250.0,98
mech_009,practical,0.05,COMPLETE_WINDOW,Tier_C,300.0,65
mech_009,practical,0.05,NO_OVERLAP,Tier_C,75.0,38
mech_009,practical,0.05,NO_OVERLAP,Tier_C,100.0,66
mech_009,practical,0.05,NO_OVERLAP,Tier_C,125.0,66
mech_009,practical,0.05,UPPER_BOUND_RIGHT_CENSORED,Tier_C,250.0,5
mech_009,practical,0.05,UPPER_BOUND_RIGHT_CENSORED,Tier_C,300.0,85
