path_label,phase,t_s,T_C,rho,G_nm,X_J,Lambda_over_K_TJ,P_comp_TJ,C_GBseg,C_TJ,f_clean_GB,P_dens,P_clean_GB,P_persistent_junction_drag,P_TJ_multihit,sigma_base,sigma_GBseg,sigma_TJ,sigma_act_total
mech_009_TierA,first_step,0.0,25.0,0.7,300.00000000000006,0.0,8.304535169430524e-24,0.0,0.6468821717975171,0.9254606755363927,0.35311782820248294,3.3299099852697557e-59,0.0,0.0,3.393919953288848e-58,13333333.333333332,8625095.623966893,12339475.673818568,31164708.622068174
mech_009_TierA,first_step,240.00000000001364,29.000000000000227,0.7,300.00000000000006,1.864134580367882e-46,8.304535169430524e-24,0.0,0.6468821717975171,0.9254606755363927,0.35311782820248294,3.371599342715475e-58,0.0,3.3902666894788764e-102,3.031135488806658e-57,13333333.333333332,8625095.623966893,12339475.673818568,31164708.622068174
mech_009_TierA,first_step,480.0000000000273,33.000000000000455,0.7,300.00000000000006,1.0983966455988142e-45,8.304535169430524e-24,0.0,0.6468821717975171,0.9254606755363927,0.35311782820248294,3.213418190646335e-57,0.0,1.6848898087853602e-100,2.5565898189519797e-56,13333333.333333332,8625095.623966893,12339475.673818568,31164708.622068174
mech_009_TierA,first_step,720.0000000000409,37.00000000000068,0.7,300.00000000000006,5.379962317552129e-45,8.304535169430524e-24,0.0,0.6468821717975171,0.9254606755363927,0.35311782820248294,2.8896340851653106e-56,0.0,6.588106199552773e-99,2.040939387889724e-55,13333333.333333332,8625095.623966893,12339475.673818568,31164708.622068174
mech_009_TierA,first_step,960.0000000000546,41.00000000000091,0.7,300.00000000000006,2.4700150840397014e-44,8.304535169430524e-24,0.0,0.6468821717975171,0.9254606755363927,0.35311782820248294,2.457126387430953e-55,0.0,2.2902125553882614e-97,1.5453431642224543e-54,13333333.333333332,8625095.623966893,12339475.673818568,31164708.622068174
mech_009_TierA,first_step,1200.0000000000682,45.00000000000114,0.7,300.00000000000006,1.086200990350235e-43,8.304535169430524e-24,0.0,0.6468821717975171,0.9254606755363927,0.35311782820248294,1.9798732545748606e-54,0.0,7.247254752127881e-96,1.1120186804762955e-53,13333333.333333332,8625095.623966893,12339475.673818568,31164708.622068174
mech_009_TierA,first_step,1440.0000000000819,49.000000000001364,0.7,300.00000000000006,4.600055622682066e-43,8.304535169430524e-24,0.0,0.6468821717975171,0.9254606755363927,0.35311782820248294,1.5147579264060685e-53,0.0,2.1029521366788157e-94,7.619299667847235e-53,13333333.333333332,8625095.623966893,12339475.673818568,31164708.622068174
mech_009_TierA,first_step,1680.0000000000955,53.00000000000159,0.7,300.00000000000006,1.8802276447988416e-42,8.304535169430524e-24,0.0,0.6468821717975171,0.9254606755363927,0.35311782820248294,1.1024858373635162e-52,0.0,5.617959983504251e-93,4.979857978939298e-52,13333333.333333332,8625095.623966893,12339475.673818568,31164708.622068174
mech_009_TierA,first_step,1920.0000000001091,57.00000000000182,0.7,300.00000000000006,7.428312932681727e-42,8.304535169430524e-24,0.0,0.6468821717975171,0.9254606755363927,0.35311782820248294,7.647414100884957e-52,0.0,1.3861313513883494e-91,3.110018304178471e-51,13333333.333333332,8625095.623966893,12339475.673818568,31164708.622068174
mech_009_TierA,first_step,2160.000000000123,61.000000000002046,0.7,300.00000000000006,2.8402154475975914e-41,8.304535169430524e-24,0.0,0.6468821717975171,0.9254606755363927,0.35311782820248294,5.064284972996205e-51,0.0,3.1678530586675514e-90,1.8589276747456457e-50,13333333.333333332,8625095.623966893,12339475.673818568,31164708.622068174
