audit_case,source_layer,t_s,T_C,rho,G_um,activity,tau_nuc_s,tau_exchange_s,tau_transport_s,tau_cycle_s,sigma_eff_Pa,P_surf,P_dens,P_excess,Gamma_migration,G_dot_intrinsic,G_dot_actual
previous_PDF_conditioned_50C,previous_pdf_conditioned,20.0,950.0,0.6600037203721345,0.0500055880727193,0.0002310437734114,,,,,250000000.0,307.7314516960405,46.50465168037593,261.2268000156646,0.9731464406183428,2.871136596773166e-13,2.7940363596788685e-13
previous_PDF_conditioned_50C,previous_pdf_conditioned,40.0,966.6666666666666,0.6600103806507546,0.0500151342580843,0.0002537951861928,,,,,250000000.0,508.5048230356014,83.25348275239422,425.2513402832072,0.9731079882411364,4.904997944886264e-13,4.773092682475182e-13
previous_PDF_conditioned_50C,previous_pdf_conditioned,60.0,983.3333333333334,0.6600221201221281,0.0500312103426673,0.0002781878563169,,,,,250000000.0,829.1132533806401,146.7433921685771,682.369861212063,0.9730438184736796,8.260719752712663e-13,8.038042291520479e-13
previous_PDF_conditioned_50C,previous_pdf_conditioned,80.0,1000.0,0.6600425043042103,0.0500579112537666,0.0003043277438244,,,,,250000000.0,1334.5749865291575,254.80227602522675,1079.772710503931,0.9729375943566246,1.3721800480412068e-12,1.3350455549653694e-12
previous_PDF_conditioned_50C,previous_pdf_conditioned,100.0,1016.6666666666666,0.6600773891246536,0.0501016685085988,0.0003323539138936,,,,,250000000.0,2121.66642552277,436.0602555391408,1685.6061699836291,0.9727634326185464,2.249121079437657e-12,2.187862741608505e-12
previous_PDF_conditioned_50C,previous_pdf_conditioned,120.0,1033.333333333333,0.6601362534480313,0.05017244622712,0.0003624612732621,,,,,250000000.0,3332.625236287256,735.8040422179268,2596.821194069329,0.9724806232651674,3.639029756890237e-12,3.5388859260611085e-12
previous_PDF_conditioned_50C,previous_pdf_conditioned,140.0,1050.0,0.6602342176493647,0.0502854669974783,0.0003949375713317,,,,,250000000.0,5173.802361282888,1224.5525166597452,3949.249844623143,0.9720253654847856,5.813673921045629e-12,5.651038517913745e-12
previous_PDF_conditioned_50C,previous_pdf_conditioned,160.0,1066.6666666666663,0.6603950399309757,0.050463646040588,0.0004302227409966,,,,,250000000.0,7940.414423562521,2010.2785201239744,5930.135903438546,0.9712975315819584,9.172217436791273e-12,8.908952155488362e-12
previous_PDF_conditioned_50C,previous_pdf_conditioned,180.0,1083.333333333333,0.6606554552874838,0.0507409223879784,0.0004690027303584,,,,,250000000.0,12048.214678373068,3255.1919563284746,8793.022722044592,0.9701387646833732,1.4290550871909114e-11,1.3863817369518808e-11
previous_PDF_conditioned_50C,previous_pdf_conditioned,200.0,1100.0,0.6610712604541789,0.0511666242480464,0.0005123557804486,,,,,250000000.0,18071.729121117187,5197.564583651213,12874.164537465977,0.9682948078330108,2.1982037733979793e-11,2.1285093003401954e-11
previous_PDF_conditioned_50C,previous_pdf_conditioned,227.57091365712665,1129.904770997893,0.6621323760392017,0.0521950733954322,0.0006080922756997,,,,,250000000.0,36274.7246723896,11584.725640667872,24689.99903172173,0.9616097681083052,4.599107399378962e-11,4.4225465998219945e-11
previous_PDF_conditioned_50C,previous_pdf_conditioned,251.94040066144248,1154.1419413862636,0.6638612135107305,0.0537766363143872,0.0007171968291187,,,,,250000000.0,61654.342653822474,21246.91446638154,40407.428187440935,0.9487236956361212,8.051843228846834e-11,7.638974464754247e-11
previous_PDF_conditioned_50C,previous_pdf_conditioned,273.8136318246275,1174.1657073916667,0.6663813596474568,0.0559601833930629,0.0008451200293108,,,,,250000000.0,92860.2831311436,33875.341226813805,58984.94190432978,0.927242689325002,1.2410452681915616e-10,1.1507501520520119e-10
previous_PDF_conditioned_50C,previous_pdf_conditioned,294.0767762361337,1192.0113781380282,0.6698736220659154,0.0588147151515482,0.0010047329890592,,,,,250000000.0,130191.46013102488,49825.650952677475,80365.8091783474,0.8933039180875152,1.779565372811675e-10,1.5896927200255388e-10
previous_PDF_conditioned_50C,previous_pdf_conditioned,316.4376271716547,1211.25977968611,0.675470664922311,0.0630573353380787,0.0012478303892747,,,,,250000000.0,180918.9311014566,73040.55609385285,107878.37500760375,0.8351373336718826,2.555042435963632e-10,2.133811327389179e-10
previous_PDF_conditioned_50C,previous_pdf_conditioned,337.84454704281166,1229.4375435202828,0.6830502836314578,0.068282058409877,0.0015713263260138,,,,,250000000.0,236840.91767228505,101492.2037240824,135348.7139482026,0.7644292459397258,3.5102210581061416e-10,2.6833156365298247e-10
previous_PDF_conditioned_50C,previous_pdf_conditioned,359.08429423123346,1247.3646333006618,0.6932643716073993,0.0746790816714557,0.0020131328630825,,,,,250000000.0,294557.13847204176,136163.02160690678,158394.11686513497,0.6995118398181168,4.704687867794367e-10,3.290984866170812e-10
previous_PDF_conditioned_50C,previous_pdf_conditioned,380.1962251745866,1265.1594294087097,0.7066008823258386,0.0824921659196804,0.0026253829138152,,,,,250000000.0,346447.6898494755,176500.5596235218,169947.1302259537,0.6601531733452649,6.170946207495124e-10,4.0737697214208334e-10
previous_PDF_conditioned_50C,previous_pdf_conditioned,400.812455853496,1282.5349779056655,0.7230732693554824,0.0920338983644508,0.0034815603817418,,,,,250000000.0,383107.6047384732,219383.49337239657,163724.11136607666,0.6531791939924164,7.879569604248618e-10,5.146770923110257e-10
previous_PDF_conditioned_50C,previous_pdf_conditioned,422.17516540107687,1300.5265964383584,0.7438549137095656,0.1047431613006618,0.0048065344035498,,,,,250000000.0,398311.633330012,263051.53062606853,135260.1027039435,0.678398614419678,9.905654068193283e-10,6.719981994782971e-10
previous_PDF_conditioned_50C,previous_pdf_conditioned,442.3582125639001,1317.495567514576,0.7666698526216738,0.1203995629280995,0.006731743725523,,,,,250000000.0,387798.8261117593,298189.8113058967,89609.01480586256,0.7290587812215235,1.199156321398312e-09,8.742554461727387e-10
previous_PDF_conditioned_50C,previous_pdf_conditioned,462.933512842488,1334.7547974467325,0.7923782662514061,0.1411779563476365,0.0097980151620647,,,,,250000000.0,354370.66850893776,322791.80335751397,31578.865151423783,0.8012354316876579,1.4209321440484043e-09,1.1385011798354922e-09
previous_PDF_conditioned_50C,previous_pdf_conditioned,483.0085244596477,1351.5479237097056,0.8184592146303765,0.1671976793146808,0.0140745517577841,,,,,243634509.9084369,307873.5832531992,307873.5833581614,0.0,0.8762912730383103,1.6412661822725547e-09,1.4382272322583447e-09
previous_PDF_conditioned_50C,previous_pdf_conditioned,503.5373746653885,1368.666139662157,0.8430774005789631,0.1999930820529239,0.0200186398328627,,,,,230977595.4761376,263836.39598034235,263836.3960675583,0.0,0.9275046578042928,1.8759987287655046e-09,1.7399975589649376e-09
