audit_case,t_s,T_C,rho,phi_open,phi_precursor,phi_closed,PR_coarsening_flux,PR_to_precursor_flux,precursor_to_closed_flux,closure_rate
previous_PDF_conditioned_50C,20.0,950.0,0.6600037203721345,0.3400000000000001,0.0,0.0,4.922041513776631e-09,3.2143841619393204e-14,1.9449204643086503e-14,1.9449204643086503e-14
previous_PDF_conditioned_50C,40.0,966.6666666666666,0.6600103806507546,0.3399962796268337,6.428768323878639e-13,3.889840928617301e-13,8.012257386780307e-09,5.3120931927956225e-14,3.214181664582311e-14,3.214181664582311e-14
previous_PDF_conditioned_50C,60.0,983.3333333333334,0.6600221201221281,0.3399896193465082,1.7052954709427397e-12,1.0318064900079149e-12,1.2855925810762562e-08,8.662924415659375e-14,5.241679973025443e-14,5.241679973025443e-14
previous_PDF_conditioned_50C,80.0,1000.0,0.6600425043042103,0.3399778798723538,3.437880354056233e-12,2.0801019674242073e-12,2.0341267523204866e-08,1.3948733418654473e-13,8.440011037772357e-14,8.440011037772357e-14
previous_PDF_conditioned_50C,100.0,1016.6666666666666,0.6600773891246536,0.3399574956857941,6.227627037727449e-12,3.7680148220118954e-12,3.174999849521271e-08,2.2187785784288807e-13,1.3425369244987604e-13,1.3425369244987604e-13
previous_PDF_conditioned_50C,120.0,1033.333333333333,0.6601362534480313,0.3399226108582283,1.0665184194413199e-11,6.4529119192820495e-12,4.8903301670078544e-08,3.488532399502827e-13,2.1108728475153145e-13,2.1108728475153145e-13
previous_PDF_conditioned_50C,140.0,1050.0,0.6602342176493647,0.339863746523652,1.7642248992955467e-11,1.0674327538345548e-11,7.43471822702815e-08,5.4246767146998e-13,3.2825033227240385e-13,3.2825033227240385e-13
previous_PDF_conditioned_50C,160.0,1066.6666666666663,0.6603950399309757,0.3397657823049049,2.8491602421162115e-11,1.7238739376300774e-11,1.1157818439980389e-07,8.348049695759567e-13,5.051685265862535e-13,5.051685265862535e-13
previous_PDF_conditioned_50C,180.0,1083.333333333333,0.6606554552874838,0.3396049599964955,4.518770180971234e-11,2.7341063842471475e-11,1.653005030335742e-07,1.2723247042388041e-12,7.69983397567852e-13,7.69983397567852e-13
previous_PDF_conditioned_50C,200.0,1100.0,0.6610712604541789,0.3393445445991431,7.063419588729563e-11,4.2738924168147845e-11,2.4168371790305546e-07,1.9222288697878466e-12,1.1634244779673477e-12,1.1634244779673477e-12
previous_PDF_conditioned_50C,227.57091365712665,1129.904770997893,0.6621323760392017,0.3384091025216831,1.5486272841666162e-10,9.371542882034934e-11,4.611674263334014e-07,3.959557061028307e-12,2.39734582629131e-12,2.39734582629131e-12
previous_PDF_conditioned_50C,251.94040066144248,1154.1419413862636,0.6638612135107305,0.336731156023051,2.962052258437511e-10,1.792897495244707e-10,7.47773370648063e-07,7.049168332510248e-12,4.269636768900506e-12,4.269636768900506e-12
previous_PDF_conditioned_50C,273.8136318246275,1174.1657073916667,0.6663813596474568,0.3342710492110234,5.00564704559478e-10,3.0304782367766926e-10,1.0761096279033632e-06,1.1362182603045966e-11,6.882075526842854e-12,6.882075526842854e-12
previous_PDF_conditioned_50C,294.0767762361337,1192.0113781380282,0.6698736220659154,0.3308564465094799,7.917528295735731e-10,4.793119245690209e-10,1.4354946273033055e-06,1.7497907350505963e-11,1.0586847642302107e-11,1.0586847642302107e-11
previous_PDF_conditioned_50C,316.4376271716547,1211.25977968611,0.675470664922311,0.3253841679873309,1.292024640697927e-09,7.813913250221467e-10,1.8566826747836876e-06,2.8246111256283188e-11,1.7014815211311248e-11,1.7014815211311248e-11
previous_PDF_conditioned_50C,337.84454704281166,1229.4375435202828,0.6830502836314578,0.3179725494006374,2.0548297553184313e-09,1.2386981099422948e-09,2.202437702065355e-06,4.5245689982196817e-11,2.6965931217061597e-11,2.6965931217061597e-11
