path,T2_C,G_dot_intrinsic_integrated_m,G_dot_actual_integrated_m,migration_activity_factor_integrated_ratio,Zener_pore_drag_mean,closed_accommodation_migration_factor_mean,PR_memory_migration_factor_mean,event_completion_factor_mean,final_G_um,growth_fraction,T_upper_growth_C,failure_control,non_validation
low_T2,900,2.382683559956429e-07,2.811698437146318e-08,0.1180055331056103,0.9996295777658559,0.7263732040090656,0.8723743926184567,0.11827193529961941,0.07729045955976668,0.545691362636207,,density_not_attained_before_growth_limit,True
near_best,1200,5.501008842141819e-06,5.076046741624749e-07,0.09227483334944776,0.9996265795776653,0.4184103162184919,0.7782865040580473,0.28463777480092406,0.5566946333949778,10.13304399230751,1200.0,intrinsic_growth_dominates_at_density_attaining_temperature,True
high_T2,1300,1.325080106038333e-05,2.2428097696375517e-06,0.16925842893702533,0.999035521418527,0.41710179458547014,0.6631407047178736,0.6939622702846708,2.2936209855707244,44.86892310837381,1300.0,intrinsic_growth_dominates_at_density_attaining_temperature,True
