audit_case,t_s,T_C,rho,A_closed,closed_accommodation_used,closed_accommodation_capacity,closed_shrinkage_flux,Gamma_migration
previous_PDF_conditioned_50C,20.0,950.0,0.6600037203721345,1.0,0.0,0.2,,0.9731464406183428
previous_PDF_conditioned_50C,40.0,966.6666666666666,0.6600103806507546,1.0,0.0,0.2,,0.9731079882411364
previous_PDF_conditioned_50C,60.0,983.3333333333334,0.6600221201221281,1.0,0.0,0.2,,0.9730438184736796
previous_PDF_conditioned_50C,80.0,1000.0,0.6600425043042103,1.0,0.0,0.2,,0.9729375943566246
previous_PDF_conditioned_50C,100.0,1016.6666666666666,0.6600773891246536,1.0,0.0,0.2,,0.9727634326185464
previous_PDF_conditioned_50C,120.0,1033.333333333333,0.6601362534480313,1.0,0.0,0.2,,0.9724806232651674
previous_PDF_conditioned_50C,140.0,1050.0,0.6602342176493647,0.9999999999999998,4.4408920985006264e-17,0.2,,0.9720253654847856
previous_PDF_conditioned_50C,160.0,1066.6666666666663,0.6603950399309757,0.9999999999999996,8.881784197001253e-17,0.2,,0.9712975315819584
previous_PDF_conditioned_50C,180.0,1083.333333333333,0.6606554552874838,0.9999999999999992,1.5543122344752193e-16,0.2,,0.9701387646833732
previous_PDF_conditioned_50C,200.0,1100.0,0.6610712604541789,0.9999999999999986,2.886579864025407e-16,0.2,,0.9682948078330108
previous_PDF_conditioned_50C,227.57091365712665,1129.904770997893,0.6621323760392017,0.9999999999999968,6.439293542825909e-16,0.2,,0.9616097681083052
previous_PDF_conditioned_50C,251.94040066144248,1154.1419413862636,0.6638612135107305,0.9999999999999936,1.2878587085651817e-15,0.2,,0.9487236956361212
previous_PDF_conditioned_50C,273.8136318246275,1174.1657073916667,0.6663813596474568,0.9999999999999876,2.486899575160351e-15,0.2,,0.927242689325002
previous_PDF_conditioned_50C,294.0767762361337,1192.0113781380282,0.6698736220659154,0.9999999999999772,4.551914400963142e-15,0.2,,0.8933039180875152
previous_PDF_conditioned_50C,316.4376271716547,1211.25977968611,0.675470664922311,0.9999999999999551,8.970602038971266e-15,0.2,,0.8351373336718826
previous_PDF_conditioned_50C,337.84454704281166,1229.4375435202828,0.6830502836314578,0.9999999999999152,1.6964207816272393e-14,0.2,,0.7644292459397258
previous_PDF_conditioned_50C,359.08429423123346,1247.3646333006618,0.6932643716073993,0.9999999999998416,3.168576512280197e-14,0.2,,0.6995118398181168
previous_PDF_conditioned_50C,380.1962251745866,1265.1594294087097,0.7066008823258386,0.9999999999997076,5.848654893725325e-14,0.2,,0.6601531733452649
previous_PDF_conditioned_50C,400.812455853496,1282.5349779056655,0.7230732693554824,0.9999999999994766,1.0467182676165977e-13,0.2,,0.6531791939924164
previous_PDF_conditioned_50C,422.17516540107687,1300.5265964383584,0.7438549137095656,0.9999999999990596,1.8807178037150152e-13,0.2,,0.678398614419678
previous_PDF_conditioned_50C,442.3582125639001,1317.495567514576,0.7666698526216738,0.9999999999983736,3.252731417546784e-13,0.2,,0.7290587812215235
previous_PDF_conditioned_50C,462.933512842488,1334.7547974467325,0.7923782662514061,0.999999999997142,5.716094264585081e-13,0.2,,0.8012354316876579
previous_PDF_conditioned_50C,483.0085244596477,1351.5479237097056,0.8184592146303765,0.999999999995004,9.992007221626409e-13,0.2,,0.8762912730383103
previous_PDF_conditioned_50C,503.5373746653885,1368.666139662157,0.8430774005789631,0.9999999999912478,1.7504442340054994e-12,0.2,,0.9275046578042928
previous_PDF_conditioned_50C,524.1527254503575,1385.831431859366,0.8653450760942059,0.9999999999848282,3.0343505486030153e-12,0.2,,0.9617205080195584
previous_PDF_conditioned_50C,545.2398307566415,1403.3762537496875,0.8856901085603426,0.9999999999739132,5.2173598774629685e-12,0.2,,0.9834308155514944
previous_PDF_conditioned_50C,565.800496696502,1420.4760204217478,0.9032816911544634,0.999999999957018,8.59639026629111e-12,0.2,,0.9942228604003897
previous_PDF_conditioned_50C,585.8275025676794,1437.1298025629872,0.9184044642835624,0.9999999999323558,1.352884471117477e-11,0.2,,0.9984310368715064
previous_PDF_conditioned_50C,606.5394138870926,1454.3541810896922,0.9320873334332276,0.9999999998956242,2.087516826065894e-11,0.2,,0.9997075330522618
previous_PDF_conditioned_50C,626.5651723505068,1471.0102772522237,0.9435568076622408,0.9999999998463064,3.0738722678336215e-11,0.2,,0.9999604103398312
previous_PDF_conditioned_50C,647.1532511421141,1488.136440321079,0.9536845007606088,0.9999999997780245,4.439510981057993e-11,0.2,,0.9999967598559708
previous_PDF_conditioned_50C,660.0,1499.804882519801,0.9592159606659444,0.999999999724724,5.505520483950477e-11,0.2,,0.999999560868692
resolved_5C,60.0,950.0000000000001,0.6600093452995124,3.230773714999419e-08,0.19999999353845258,0.2,0.0,0.11062739608200141
resolved_5C,120.0,955.0000000000001,0.6600204926235029,1.0503295893285228e-07,0.19999997899340824,0.2,0.0,0.11081844490426265
resolved_5C,180.0,960.0000000000001,0.6600337702633922,2.282277068279516e-07,0.19999995435445864,0.2,4.071548167676571e-24,0.11101094707617305
resolved_5C,240.0,965.0000000000001,0.6600495627501042,4.143285486051666e-07,0.1999999171342903,0.2,3.032548861876923e-23,0.11120493191540164
resolved_5C,300.0,970.0000000000001,0.660068319852464,6.78694024186244e-07,0.19999986426119518,0.2,1.2608104885075468e-22,0.11140043401127968
resolved_5C,360.0,975.0000000000001,0.6600905669049827,1.040256509434622e-06,0.1999997919486981,0.2,3.95019900029286e-22,0.11159749383109982
resolved_5C,420.0,980.0000000000001,0.6601169166420406,1.5223112612189848e-06,0.19999969553774777,0.2,1.0445363780377693e-21,0.11179615834712259
resolved_5C,480.0,985.0000000000001,0.660148082735325,2.153469542935494e-06,0.19999956930609142,0.2,2.4666792183420316e-21,0.11199648166889098
resolved_5C,540.0,990.0000000000001,0.6601848952525975,2.96880751089717e-06,0.19999940623849782,0.2,5.374361902425841e-21,0.11219852565885621
resolved_5C,600.0,995.0000000000001,0.66022831827831,4.011248036170801e-06,0.19999919775039277,0.2,1.1027672150544217e-20,0.11240236050079357
resolved_5C,660.0,1000.0000000000001,0.6602794699599515,5.333218905556392e-06,0.1999989333562189,0.2,2.1605890330236126e-20,0.1126080651795464
resolved_5C,720.0,1005.0000000000001,0.6603396452679293,6.9986379390766e-06,0.1999986002724122,0.2,4.0813489137777575e-20,0.11281572781670833
resolved_5C,780.0,1010.0000000000001,0.6604103417806314,9.085283507017608e-06,0.1999981829432986,0.2,7.485948780722853e-20,0.11302544578922155
resolved_5C,840.0,1015.0000000000001,0.6604932888292621,1.1687617718724892e-05,0.19999766247645626,0.2,1.3402912516644407e-19,0.11323732553571796
resolved_5C,900.0,1020.0000000000001,0.6605904803579301,1.492013912447631e-05,0.19999701597217512,0.2,2.3519025088063277e-19,0.1134514819277942
resolved_5C,960.0,1025.0,0.6607042118717539,1.89213519763434e-05,0.19999621572960474,0.2,4.0576747423553385e-19,0.11366803704924058
resolved_5C,1020.0,1030.0,0.6608371218573847,2.3858449673792726e-05,0.19999522831006525,0.2,6.900103609339144e-19,0.11388711818439474
resolved_5C,1080.0,1035.0,0.6609922380636651,2.9932820552992636e-05,0.1999940134358894,0.2,1.1588312825847738e-18,0.11410885476617195
resolved_5C,1140.0,1040.0,0.6611730290217093,3.738649402209564e-05,0.1999925227011956,0.2,1.925174276078625e-18,0.11433337397401405
resolved_5C,1200.0,1045.0,0.6613834611591517,4.650965325709536e-05,0.19999069806934858,0.2,3.1679188283018994e-18,0.1145607946015771
resolved_5C,1260.0,1050.0,0.6616280618171662,5.764934591959839e-05,0.1999884701308161,0.2,5.168901362342745e-18,0.11479121873392766
resolved_5C,1320.0,1055.0,0.6619119884043273,7.121952479365304e-05,0.1999857560950413,0.2,8.370018846382433e-18,0.1150247206864822
resolved_5C,1380.0,1060.0,0.6622411038101155,8.771254336847057e-05,0.19998245749132632,0.2,1.3460957115147964e-17,0.11526133256774
resolved_5C,1440.0,1065.0,0.6626220580428099,0.00010771221391434226,0.19997845755721713,0.2,2.1513439944565324e-17,0.11550102574408429
resolved_5C,1500.0,1070.0,0.6630623758397094,0.00013190850323060147,0.1999736182993539,0.2,3.418586949316522e-17,0.11574368742306589
resolved_5C,1560.0,1075.0,0.663570549708135,0.0001611138885699857,0.199967777222286,0.2,5.403405257401933e-17,0.11598909155645148
resolved_5C,1620.0,1080.0,0.6641561374776421,0.00019628131658936833,0.19996074373668216,0.2,8.498115026734674e-17,0.11623686333388808
resolved_5C,1680.0,1085.0,0.6648298629597348,0.00023852359359187152,0.19995229528128164,0.2,1.3302557876195028e-16,0.11648643674791759
resolved_5C,1740.0,1090.0,0.6656037177024539,0.0002891338767547566,0.19994217322464905,0.2,2.0730289976405805e-16,0.11673700513935369
resolved_5C,1800.0,1095.0,0.6664910610746289,0.0003496067238315401,0.1999300786552337,0.2,3.216717521932145e-16,0.11698746538317019
resolved_5C,1860.0,1100.0,0.6675067150008351,0.0004216588837948142,0.19991566822324103,0.2,4.970714282859665e-16,0.11723635758050194
resolved_5C,1920.0,1105.0,0.6686670485791459,0.0005072486662655385,0.1998985502667469,0.2,7.650089637598416e-16,0.11748180393353232
resolved_5C,1980.0,1110.0,0.6699900465420222,0.0006085923121947854,0.19987828153756104,0.2,1.1726885700013383e-15,0.11772145304625875
resolved_5C,2040.0,1115.0,0.6714953540684605,0.0007281753116688337,0.19985436493766626,0.2,1.790510920132695e-15,0.11795243931480387
resolved_5C,2100.0,1120.0,0.6732042888392421,0.0008687561047591167,0.1998262487790482,0.2,2.722962059205563e-15,0.11817137130725794
resolved_5C,2160.0,1125.0,0.675139809481133,0.001033359115041324,0.19979332817699175,0.2,4.12430100437604e-15,0.1183743677638626
resolved_5C,2220.0,1130.0,0.6773264277255721,0.0012252537033555898,0.1997549492593289,0.2,6.220959794564109e-15,0.11855716426167826
resolved_5C,2280.0,1135.0,0.6797900497899263,0.0014479155531910831,0.19971041688936178,0.2,9.343202566945279e-15,0.11871531612460302
resolved_5C,2340.0,1140.0,0.6825577307706598,0.0017049674485729441,0.19965900651028543,0.2,1.3969352914397918e-14,0.11884452128271085
resolved_5C,2400.0,1145.0,0.6856573243246404,0.0020000977059927622,0.19959998045880145,0.2,2.078678066598247e-14,0.11894107695162563
resolved_5C,2460.0,1150.0,0.6891170087126903,0.0023369570599601746,0.19953260858800798,0.2,3.077483345647657e-14,0.11900246216793345
resolved_5C,2568.604915067467,1159.7350497364346,0.6964197876485069,0.0030601525138485306,0.1993879694972303,0.2,6.504314060113211e-14,0.1190204330000254
resolved_5C,2660.650458329656,1168.0261201609123,0.7037669343465773,0.0037971566667349614,0.19924056866665302,0.2,1.2098617072593916e-13,0.11894705567362392
resolved_5C,2741.220538147253,1175.179041982899,0.7111276621839767,0.004543285705289987,0.19909134285894203,0.2,2.0400724667566637e-13,0.11885092905680998
resolved_5C,2813.331471991085,1181.5161352036444,0.7184736205207269,0.005294773752697223,0.19894104524946055,0.2,3.2094043339595656e-13,0.11877117774113796
resolved_5C,2878.928460029897,1187.23750192017,0.7257779992257303,0.006048840440506108,0.1987902319118988,0.2,4.796983800521359e-13,0.11872752728813839
resolved_5C,2939.343844016251,1192.4764339770754,0.7330151614164067,0.0068034548324686665,0.19863930903350627,0.2,6.894466942672441e-13,0.11872931209625438
resolved_5C,3022.270746917048,1199.6277132461332,0.7436912023389415,0.007933177430728897,0.19841336451385425,0.2,1.1229196670141304e-12,0.118825535051283
resolved_5C,3097.8996745577724,1206.1162336621696,0.7540816505614127,0.009057126845115938,0.19818857463097683,0.2,1.7359642895623574e-12,0.11903553170000468
resolved_5C,3167.7694148165747,1212.0870620505516,0.7641133454631297,0.010173012472208929,0.19796539750555822,0.2,2.5770386742660514e-12,0.11935349474964585
resolved_5C,3233.055828126055,1217.6439873255626,0.7735741775215688,0.011280960260934721,0.19774380794781307,0.2,3.6272029971699678e-12,0.11945059913203855
resolved_5C,3294.7375763744158,1222.8783099209459,0.7821170500768574,0.012383883089001834,0.19752322338219963,0.2,4.910325707578394e-12,0.11942164367378737
resolved_5C,3372.321408112411,1229.4478749862628,0.7922628231585254,0.013846533794215793,0.19723069324115686,0.2,7.141083363873756e-12,0.11955294907138993
resolved_5C,3445.4804668398197,1235.6300629427674,0.8012050683505398,0.015301152742424936,0.19693976945151503,0.2,1.0089622427853823e-11,0.11984435269880386
