audit_case,source_layer,t_s,T_C,rho,G_um,rho_dot_open_sinv,rho_dot_closed_sinv,total_rho_dot_sinv,PR_coarsening_flux,PR_to_precursor_flux,precursor_to_closed_flux,closure_rate,closed_shrinkage_flux,phi_open,phi_precursor,phi_closed,A_closed,closed_accommodation_used,closed_accommodation_capacity,activity,tau_nuc_s,tau_exchange_s,tau_transport_s,tau_cycle_s,sigma_eff_Pa,P_surf,P_dens,P_excess,Gamma_migration,G_dot_intrinsic,G_dot_actual,pore_D90_m,fine_pore_fraction,connected_removable_factor,open_path_eligibility,tau_remove_D90_s
previous_PDF_conditioned_50C,previous_pdf_conditioned,20.0,950.0,0.6600037203721345,0.0500055880727193,1.8601860672150374e-07,0.0,1.8601860672150374e-07,4.922041513776631e-09,3.2143841619393204e-14,1.9449204643086503e-14,1.9449204643086503e-14,,0.3400000000000001,0.0,0.0,1.0,0.0,0.2,0.0002310437734114,,,,,250000000.0,307.7314516960405,46.50465168037593,261.2268000156646,0.9731464406183428,2.871136596773166e-13,2.7940363596788685e-13,5.0778263157337946e-08,0.8245566615519667,,,233587504.5382936
previous_PDF_conditioned_50C,previous_pdf_conditioned,40.0,966.6666666666666,0.6600103806507546,0.0500151342580843,3.330139310095769e-07,6.967885138732421e-19,3.3301393101027367e-07,8.012257386780307e-09,5.3120931927956225e-14,3.214181664582311e-14,3.214181664582311e-14,,0.3399962796268337,6.428768323878639e-13,3.889840928617301e-13,1.0,0.0,0.2,0.0002537951861928,,,,,250000000.0,508.5048230356014,83.25348275239422,425.2513402832072,0.9731079882411364,4.904997944886264e-13,4.773092682475182e-13,5.0778263157337946e-08,0.8245547508553266,,,129675252.10647942
previous_PDF_conditioned_50C,previous_pdf_conditioned,60.0,983.3333333333334,0.6600221201221281,0.0500312103426673,5.869735686743083e-07,2.0258594398075443e-18,5.869735686763342e-07,1.2855925810762562e-08,8.662924415659375e-14,5.241679973025443e-14,5.241679973025443e-14,,0.3399896193465082,1.7052954709427397e-12,1.0318064900079149e-12,1.0,0.0,0.2,0.0002781878563169,,,,,250000000.0,829.1132533806401,146.7433921685771,682.369861212063,0.9730438184736796,8.260719752712663e-13,8.038042291520479e-13,5.0778263157337946e-08,0.8245513302941974,,,73159815.24087468
previous_PDF_conditioned_50C,previous_pdf_conditioned,80.0,1000.0,0.6600425043042103,0.0500579112537666,1.0192091041009072e-06,4.4676483391863274e-18,1.0192091041053748e-06,2.0341267523204866e-08,1.3948733418654473e-13,8.440011037772357e-14,8.440011037772357e-14,,0.3399778798723538,3.437880354056233e-12,2.0801019674242073e-12,1.0,0.0,0.2,0.0003043277438244,,,,,250000000.0,1334.5749865291575,254.80227602522675,1079.772710503931,0.9729375943566246,1.3721800480412068e-12,1.3350455549653694e-12,5.0778263157337946e-08,0.8245453010261322,,,41918373.68027564
previous_PDF_conditioned_50C,previous_pdf_conditioned,100.0,1016.6666666666666,0.6600773891246536,0.0501016685085988,1.7442410221565634e-06,8.837586368184975e-18,1.7442410221654009e-06,3.174999849521271e-08,2.2187785784288807e-13,1.3425369244987604e-13,1.3425369244987604e-13,,0.3399574956857941,6.227627037727449e-12,3.7680148220118954e-12,1.0,0.0,0.2,0.0003323539138936,,,,,250000000.0,2121.66642552277,436.0602555391408,1685.6061699836291,0.9727634326185464,2.249121079437657e-12,2.187862741608505e-12,5.0778263157337946e-08,0.8245348312120601,,,24377187.519018095
previous_PDF_conditioned_50C,previous_pdf_conditioned,120.0,1033.333333333333,0.6601362534480313,0.05017244622712,2.9432161688717077e-06,1.6503798356655553e-17,2.9432161688882113e-06,4.8903301670078544e-08,3.488532399502827e-13,2.1108728475153145e-13,2.1108728475153145e-13,,0.3399226108582283,1.0665184194413199e-11,6.4529119192820495e-12,1.0,0.0,0.2,0.0003624612732621,,,,,250000000.0,3332.625236287256,735.8040422179268,2596.821194069329,0.9724806232651674,3.639029756890237e-12,3.5388859260611085e-12,5.0778263157337946e-08,0.8245169110434952,,,14380140.8934206
previous_PDF_conditioned_50C,previous_pdf_conditioned,140.0,1050.0,0.6602342176493647,0.0502854669974783,4.89821006663898e-06,2.9740374642429243e-17,4.8982100666687205e-06,7.43471822702815e-08,5.4246767146998e-13,3.2825033227240385e-13,3.2825033227240385e-13,,0.339863746523652,1.7642248992955467e-11,1.0674327538345548e-11,0.9999999999999998,4.4408920985006264e-17,0.2,0.0003949375713317,,,,,250000000.0,5173.802361282888,1224.5525166597452,3949.249844623143,0.9720253654847856,5.813673921045629e-12,5.651038517913745e-12,5.0778263157337946e-08,0.8244866650945566,,,8600378.473383276
previous_PDF_conditioned_50C,previous_pdf_conditioned,160.0,1066.6666666666663,0.6603950399309757,0.050463646040588,8.041114080495897e-06,5.230327771906597e-17,8.0411140805482e-06,1.1157818439980389e-07,8.348049695759567e-13,5.051685265862535e-13,5.051685265862535e-13,,0.3397657823049049,2.8491602421162115e-11,1.7238739376300774e-11,0.9999999999999996,8.881784197001253e-17,0.2,0.0004302227409966,,,,,250000000.0,7940.414423562521,2010.2785201239744,5930.135903438546,0.9712975315819584,9.172217436791273e-12,8.908952155488362e-12,5.0778263157337946e-08,0.824436306634849,,,5212450.943383914
previous_PDF_conditioned_50C,previous_pdf_conditioned,180.0,1083.333333333333,0.6606554552874838,0.0507409223879784,1.3020767825313896e-05,9.03812840324478e-17,1.3020767825404278e-05,1.653005030335742e-07,1.2723247042388041e-12,7.69983397567852e-13,7.69983397567852e-13,,0.3396049599964955,4.518770180971234e-11,2.7341063842471475e-11,0.9999999999999992,1.5543122344752193e-16,0.2,0.0004690027303584,,,,,250000000.0,12048.214678373068,3255.1919563284746,8793.022722044592,0.9701387646833732,1.4290550871909114e-11,1.3863817369518808e-11,5.0778263157337946e-08,0.8243535751503184,,,3199997.539395106
previous_PDF_conditioned_50C,previous_pdf_conditioned,200.0,1100.0,0.6610712604541789,0.0511666242480464,2.0790258334604853e-05,1.5420128107394438e-16,2.0790258334759054e-05,2.4168371790305546e-07,1.9222288697878466e-12,1.1634244779673477e-12,1.1634244779673477e-12,,0.3393445445991431,7.063419588729563e-11,4.2738924168147845e-11,0.9999999999999986,2.886579864025407e-16,0.2,0.0005123557804486,,,,,250000000.0,18071.729121117187,5197.564583651213,12874.164537465977,0.9682948078330108,2.1982037733979793e-11,2.1285093003401954e-11,5.0778263157337946e-08,0.8242194479570778,,,1989139.862479822
