attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,candidate_id,rho_high_final,rho_two_final,G_high_final_nm,G_two_final_nm,switched,projection_only
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,805681,0.703116148266473,0.703116148266473,560.7444535115114,560.7444535115114,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,759225,0.7158101557591012,0.7158101557591012,28539.38233669146,28539.38233669146,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,638139,0.7005387494001389,0.7005387494001389,3487.166281520283,3487.166281520283,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,202750,0.7000000037996534,0.7000000037996534,1528.6711434896213,1528.6711434896213,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,688299,0.7114967224140898,0.7114967224140898,914.7303337212966,914.7303337212966,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,596281,0.70229059910919,0.70229059910919,544.3189789166265,544.3189789166265,False,False
True,0.0,0.0,0.0,0.0,0.0,0.0,reject,reduction_below_threshold,719620,0.9825999450454271,0.9940810869361684,361.7778284422856,361.95692598336393,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,822047,0.7083753759904017,0.7083753759904017,19539.455869750742,19539.455869750742,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,279616,0.7091864183525074,0.7091864183525074,27632.944456348137,27632.944456348137,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,359138,0.7105844324466727,0.7105844324466727,369.4861465250989,369.4861465250989,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,76510,0.7081895543231893,0.7081895543231893,902.4940351720452,902.4940351720452,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,481152,0.7000000004643965,0.7000000004643965,7149.658302592349,7149.658302592349,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,719751,0.7424055600036714,0.7424055600036714,12206.430352894526,12206.430352894526,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,251336,0.7103256011100595,0.7103256011100595,20702.2724363309,20702.2724363309,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,677680,0.700000000265665,0.700000000265665,1185.342327828673,1185.342327828673,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,861450,0.7078197562287769,0.7078197562287769,3267.79228668985,3267.79228668985,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,958743,0.7001020732386396,0.7001020732386396,522.657262438464,522.657262438464,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,794794,0.7146112305503693,0.7146112305503693,18708.893728660605,18708.893728660605,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,199043,0.8896004102122173,0.9949474199420861,868.5913578034185,875.4009693969938,True,False
True,0.012041855202873597,0.01710847054060316,0.023276028211199007,0.0,0.0,0.0004955671979512007,Tier_C,,210897,0.9941922935250194,0.9949639406889963,147.62498486523148,142.02500689483435,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,106768,0.9277149377241161,0.9928379658578311,132.35156740355515,132.42273199569652,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,981830,0.7100929408911063,0.7100929408911063,93521.23081988345,93521.23081988345,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,658403,0.7908507118126615,0.7908507118126615,4534.65491939735,4534.65491939735,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,521088,0.7093324073726075,0.7093324073726075,48212.733679710786,48212.733679710786,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,846044,0.7148918815416607,0.7148918815416607,9571.376477182668,9571.376477182668,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,963682,0.7000132347809798,0.7000132347809798,3470.4501183244665,3470.4501183244665,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,185888,0.7092331993048125,0.7092331993048125,10475.951431839056,10475.951431839056,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,363986,0.7006620581804337,0.7006620581804337,1169.788829089853,1169.788829089853,False,False
True,0.0,0.0,0.0,0.0,0.0,0.0,reject,reduction_below_threshold,249826,0.9948954928833464,0.9945114999781176,14563.447865330189,14559.79927125524,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,460739,0.7100517327328804,0.7100517327328804,476.21994550431805,476.21994550431805,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,156116,0.7122139470134234,0.7122139470134234,11403.983609872292,11403.983609872292,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,521726,0.7089582287982046,0.7089582287982046,219.87108915049484,219.87108915049484,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,246898,0.7000000001201572,0.7000000001201572,11384.070362200857,11384.070362200857,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,148979,0.7096094932758923,0.7096094932758923,680.6485569988977,680.6485569988977,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,837328,0.7118694034022779,0.7118694034022779,1101.304143446838,1101.304143446838,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,877274,0.716566974413068,0.716566974413068,31291.85829979616,31291.85829979616,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,120888,0.7097720956179607,0.7097720956179607,7742.932193324861,7742.932193324861,False,False
True,6.178378397581064e-05,9.309563653780994e-05,0.00025915985474833647,0.0,0.0,3.905331932560629e-06,Tier_C,,543909,0.9944253189390349,0.9948420716863613,1883.6306261168527,1882.8153911332267,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,529546,0.7120025631711766,0.7120025631711766,6833.063530629927,6833.063530629927,False,False
True,5.710372136724651e-05,0.00015602043350160244,0.0001903381338627108,0.0,0.0,4.24870373896693e-06,Tier_C,,353596,0.9857626307718224,0.9948691130536395,11731.125525153444,11727.94834125841,True,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,764874,0.8623923772631109,0.8623923772631109,8636.078383852064,8636.078383852064,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,261352,0.7046640483874059,0.7046640483874059,3220.1614425883226,3220.1614425883226,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,845795,0.8774982476775762,0.8774982476775762,2932.97968449816,2932.97968449816,False,False
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,754123,0.714346311492323,0.714346311492323,828.1358593114971,828.1358593114971,False,False
