candidate_id,T1_C,T2_C,rho_switch,rho_target,rho_final,growth_fraction,classification
554030,1400,800,0.88,0.98,0.8803454487670315,1.6896296398140036,mixed
554030,1400,850,0.88,0.98,0.8803466355370944,1.6896296502331882,mixed
554030,1400,900,0.88,0.98,0.8803567675642551,1.6896297501381214,mixed
554030,1400,950,0.88,0.98,0.8804290420205448,1.689630543319705,mixed
554030,1400,1000,0.88,0.98,0.880868014695227,1.689635875284233,mixed
554030,1400,1050,0.88,0.98,0.8831532521547292,1.68966680161157,mixed
554030,1400,1100,0.88,0.98,0.8930038404422905,1.6898240888789484,mixed
554030,1400,1150,0.88,0.98,0.922617139015993,1.6905351980940733,mixed
554030,1400,1200,0.88,0.98,0.9612350863833027,1.693425547666104,mixed
554030,1400,1250,0.88,0.98,0.9753103686907982,1.7040700033771423,mixed
554030,1400,1300,0.88,0.98,0.9784023649732287,1.739617902058935,mixed
554030,1400,1350,0.88,0.98,0.9792383411046024,1.845743514022982,mixed
554030,1400,1400,0.88,0.98,0.9795647242374639,2.118256133599065,mixed
554030,1400,1450,0.88,0.98,0.979564900723103,2.6916284694121697,mixed
554030,1400,1500,0.88,0.98,0.9795649725462509,3.673965605569143,mixed
932748,1400,800,0.88,0.98,0.880135190862285,4.451003400063205,mixed
932748,1400,850,0.88,0.98,0.8801486214051759,4.451003468801045,mixed
932748,1400,900,0.88,0.98,0.8802632320278193,4.451004127743496,mixed
932748,1400,950,0.88,0.98,0.8810780644902443,4.451009359439768,mixed
932748,1400,1000,0.88,0.98,0.8859259085122692,4.451044528157481,mixed
932748,1400,1050,0.88,0.98,0.9085206975613072,4.4512485111505224,mixed
932748,1400,1100,0.88,0.98,0.967528018591991,4.452285896554356,mixed
932748,1400,1150,0.88,0.98,0.9949853415648537,4.454698840766342,grain_growth
932748,1400,1200,0.88,0.98,0.9949629685873134,4.458213670756386,grain_growth
932748,1400,1250,0.88,0.98,0.9949191110343694,4.472660840780944,grain_growth
932748,1400,1300,0.88,0.98,0.9948656743556239,4.521827007019101,grain_growth
932748,1400,1350,0.88,0.98,0.9946225505842244,4.673988746478854,grain_growth
932748,1400,1400,0.88,0.98,0.9946225505842244,5.101163220584709,grain_growth
932748,1400,1450,0.88,0.98,0.9946225505842244,6.145212618744224,grain_growth
932748,1400,1500,0.88,0.98,0.9946225505842244,8.324145191900243,grain_growth
690517,1400,800,0.88,0.98,0.880302236720632,2.307984221290144,mixed
690517,1400,850,0.88,0.98,0.8803095131347469,2.307986712738864,mixed
690517,1400,900,0.88,0.98,0.8803716224092701,2.308010248274977,mixed
690517,1400,950,0.88,0.98,0.8808139909562187,2.308177019900082,mixed
690517,1400,1000,0.88,0.98,0.8834754974738792,2.3087959432173677,mixed
690517,1400,1050,0.88,0.98,0.8966404040105176,2.3094740516854197,mixed
690517,1400,1100,0.88,0.98,0.9411959921984225,2.3097180897240928,mixed
690517,1400,1150,0.88,0.98,0.9941718784170995,2.3099069307133426,grain_growth
690517,1400,1200,0.88,0.98,0.9949497254712063,2.3119748909816407,grain_growth
690517,1400,1250,0.88,0.98,0.9948344617402484,2.3201707948603985,grain_growth
690517,1400,1300,0.88,0.98,0.9948099471237613,2.3478564073985178,grain_growth
690517,1400,1350,0.88,0.98,0.9948181485987531,2.432873003267159,grain_growth
690517,1400,1400,0.88,0.98,0.9948181486047513,2.6614682919785166,grain_growth
690517,1400,1450,0.88,0.98,0.9948181486058272,3.1759138886455966,grain_growth
690517,1400,1500,0.88,0.98,0.9948181486062991,4.122220861619343,grain_growth
534192,1400,800,0.88,0.98,0.8816347418923052,0.9337005351460035,mixed
534192,1400,850,0.88,0.98,0.8816366029191143,0.9337005489471641,mixed
534192,1400,900,0.88,0.98,0.8816524913722356,0.9337006798935255,mixed
534192,1400,950,0.88,0.98,0.8817658264744211,0.9337016403681648,mixed
534192,1400,1000,0.88,0.98,0.8824541319987537,0.9337065485985299,mixed
534192,1400,1050,0.88,0.98,0.8860356213599496,0.9337363750331118,mixed
534192,1400,1100,0.88,0.98,0.9014240051117792,0.9338880576697193,mixed
534192,1400,1150,0.88,0.98,0.9464340744520234,0.9345736044480275,mixed
534192,1400,1200,0.88,0.98,0.9942170314318547,0.9373562999299543,grain_growth
534192,1400,1250,0.88,0.98,0.9949082044461081,0.9415457335942004,grain_growth
534192,1400,1300,0.88,0.98,0.9948242537971074,0.9558822500586885,grain_growth
534192,1400,1350,0.88,0.98,0.9948333394235261,0.9992610644499549,grain_growth
534192,1400,1400,0.88,0.98,0.9948744738208742,1.1124666779754135,grain_growth
534192,1400,1450,0.88,0.98,0.9948149210641273,1.3565599649129507,grain_growth
534192,1400,1500,0.88,0.98,0.9948154343034316,1.7736626123739558,grain_growth
65841,1400,800,0.88,0.98,0.8821560902050642,16.481285139817043,mixed
65841,1400,850,0.88,0.98,0.8821677869772763,16.48128624712439,mixed
65841,1400,900,0.88,0.98,0.8822676078991625,16.48129682780956,mixed
65841,1400,950,0.88,0.98,0.8829775805102187,16.48137866862378,mixed
65841,1400,1000,0.88,0.98,0.8872122629748078,16.48189722085321,mixed
65841,1400,1050,0.88,0.98,0.9072210669293361,16.484649298225587,mixed
65841,1400,1100,0.88,0.98,0.9628210573820183,16.49888203741339,mixed
65841,1400,1150,0.88,0.98,0.9949691319129196,16.528555424089912,grain_growth
65841,1400,1200,0.88,0.98,0.9948321599480864,16.53885067663305,grain_growth
65841,1400,1250,0.88,0.98,0.99488216800649,16.611505640272977,grain_growth
65841,1400,1300,0.88,0.98,0.9947227885989935,16.87118614160333,grain_growth
65841,1400,1350,0.88,0.98,0.9948352591741448,17.69041321321787,grain_growth
65841,1400,1400,0.88,0.98,0.9948357107759607,19.930864863503476,grain_growth
65841,1400,1450,0.88,0.98,0.9948357107759607,25.125109293098316,grain_growth
65841,1400,1500,0.88,0.98,0.9948357107759607,35.30121914537639,grain_growth
976005,1400,800,0.88,0.98,0.8933153159731302,5.477690396120946,mixed
976005,1400,850,0.88,0.98,0.8933177964167773,5.477691513708221,mixed
976005,1400,900,0.88,0.98,0.893338972308782,5.477702219321692,mixed
976005,1400,950,0.88,0.98,0.893489981495218,5.477786635381229,mixed
976005,1400,1000,0.88,0.98,0.8944055002981597,5.478329815158799,mixed
976005,1400,1050,0.88,0.98,0.899125078503844,5.480955011486454,mixed
976005,1400,1100,0.88,0.98,0.9185459638572369,5.4912684881714435,mixed
976005,1400,1150,0.88,0.98,0.9667354113022136,5.539694250856389,mixed
976005,1400,1200,0.88,0.98,0.9949411509970806,5.553209443498729,grain_growth
976005,1400,1250,0.88,0.98,0.9948733802100735,5.56168818019417,grain_growth
976005,1400,1300,0.88,0.98,0.9944433930756471,5.595869766782197,grain_growth
976005,1400,1350,0.88,0.98,0.9945816940410253,5.722525578492111,grain_growth
976005,1400,1400,0.88,0.98,0.9949235995942867,6.099929580240504,grain_growth
976005,1400,1450,0.88,0.98,0.9937859866719962,7.046400022709728,grain_growth
976005,1400,1500,0.88,0.98,0.9937881017022998,9.164525901443195,grain_growth
569105,1400,800,0.88,0.98,0.8802325210600694,3.3800224460931876,mixed
569105,1400,850,0.88,0.98,0.8802363066710293,3.380024283003496,mixed
569105,1400,900,0.88,0.98,0.8802686221404943,3.3800386346597007,mixed
569105,1400,950,0.88,0.98,0.8804989234948745,3.380080829898038,mixed
569105,1400,1000,0.88,0.98,0.8818896777042162,3.380113798777362,mixed
569105,1400,1050,0.88,0.98,0.8889102073108688,3.380130896330609,mixed
569105,1400,1100,0.88,0.98,0.915205631327094,3.3803092403595505,mixed
569105,1400,1150,0.88,0.98,0.9630396041633376,3.3813585473288335,mixed
569105,1400,1200,0.88,0.98,0.9846355355427913,3.3856214845493,grain_growth
569105,1400,1250,0.88,0.98,0.988328641999117,3.4012928260860527,grain_growth
569105,1400,1300,0.88,0.98,0.9891620686445591,3.453316616475126,grain_growth
569105,1400,1350,0.88,0.98,0.9894494589545083,3.605973594054203,grain_growth
569105,1400,1400,0.88,0.98,0.9894494589545385,3.9826978526479193,grain_growth
569105,1400,1450,0.88,0.98,0.9894494589545496,4.723970981018298,grain_growth
569105,1400,1500,0.88,0.98,0.9894494589545538,5.89336890829223,grain_growth
932668,1400,800,0.88,0.98,0.8840059487457651,2.5958059117132097,mixed
932668,1400,850,0.88,0.98,0.8840079173188982,2.595805955765476,mixed
932668,1400,900,0.88,0.98,0.8840247238318513,2.5958062930271955,mixed
932668,1400,950,0.88,0.98,0.8841446017314205,2.5958086103223845,mixed
932668,1400,1000,0.88,0.98,0.8848724208455354,2.595824543420126,mixed
932668,1400,1050,0.88,0.98,0.8886532993122888,2.5959169580277295,mixed
932668,1400,1100,0.88,0.98,0.9047749804992183,2.5963869627790763,mixed
932668,1400,1150,0.88,0.98,0.9506340167294729,2.598511813533317,mixed
932668,1400,1200,0.88,0.98,0.9949949979340187,2.606617797229859,grain_growth
932668,1400,1250,0.88,0.98,0.9949407579447972,2.6142945124552392,grain_growth
932668,1400,1300,0.88,0.98,0.9947344014605043,2.6431148261756396,grain_growth
932668,1400,1350,0.88,0.98,0.9948125168068127,2.7351805675825647,grain_growth
932668,1400,1400,0.88,0.98,0.9947840053816815,2.991483797387961,grain_growth
932668,1400,1450,0.88,0.98,0.9946745495910101,3.632264741384457,grain_growth
932668,1400,1500,0.88,0.98,0.9946745514692578,4.982483482347341,grain_growth
298414,1400,800,0.88,0.98,0.8812391235713463,9.354444825006365,mixed
298414,1400,850,0.88,0.98,0.8812406544442932,9.354450142232047,mixed
298414,1400,900,0.88,0.98,0.881253724359818,9.354500924383759,mixed
298414,1400,950,0.88,0.98,0.8813469616063037,9.35489187822987,mixed
298414,1400,1000,0.88,0.98,0.8819134836522463,9.357057726312535,mixed
298414,1400,1050,0.88,0.98,0.8848690461043522,9.362707584048263,mixed
298414,1400,1100,0.88,0.98,0.8977298411518799,9.367260477775387,mixed
298414,1400,1150,0.88,0.98,0.9374843781822705,9.368790582385294,mixed
298414,1400,1200,0.88,0.98,0.9887236658004035,9.369970128398553,grain_growth
298414,1400,1250,0.88,0.98,0.9949526397230628,9.395235978050524,grain_growth
298414,1400,1300,0.88,0.98,0.994936921557162,9.474586073307162,grain_growth
298414,1400,1350,0.88,0.98,0.9948328853307583,9.7148750764895,grain_growth
298414,1400,1400,0.88,0.98,0.994724844833194,10.361280565135203,grain_growth
298414,1400,1450,0.88,0.98,0.9947859528639572,11.85153208066625,grain_growth
298414,1400,1500,0.88,0.98,0.9948031140167045,14.638168137543039,grain_growth
175423,1400,800,0.88,0.98,0.8877415350575373,355.4226065918754,mixed
175423,1400,850,0.88,0.98,0.8877424499296659,355.4226172795994,mixed
