figure_id,filename_pdf,filename_png,short_title,source_table_or_script,purpose,manuscript_location
1,figures/optimizer_convergence.pdf,figures/optimizer_convergence.png,optimizer_convergence,massive_latent_topology_plots.py,search diagnostic,audit
2,figures/massive_screen_phase_map.pdf,figures/massive_screen_phase_map.png,massive_screen_phase_map,massive_latent_topology_plots.py,search diagnostic,audit
3,figures/pareto_front.pdf,figures/pareto_front.png,pareto_front,massive_latent_topology_plots.py,search diagnostic,audit
4,figures/best_two_step_G_rho.pdf,figures/best_two_step_G_rho.png,best_two_step_G_rho,massive_latent_topology_plots.py,search diagnostic,audit
5,figures/best_two_step_time_histories.pdf,figures/best_two_step_time_histories.png,best_two_step_time_histories,massive_latent_topology_plots.py,search diagnostic,audit
6,figures/best_two_step_topology_histories.pdf,figures/best_two_step_topology_histories.png,best_two_step_topology_histories,massive_latent_topology_plots.py,search diagnostic,audit
7,figures/best_Chen_filled_window_map.pdf,figures/best_Chen_filled_window_map.png,best_Chen_filled_window_map,massive_latent_topology_plots.py,search diagnostic,audit
8,figures/high_density_attainment_map.pdf,figures/high_density_attainment_map.png,high_density_attainment_map,massive_latent_topology_plots.py,search diagnostic,audit
9,figures/ablation_waterfall_best.pdf,figures/ablation_waterfall_best.png,ablation_waterfall_best,massive_latent_topology_plots.py,search diagnostic,audit
10,figures/robustness_heatmap_rho0_G0.pdf,figures/robustness_heatmap_rho0_G0.png,robustness_heatmap_rho0_G0,massive_latent_topology_plots.py,search diagnostic,audit
11,figures/qTJ_comparison.pdf,figures/qTJ_comparison.png,qTJ_comparison,massive_latent_topology_plots.py,search diagnostic,audit
12,figures/fast_firing_preservation.pdf,figures/fast_firing_preservation.png,fast_firing_preservation,massive_latent_topology_plots.py,search diagnostic,audit
