attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,candidate_id,rho_high_final,rho_two_final,G_high_final_nm,G_two_final_nm,switched,projection_only,window_width_C,lower_bracketed,upper_bracketed,complete,fast_firing_preserved,high_density_support_active
False,0.0847967400397994,0.0925087562285325,0.1007687419344114,0.0,0.0,0.0010690305731295,Tier_C,reduction_below_20_percent,554030,0.9792807880676566,0.9609847374420448,312.1445295545758,269.7754250926689,True,False,0.0,False,False,False,pending_exact_check,True
True,0.0394664589138663,0.0521807828475445,0.0689312558187242,0.0,0.0,0.001626111736087,Tier_C,reduction_below_20_percent,932748,0.994779585909004,0.9949615212491716,608.6599674826398,544.0702009614154,True,False,0.0,False,True,False,pending_exact_check,True
True,0.0409803104040419,0.0520795497451218,0.066311522455799,0.0,0.0,0.001617617959156,Tier_C,reduction_below_20_percent,690517,0.9949798056123468,0.9949387026254526,365.3000585661883,329.7670891185379,True,False,0.0,False,True,False,pending_exact_check,True
True,0.0363174823083072,0.0455471232522112,0.0580216424273088,0.0,0.0,0.0014154395526136,Tier_C,reduction_below_20_percent,534192,0.9949175787751572,0.9941568973668058,211.3045454329558,193.63348779260787,True,False,0.0,False,True,False,pending_exact_check,True
True,0.0642191784716063,0.0839952641203433,0.1124878784798922,0.0,0.0,0.0027031622501399,Tier_C,reduction_below_20_percent,65841,0.9946822766065978,0.9949288821667844,2053.03800230637,1709.0131447347992,True,False,0.0,False,True,False,pending_exact_check,True
True,0.0413701599531067,0.0509273692810267,0.0630619135606314,0.0,0.0,0.0015816181517372,Tier_C,reduction_below_20_percent,976005,0.994461544557536,0.994984784529674,704.4541017515634,644.6167049315778,True,False,0.0,False,True,False,pending_exact_check,True
True,0.0640830966730818,0.0801560144712724,0.1014186314900965,0.0,0.0,0.0025350528865691,Tier_C,reduction_below_20_percent,569105,0.989529321135784,0.9847157741631298,496.994834642385,436.0558415710455,True,False,0.0,False,True,False,pending_exact_check,True
True,0.0395424130269264,0.0507497514491885,0.0665214409904499,0.0,0.0,0.0015865472117029,Tier_C,reduction_below_20_percent,932668,0.9949287760854032,0.9949908390483764,433.33058590439686,389.8296050447735,True,False,0.0,False,True,False,pending_exact_check,True
True,0.0345569299458503,0.0442855139459481,0.0578115244523639,0.0,0.0,0.0013786793623649,Tier_C,reduction_below_20_percent,298414,0.9949675989345378,0.988122844826058,1139.0838771891652,1039.6905367450763,True,False,0.0,False,True,False,pending_exact_check,True
False,0.0498720852393385,0.0611698471547654,0.0752989016851567,0.0,0.0,0.0016800555840832,Tier_C,reduction_below_20_percent,175423,0.9949641280535312,0.9764186322161768,48445.45403432176,42451.618987330745,True,False,0.0,False,True,False,pending_exact_check,True
