figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,property_id,perturbed_parameter,perturbed_value,R_fast_exact,span_fast_1p5_exact,exact_fast_attained,fast_firing_pass_exact,nucleation_facile_pass_exact,PR_off_pass_exact,boundary_role
Figure 3,Qnuc_OAT,,exact,fast_firing_material,results/final_mechanism_synthesis_and_property_windows/source_tables/fast_firing_OAT_window.csv,exact OAT Q_nuc rows,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Contains the 0 and +50 kJ/mol survival edge and adjacent -25/+75 kJ/mol failures.,OAT0001,Q_nuc_delta_kJ,-100.0,0.9995128770709744,0.0,True,False,False,False,interior
Figure 3,Qnuc_OAT,,exact,fast_firing_material,results/final_mechanism_synthesis_and_property_windows/source_tables/fast_firing_OAT_window.csv,exact OAT Q_nuc rows,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Contains the 0 and +50 kJ/mol survival edge and adjacent -25/+75 kJ/mol failures.,OAT0002,Q_nuc_delta_kJ,-75.0,1.004289552611904,0.0,True,False,False,False,interior
Figure 3,Qnuc_OAT,,exact,fast_firing_material,results/final_mechanism_synthesis_and_property_windows/source_tables/fast_firing_OAT_window.csv,exact OAT Q_nuc rows,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Contains the 0 and +50 kJ/mol survival edge and adjacent -25/+75 kJ/mol failures.,OAT0003,Q_nuc_delta_kJ,-50.0,1.079755701326267,0.0,True,False,False,False,interior
Figure 3,Qnuc_OAT,,exact,fast_firing_material,results/final_mechanism_synthesis_and_property_windows/source_tables/fast_firing_OAT_window.csv,exact OAT Q_nuc rows,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Contains the 0 and +50 kJ/mol survival edge and adjacent -25/+75 kJ/mol failures.,OAT0004,Q_nuc_delta_kJ,-25.0,1.3629901128274082,0.0,True,False,False,False,adjacent_failure
Figure 3,Qnuc_OAT,,exact,fast_firing_material,results/final_mechanism_synthesis_and_property_windows/source_tables/fast_firing_OAT_window.csv,exact OAT Q_nuc rows,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Contains the 0 and +50 kJ/mol survival edge and adjacent -25/+75 kJ/mol failures.,OAT0006,Q_nuc_delta_kJ,25.0,1.9266672353498704,0.1700000000000001,True,True,False,True,interior
Figure 3,Qnuc_OAT,,exact,fast_firing_material,results/final_mechanism_synthesis_and_property_windows/source_tables/fast_firing_OAT_window.csv,exact OAT Q_nuc rows,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Contains the 0 and +50 kJ/mol survival edge and adjacent -25/+75 kJ/mol failures.,OAT0007,Q_nuc_delta_kJ,50.0,1.7322421164592012,0.1110000000000001,True,True,False,True,survival_edge
Figure 3,Qnuc_OAT,,exact,fast_firing_material,results/final_mechanism_synthesis_and_property_windows/source_tables/fast_firing_OAT_window.csv,exact OAT Q_nuc rows,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Contains the 0 and +50 kJ/mol survival edge and adjacent -25/+75 kJ/mol failures.,OAT0008,Q_nuc_delta_kJ,75.0,1.4155156722954774,0.0,True,False,False,False,adjacent_failure
Figure 3,Qnuc_OAT,,exact,fast_firing_material,results/final_mechanism_synthesis_and_property_windows/source_tables/fast_firing_OAT_window.csv,exact OAT Q_nuc rows,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Contains the 0 and +50 kJ/mol survival edge and adjacent -25/+75 kJ/mol failures.,OAT0009,Q_nuc_delta_kJ,100.0,1.122315939408234,0.0,True,False,False,False,interior
Figure 3,Qnuc_OAT,,exact,fast_firing_material,results/final_mechanism_synthesis_and_property_windows/source_tables/fast_firing_OAT_window.csv,exact OAT Q_nuc rows,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Contains the 0 and +50 kJ/mol survival edge and adjacent -25/+75 kJ/mol failures.,BASE,Q_nuc_delta_kJ,0.0,1.7961615996597604,0.1700000000000001,True,True,False,True,survival_edge
