time_s,D50_nm,D90_nm,D90_over_D50,sigma_ln_r,large_pore_tail_fraction,connected_fine_pore_fraction
7200.0,40.7765878086696,83.53276052192544,2.0485470955508776,0.582388511642056,0.2457278349675862,6.455265616449072e-32
21600.0,56.70883639738951,100.89225338577415,1.7791275539277078,0.4473796199166116,0.0482282884015639,0.0
36000.0,63.36655689436982,104.3484285313037,1.6467429136989318,0.3993871132273241,0.0517336617291176,0.0
50400.0,67.22278178673686,106.1447723794395,1.578999999080401,0.3724903601414486,0.0549052868751605,0.0
64800.0,69.72860886002798,107.34686101884216,1.5394952340771406,0.3543040369003077,0.058051075921568,0.0
79200.0,71.59139438099679,108.24832694982544,1.5120298729446018,0.3407105506798289,0.0612158643732924,0.0
93600.0,73.09401357425835,108.9706561814005,1.4908287403139246,0.3298794750151655,0.0644145832437849,0.0
108000.0,74.3744382736708,109.57518962115248,1.473290987663742,0.3208740293372784,0.0676528194534441,0.0
122400.0,75.50861604263042,110.09606057423616,1.4580595744474836,0.3131435470185593,0.070923174679976,0.0
136800.0,76.54202879765081,110.5541437839006,1.4443586813744569,0.3062824440787967,0.0742137879207012,0.0
151200.0,77.50394171385386,110.96394212377716,1.4317199831391585,0.3000315442827208,0.0775208205019603,0.0
165600.0,78.41472884700835,111.33656523374076,1.4198425075340733,0.2946014307196913,0.007108435858607,0.0
180000.0,79.28855273254214,111.6787863382543,1.4085108441185905,0.2896352117500163,0.0069444397909197,0.0
194400.0,80.13549929729567,111.99561357122532,1.397578034121076,0.2850269276623287,0.00679612520405,0.0
208800.0,80.96330501455829,112.29148260586256,1.386942919211006,0.2806539683059868,0.0066618356887851,0.0
223200.0,81.861582021365,112.57031364566092,1.375129955542287,0.2767186668492719,0.0065410184298219,0.0
237600.0,82.91092197581149,112.83093370474243,1.36086936456526,0.2731702802932502,0.0064326966646822,0.0
252000.0,83.86877775699418,113.421579981623,1.3523695350641294,0.2698400958024877,0.0063353921429808,0.0
266400.0,84.7476590430821,114.84494061168547,1.3551399756458546,0.2667051618127515,0.0062479661620393,0.0
280800.0,85.5578815523013,116.15508544829812,1.3576199333230667,0.2637456556773818,0.0061693694631852,0.0
295200.0,86.30803225325842,117.36549616959078,1.3598444212608014,0.2609441140887505,0.0060986144127054,0.0
309600.0,87.00531941656673,118.48754251558351,1.3618425092871074,0.2582848778053974,0.0060347505408494,0.0
324000.0,87.65583947988259,119.53080732858864,1.363637699870771,0.2557536853687908,0.0059768435785909,0.0
338400.0,88.2647829518827,120.50336171361342,1.3652484907746898,0.2533373713280617,0.0059239578600364,0.0
345600.0,88.55507805672673,120.96528916394412,1.3659893008784432,0.2521684218591046,0.0058991015501044,0.0
