sigma_ln,tail_weight,mean_radius_Zener,distributional_Zener
0.3,0.0,17872383.598203503,19555499.28615893
0.3,0.05,14270330.58108297,18758565.682282444
0.3,0.1,11876671.168932585,17961632.078405954
0.3,0.25,7900871.001630922,15570831.266776491
0.45,0.0,12055321.478419648,14761216.251745207
0.45,0.05,10446678.961463934,14203996.799589403
0.45,0.1,9216803.652652714,13646777.3474336
0.45,0.25,6811185.070898035,11975118.990966197
0.65,0.0,5587636.753428757,8516667.111254387
0.65,0.05,4963183.861645372,8200722.460417062
0.65,0.1,4464273.721601631,7884777.809579738
0.65,0.25,3429923.420427669,6936943.857067771
0.85,0.0,2299867.5720565757,4169623.7677239776
0.85,0.05,2191382.9745312855,4037305.533643036
0.85,0.1,2092671.788095013,3904987.299562095
0.85,0.25,1843543.6570280592,3508032.5973192696
1.1,0.0,1297095.5406838702,2038092.3979027392
1.1,0.05,1278419.8874666584,1997950.5386259716
1.1,0.1,1260274.387249765,1957808.6793492038
1.1,0.25,1208802.279591969,1837383.101518901
