rho,G_nm,D10_nm,D50_nm,D90_nm,D90_over_D50,sigma_ln_r,pore_surface_area_proxy,large_pore_tail_fraction,connected_fine_pore_fraction,useful_closed_inventory,Zener_pinning_metric_minv,phi_open,phi_precursor,phi_isolated,phi_closed,M0,M1,M2,M3,M4,time_s,T_C,rho_dot_open,rho_dot_closed,rho_dot_total,G_dot_nm_s,Gamma_migration,R_Z_eff_nm,PR_memory,regularization_memory,damage_memory,cumulative_coarsened_volume,cumulative_pinched_volume,cumulative_open_density_gain,cumulative_closed_density_gain,density_identity_residual,pore_balance_residual,representation,provenance,run_id,family,peak_C,rate_C_min,hold_h,thermal_phase
0.6600000078695032,26.257838732718263,29.78154923524161,53.30575356463391,98.0391403710229,1.839184962504079,0.4529381009450569,36312141.81882443,0.1626076545853022,2.836112242041153e-21,6.0661035641604245e-05,3262.797167531293,0.0004020040589379,0.1697989940357794,0.1018793964214676,0.0679195976143117,6.74489013862044e+21,126118829020492.66,2889628.4323599176,0.0811690190981611,2.799731437229189e-09,3000.0,950.0,7.456617771640876e-09,0.0,7.456617771640876e-09,0.0005859462442394,1.0,79.70011198069139,0.9988176119751732,0.0016133533133972,0.3399998830786623,0.3399998830786623,0.3395979880715588,7.869503193981044e-09,0.0,0.0,2.175949224774228e-17,lognormal,synthetic_forward_state,lognormal:1350:0.2:2,lognormal,1350,0.2,2,heating
0.6603051483088348,28.523634922835015,29.36382991395104,53.7352119104941,98.51788155740778,1.8333952366561328,0.452619212587792,36243314.42988139,0.1732201535987721,1.7150409473347827e-278,0.0005154433756999,836.712471912674,0.0001743055875563,0.0570441640459676,0.0469197891583969,0.2355565928992442,6.681690810870339e+21,125821223523156.94,2884151.322774721,0.0810961721842758,2.7971530531448552e-09,6000.0,960.0,5.534258564904687e-13,1.8674140499793698e-07,1.8674195842379345e-07,0.0007552653967055,1.0,408647.3246334721,0.997989098276232,0.001613363071387,0.3404004358479801,0.3404004358479801,0.3398256859386854,8.473758186330338e-09,0.0003051398350766,0.0,-4.0007060164715114e-17,lognormal,synthetic_forward_state,lognormal:1350:0.2:2,lognormal,1350,0.2,2,heating
0.6624809692756548,31.390134796585453,30.353662621290493,53.63221583695564,99.2495566753958,1.8505585705636132,0.445511578148069,35603731.70699644,0.1798478144565417,0.0,0.0005141657995841,494.959865168192,0.0001428786682571,0.0385157672695601,0.0342890877673992,0.2645712970191286,6.173074830295125e+21,120771776052530.6,2833254.9468430644,0.0805767331910472,2.7935932432942687e-09,9000.0,970.0,2.1275503911779603e-13,1.8241728941904977e-06,1.8241731069455368e-06,0.0009554999579168,1.0,1593538.256081464,0.9968546688992242,0.001613364667028,0.3405433104226815,0.3405433104226815,0.3398571122557338,9.076008977290331e-09,0.0024809601996458,0.0,-5.724587470723462e-17,lognormal,synthetic_forward_state,lognormal:1350:0.2:2,lognormal,1350,0.2,2,heating
0.664838864487205,34.95166731891788,31.025632707598557,53.6970618236144,99.60452286517864,1.8549343201004624,0.4382301637138562,34969423.58734536,0.1816356827780127,2.092145356968302e-64,0.0005564424768294,292.6810794609579,9.88390835199596e-05,0.0294456116008233,0.0275420319971692,0.2780746528312824,5.781443891403497e+21,116337989061309.28,2782778.310500167,0.0800138271737308,2.786996911703155e-09,12000.0,980.0,1.98088708631145e-13,2.3240033260040235e-06,2.324003524092732e-06,0.0011871775074441,1.0,2693821.109879796,0.9963288612623238,0.0016133654333308,0.3405962274775344,0.3405962274775344,0.3399011512462087,9.670271258057162e-09,0.0048388548169337,0.0,-3.469446951953614e-18,lognormal,synthetic_forward_state,lognormal:1350:0.2:2,lognormal,1350,0.2,2,heating
0.667637292239774,39.30361990802441,31.57070079170524,53.93386280644069,99.67681273877876,1.8481304240436405,0.4299783859327726,34258403.65289141,0.1810396595525246,5.760426797278778e-109,0.000588425221671,206.26482464229508,7.879805052824617e-05,0.0236469090739599,0.0230182067265805,0.2856187939091572,5.3985686355337e+21,111692059993176.0,2726197.141897557,0.0793457517591705,2.777907741822937e-09,15000.0,990.0,1.7955316001281924e-13,3.279591146138983e-06,3.279591325692143e-06,0.0014506508630355,1.0,4555584.309682693,0.9955787236901348,0.0016133658673818,0.3406136394904503,0.3406136394904503,0.3399211917411084,1.0208363288103961e-08,0.0076372820314106,0.0,5.2041704279304207e-17,lognormal,synthetic_forward_state,lognormal:1350:0.2:2,lognormal,1350,0.2,2,heating
0.6710461694032769,44.543734846970125,32.179711543052356,54.31490517422925,99.56201666292245,1.83305146798197,0.4202495717156095,33431578.600197315,0.1791339660165797,0.0,0.0005937072549685,170.79637894407034,6.831779839271976e-05,0.0194858643639938,0.0196353522868328,0.2897642961475036,4.995189642740958e+21,106549372727724.78,2660400.494793315,0.0785319422827236,2.765839212327922e-09,18000.0,1000.0,1.918144810447177e-13,4.462219565797253e-06,4.462219757611734e-06,0.0017467049796485,1.0,6464181.838302303,0.9946733593179492,0.001613366157283,0.3406171780381873,0.3406171780381873,0.3399316714178054,1.0783801853612577e-08,0.011046158619475,0.0,-6.938893903907227e-17,lognormal,synthetic_forward_state,lognormal:1350:0.2:2,lognormal,1350,0.2,2,heating
0.6751460778499694,50.774717074825894,32.880304081621844,54.82094164205142,99.30754983504708,1.8114893115748925,0.4089763036629998,32482747.242505264,0.176462345105514,0.0,0.0005724800139041,152.29697462747055,6.091878985098822e-05,0.0162653021696189,0.0169231900374046,0.2916045111531561,4.572479996028386e+21,100910537274115.84,2584894.894424673,0.0775531612394507,2.7505418436271293e-09,21000.0,1010.0,2.336715630042373e-13,5.671839016912055e-06,5.671839250583618e-06,0.0020769940759519,1.0,7806566.752623905,0.9937581846981528,0.0016133663944417,0.3406171787710706,0.3406171787710706,0.3399390697253365,1.1484812509127183e-08,0.0151460663651568,0.0,8.673617379884034e-17,lognormal,synthetic_forward_state,lognormal:1350:0.2:2,lognormal,1350,0.2,2,heating
0.6798697202416631,58.10737567202822,33.659369853954594,55.421163610235055,98.9700254474065,1.7857803589877883,0.3968568418711592,31451757.08125896,0.1735396661761378,0.0,0.000540076280371,135.80785151229782,5.432314060491912e-05,0.0136289682353139,0.0146422216864404,0.2918047666959776,4.157208688515248e+21,95090647018036.12,2502851.304203943,0.0764254746853959,2.732132228837076e-09,24000.0,1020.0,2.9987483856486905e-13,6.7333964834427634e-06,6.733396783317602e-06,0.0024442195324007,1.0,8754824.81904032,0.9929432537056008,0.0016133666088374,0.3406171787710706,0.3406171787710706,0.3399456644749655,1.2384429575790091e-08,0.0198697078572335,0.0,3.903127820947816e-17,lognormal,synthetic_forward_state,lognormal:1350:0.2:2,lognormal,1350,0.2,2,heating
0.6851391327555789,66.66367056917294,34.49954521385457,56.091937382798015,98.6184529037292,1.7581573663735317,0.384690727850228,30378229.63958282,0.1709119604033129,0.0,0.0005095232548046,121.10777914163016,4.8443111656652054e-05,0.011389184468994,0.0126604873884667,0.2907627522753035,3.7709591017007434e+21,89375183881469.94,2417422.7047601664,0.0751674951122259,2.710645794684312e-09,27000.0,1030.0,3.8269549694990226e-13,7.721754141477269e-06,7.721754524172765e-06,0.0028520982990482,1.0,9817792.701128151,0.9922175238839434,0.0016133668009902,0.3406171787710706,0.3406171787710706,0.3399515433558409,1.3532502462371577e-08,0.0251391192230764,0.0,-9.540979117872439e-17,lognormal,synthetic_forward_state,lognormal:1350:0.2:2,lognormal,1350,0.2,2,heating
0.691171196484772,76.57935581464996,35.461198308539785,56.86033190918741,98.28522535736272,1.7285376651394808,0.3721558370214588,29227720.69812505,0.0393975989108449,0.0,0.000469708865665,108.00226840125744,4.3200907360502976e-05,0.0094517755432593,0.0108978511877063,0.2884359758769018,3.4008637041093305e+21,83594116679038.1,2325868.112207951,0.0737274459729063,2.6850176425300094e-09,30000.0,1040.0,4.857299665447467e-13,8.828875033736402e-06,8.828875519466368e-06,0.003305228415159,1.0,11009477.201081024,0.9915711333859134,0.0016133669727344,0.3406171787710706,0.3406171787710706,0.3399567841029717,1.4989667787112814e-08,0.0311711814951041,0.0,8.760353553682876e-17,lognormal,synthetic_forward_state,lognormal:1350:0.2:2,lognormal,1350,0.2,2,heating
