T_C,sigma_ln,activity,regularization_rate,damage_rate,dominant
700,0.3,0.001,0.0002682578623007,1.9756144112582432,damage
700,0.3,0.01,0.0026584112480251,1.95781608322889,damage
700,0.3,0.1,0.0241673749820467,1.7798328029353547,damage
700,0.3,0.5,0.0671315971723521,0.9887960016307524,damage
700,0.3,0.9,0.0241673749820467,0.1977592003261505,damage
700,0.45,0.001,0.0001746473806804,1.2950833978519185,damage
700,0.45,0.01,0.001730739808545,1.2834159798532525,damage
700,0.45,0.1,0.0157339982595003,1.166741799866593,damage
700,0.45,0.5,0.0437055507208344,0.6481898888147739,damage
700,0.45,0.9,0.0157339982595003,0.1296379777629547,damage
700,0.65,0.001,0.0001139868348639,1.061862172069514,damage
700,0.65,0.01,0.0011295992644179,1.052295846195014,damage
700,0.65,0.1,0.0102690842219815,0.9566325874500128,damage
700,0.65,0.5,0.0285252339499486,0.5314625485833404,damage
700,0.65,0.9,0.0102690842219815,0.106292509716668,damage
700,0.85,0.001,3.427975689505643e-05,0.3409567159641575,damage
700,0.85,0.01,0.0003397093025636,0.3378850338383543,damage
700,0.85,0.1,0.003088266386942,0.307168212580322,damage
700,0.85,0.5,0.0085785177415056,0.1706490069890678,damage
700,0.85,0.9,0.003088266386942,0.0341298013978135,damage
700,1.1,0.001,4.5261229080150715e-06,0.0355277187174595,damage
700,1.1,0.01,4.4853470259608807e-05,0.0352076491794643,damage
700,1.1,0.1,0.0004077588205418,0.032006953799513,damage
700,1.1,0.5,0.0011326633903941,0.0177816409997294,damage
700,1.1,0.9,0.0004077588205418,0.0035563281999458,damage
725,0.3,0.001,0.0002682578623007,1.9756144112582432,damage
725,0.3,0.01,0.0026584112480251,1.95781608322889,damage
725,0.3,0.1,0.0241673749820467,1.7798328029353547,damage
725,0.3,0.5,0.0671315971723521,0.9887960016307524,damage
725,0.3,0.9,0.0241673749820467,0.1977592003261505,damage
725,0.45,0.001,0.0001746473806804,1.2950833978519185,damage
725,0.45,0.01,0.001730739808545,1.2834159798532525,damage
725,0.45,0.1,0.0157339982595003,1.166741799866593,damage
725,0.45,0.5,0.0437055507208344,0.6481898888147739,damage
725,0.45,0.9,0.0157339982595003,0.1296379777629547,damage
725,0.65,0.001,0.0001139868348639,1.061862172069514,damage
725,0.65,0.01,0.0011295992644179,1.052295846195014,damage
725,0.65,0.1,0.0102690842219815,0.9566325874500128,damage
725,0.65,0.5,0.0285252339499486,0.5314625485833404,damage
725,0.65,0.9,0.0102690842219815,0.106292509716668,damage
725,0.85,0.001,3.427975689505643e-05,0.3409567159641575,damage
725,0.85,0.01,0.0003397093025636,0.3378850338383543,damage
725,0.85,0.1,0.003088266386942,0.307168212580322,damage
725,0.85,0.5,0.0085785177415056,0.1706490069890678,damage
725,0.85,0.9,0.003088266386942,0.0341298013978135,damage
725,1.1,0.001,4.5261229080150715e-06,0.0355277187174595,damage
725,1.1,0.01,4.4853470259608807e-05,0.0352076491794643,damage
725,1.1,0.1,0.0004077588205418,0.032006953799513,damage
725,1.1,0.5,0.0011326633903941,0.0177816409997294,damage
725,1.1,0.9,0.0004077588205418,0.0035563281999458,damage
750,0.3,0.001,0.0002682578623007,1.9756144112582432,damage
750,0.3,0.01,0.0026584112480251,1.95781608322889,damage
750,0.3,0.1,0.0241673749820467,1.7798328029353547,damage
750,0.3,0.5,0.0671315971723521,0.9887960016307524,damage
750,0.3,0.9,0.0241673749820467,0.1977592003261505,damage
750,0.45,0.001,0.0001746473806804,1.2950833978519185,damage
750,0.45,0.01,0.001730739808545,1.2834159798532525,damage
750,0.45,0.1,0.0157339982595003,1.166741799866593,damage
750,0.45,0.5,0.0437055507208344,0.6481898888147739,damage
750,0.45,0.9,0.0157339982595003,0.1296379777629547,damage
750,0.65,0.001,0.0001139868348639,1.061862172069514,damage
750,0.65,0.01,0.0011295992644179,1.052295846195014,damage
750,0.65,0.1,0.0102690842219815,0.9566325874500128,damage
750,0.65,0.5,0.0285252339499486,0.5314625485833404,damage
750,0.65,0.9,0.0102690842219815,0.106292509716668,damage
750,0.85,0.001,3.427975689505643e-05,0.3409567159641575,damage
750,0.85,0.01,0.0003397093025636,0.3378850338383543,damage
750,0.85,0.1,0.003088266386942,0.307168212580322,damage
750,0.85,0.5,0.0085785177415056,0.1706490069890678,damage
750,0.85,0.9,0.003088266386942,0.0341298013978135,damage
750,1.1,0.001,4.5261229080150715e-06,0.0355277187174595,damage
750,1.1,0.01,4.4853470259608807e-05,0.0352076491794643,damage
750,1.1,0.1,0.0004077588205418,0.032006953799513,damage
750,1.1,0.5,0.0011326633903941,0.0177816409997294,damage
750,1.1,0.9,0.0004077588205418,0.0035563281999458,damage
775,0.3,0.001,0.0002682578623007,1.9756144112582432,damage
775,0.3,0.01,0.0026584112480251,1.95781608322889,damage
775,0.3,0.1,0.0241673749820467,1.7798328029353547,damage
775,0.3,0.5,0.0671315971723521,0.9887960016307524,damage
775,0.3,0.9,0.0241673749820467,0.1977592003261505,damage
775,0.45,0.001,0.0001746473806804,1.2950833978519185,damage
775,0.45,0.01,0.001730739808545,1.2834159798532525,damage
775,0.45,0.1,0.0157339982595003,1.166741799866593,damage
775,0.45,0.5,0.0437055507208344,0.6481898888147739,damage
775,0.45,0.9,0.0157339982595003,0.1296379777629547,damage
775,0.65,0.001,0.0001139868348639,1.061862172069514,damage
775,0.65,0.01,0.0011295992644179,1.052295846195014,damage
775,0.65,0.1,0.0102690842219815,0.9566325874500128,damage
775,0.65,0.5,0.0285252339499486,0.5314625485833404,damage
775,0.65,0.9,0.0102690842219815,0.106292509716668,damage
775,0.85,0.001,3.427975689505643e-05,0.3409567159641575,damage
775,0.85,0.01,0.0003397093025636,0.3378850338383543,damage
775,0.85,0.1,0.003088266386942,0.307168212580322,damage
775,0.85,0.5,0.0085785177415056,0.1706490069890678,damage
775,0.85,0.9,0.003088266386942,0.0341298013978135,damage
775,1.1,0.001,4.5261229080150715e-06,0.0355277187174595,damage
775,1.1,0.01,4.4853470259608807e-05,0.0352076491794643,damage
775,1.1,0.1,0.0004077588205418,0.032006953799513,damage
775,1.1,0.5,0.0011326633903941,0.0177816409997294,damage
775,1.1,0.9,0.0004077588205418,0.0035563281999458,damage
800,0.3,0.001,0.0002682578623007,1.9756144112582432,damage
800,0.3,0.01,0.0026584112480251,1.95781608322889,damage
800,0.3,0.1,0.0241673749820467,1.7798328029353547,damage
800,0.3,0.5,0.0671315971723521,0.9887960016307524,damage
800,0.3,0.9,0.0241673749820467,0.1977592003261505,damage
800,0.45,0.001,0.0001746473806804,1.2950833978519185,damage
800,0.45,0.01,0.001730739808545,1.2834159798532525,damage
800,0.45,0.1,0.0157339982595003,1.166741799866593,damage
800,0.45,0.5,0.0437055507208344,0.6481898888147739,damage
800,0.45,0.9,0.0157339982595003,0.1296379777629547,damage
800,0.65,0.001,0.0001139868348639,1.061862172069514,damage
800,0.65,0.01,0.0011295992644179,1.052295846195014,damage
800,0.65,0.1,0.0102690842219815,0.9566325874500128,damage
800,0.65,0.5,0.0285252339499486,0.5314625485833404,damage
800,0.65,0.9,0.0102690842219815,0.106292509716668,damage
800,0.85,0.001,3.427975689505643e-05,0.3409567159641575,damage
800,0.85,0.01,0.0003397093025636,0.3378850338383543,damage
800,0.85,0.1,0.003088266386942,0.307168212580322,damage
800,0.85,0.5,0.0085785177415056,0.1706490069890678,damage
800,0.85,0.9,0.003088266386942,0.0341298013978135,damage
800,1.1,0.001,4.5261229080150715e-06,0.0355277187174595,damage
800,1.1,0.01,4.4853470259608807e-05,0.0352076491794643,damage
800,1.1,0.1,0.0004077588205418,0.032006953799513,damage
800,1.1,0.5,0.0011326633903941,0.0177816409997294,damage
800,1.1,0.9,0.0004077588205418,0.0035563281999458,damage
825,0.3,0.001,0.0002682578623007,1.9756144112582432,damage
825,0.3,0.01,0.0026584112480251,1.95781608322889,damage
825,0.3,0.1,0.0241673749820467,1.7798328029353547,damage
825,0.3,0.5,0.0671315971723521,0.9887960016307524,damage
825,0.3,0.9,0.0241673749820467,0.1977592003261505,damage
825,0.45,0.001,0.0001746473806804,1.2950833978519185,damage
825,0.45,0.01,0.001730739808545,1.2834159798532525,damage
825,0.45,0.1,0.0157339982595003,1.166741799866593,damage
825,0.45,0.5,0.0437055507208344,0.6481898888147739,damage
825,0.45,0.9,0.0157339982595003,0.1296379777629547,damage
825,0.65,0.001,0.0001139868348639,1.061862172069514,damage
825,0.65,0.01,0.0011295992644179,1.052295846195014,damage
825,0.65,0.1,0.0102690842219815,0.9566325874500128,damage
825,0.65,0.5,0.0285252339499486,0.5314625485833404,damage
825,0.65,0.9,0.0102690842219815,0.106292509716668,damage
825,0.85,0.001,3.427975689505643e-05,0.3409567159641575,damage
825,0.85,0.01,0.0003397093025636,0.3378850338383543,damage
825,0.85,0.1,0.003088266386942,0.307168212580322,damage
825,0.85,0.5,0.0085785177415056,0.1706490069890678,damage
825,0.85,0.9,0.003088266386942,0.0341298013978135,damage
825,1.1,0.001,4.5261229080150715e-06,0.0355277187174595,damage
825,1.1,0.01,4.4853470259608807e-05,0.0352076491794643,damage
825,1.1,0.1,0.0004077588205418,0.032006953799513,damage
825,1.1,0.5,0.0011326633903941,0.0177816409997294,damage
825,1.1,0.9,0.0004077588205418,0.0035563281999458,damage
850,0.3,0.001,0.0002682578623007,1.9756144112582432,damage
850,0.3,0.01,0.0026584112480251,1.95781608322889,damage
850,0.3,0.1,0.0241673749820467,1.7798328029353547,damage
850,0.3,0.5,0.0671315971723521,0.9887960016307524,damage
850,0.3,0.9,0.0241673749820467,0.1977592003261505,damage
850,0.45,0.001,0.0001746473806804,1.2950833978519185,damage
850,0.45,0.01,0.001730739808545,1.2834159798532525,damage
850,0.45,0.1,0.0157339982595003,1.166741799866593,damage
850,0.45,0.5,0.0437055507208344,0.6481898888147739,damage
850,0.45,0.9,0.0157339982595003,0.1296379777629547,damage
850,0.65,0.001,0.0001139868348639,1.061862172069514,damage
850,0.65,0.01,0.0011295992644179,1.052295846195014,damage
850,0.65,0.1,0.0102690842219815,0.9566325874500128,damage
850,0.65,0.5,0.0285252339499486,0.5314625485833404,damage
850,0.65,0.9,0.0102690842219815,0.106292509716668,damage
850,0.85,0.001,3.427975689505643e-05,0.3409567159641575,damage
850,0.85,0.01,0.0003397093025636,0.3378850338383543,damage
850,0.85,0.1,0.003088266386942,0.307168212580322,damage
850,0.85,0.5,0.0085785177415056,0.1706490069890678,damage
850,0.85,0.9,0.003088266386942,0.0341298013978135,damage
850,1.1,0.001,4.5261229080150715e-06,0.0355277187174595,damage
850,1.1,0.01,4.4853470259608807e-05,0.0352076491794643,damage
850,1.1,0.1,0.0004077588205418,0.032006953799513,damage
850,1.1,0.5,0.0011326633903941,0.0177816409997294,damage
850,1.1,0.9,0.0004077588205418,0.0035563281999458,damage
875,0.3,0.001,0.0002682578623007,1.9756144112582432,damage
875,0.3,0.01,0.0026584112480251,1.95781608322889,damage
875,0.3,0.1,0.0241673749820467,1.7798328029353547,damage
875,0.3,0.5,0.0671315971723521,0.9887960016307524,damage
875,0.3,0.9,0.0241673749820467,0.1977592003261505,damage
875,0.45,0.001,0.0001746473806804,1.2950833978519185,damage
875,0.45,0.01,0.001730739808545,1.2834159798532525,damage
