screen_id,reference_rate_C_min,fast_rate_C_min,rho_lo,rho_hi,both_paths_attained,max_ratio,median_ratio,meaningful_span,meaningful_trajectory,chen_window_preserved,target_or_budget_changed,conservative_PR_flux,rejection_reason
baseline,1.0,20.0,0.85,0.92,False,1.0287761264584578,1.0145131540187835,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
k_PR_ref_s_0.0002,1.0,20.0,0.85,0.92,False,1.0287761264584578,1.0145131540187835,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
k_PR_ref_s_0.0005,1.0,20.0,0.85,0.92,False,1.0967532939831255,1.0699800591169695,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
k_PR_ref_s_0.001,1.0,20.0,0.85,0.92,False,1.1972949505207855,1.1500381172786833,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
k_PR_ref_s_0.002,1.0,20.0,0.85,0.92,False,1.3734182288467591,1.2991813046735543,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
Q_PR_J_mol_140000,1.0,20.0,0.85,0.92,False,1.0231846477997901,1.0092497754947893,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
Q_PR_J_mol_180000,1.0,20.0,0.85,0.92,False,1.0287761264584578,1.0145131540187835,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
Q_PR_J_mol_220000,1.0,20.0,0.85,0.92,False,1.0392862752037682,1.0233564746809618,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
Q_PR_J_mol_260000,1.0,20.0,0.85,0.92,False,1.055687244735589,1.035922182722524,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
renewal_gate_mid_0.25,1.0,20.0,0.85,0.92,False,1.0124319197626526,0.9990235829678921,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
renewal_gate_mid_0.35,1.0,20.0,0.85,0.92,False,1.0287761264584578,1.0145131540187835,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
renewal_gate_mid_0.45,1.0,20.0,0.85,0.92,False,1.0466610367560918,1.0290192862533445,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
renewal_gate_mid_0.55,1.0,20.0,0.85,0.92,False,1.062659647508376,1.041526612577078,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
renewal_power_1,1.0,20.0,0.85,0.92,False,1.0490439196282926,1.0313250326635308,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
renewal_power_2,1.0,20.0,0.85,0.92,False,1.0287761264584578,1.0145131540187835,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
renewal_power_3,1.0,20.0,0.85,0.92,False,1.01582791837716,1.0021720361454607,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
renewal_power_4,1.0,20.0,0.85,0.92,False,1.005978695848978,0.9931706636352174,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
topology_power_1,1.0,20.0,0.85,0.92,False,1.0287761264584578,1.0145131540187835,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
topology_power_2,1.0,20.0,0.85,0.92,True,0.9867389110532039,0.9721790641629137,0.0,False,not_retested_no_meaningful_candidate,False,True,ratio_below_1.5_over_Drho_0.03
topology_power_3,1.0,20.0,0.85,0.92,True,0.9759197029714608,0.9600107496229143,0.0,False,not_retested_no_meaningful_candidate,False,True,ratio_below_1.5_over_Drho_0.03
partition_more_smoothing,1.0,20.0,0.85,0.92,False,1.011442064468619,1.0050473344227393,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
partition_more_GB_to_TJ,1.0,20.0,0.85,0.92,False,0.9999484103151017,0.9902448060535451,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
partition_more_TJ_to_iso,1.0,20.0,0.85,0.92,False,1.1954174524967198,1.1118838004531129,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
partition_balanced,1.0,20.0,0.85,0.92,False,1.1417223003424726,1.0791846916701853,0.0,False,not_retested_no_meaningful_candidate,False,True,joint_target_nonattainment
