candidate_id,G0_nm,rho0,initial_topology,heating_rate_C_min,reference_rate_C_min,peak_T_C,hold_time_h,comparison_id,comparison_type,reference_fallback,max_ratio,classification
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,1.0,1.0,1350.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|1.0|1.0|1350.0|20.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,1.0,1.0,1400.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|1.0|1.0|1400.0|8.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,1.0,1.0,1400.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|1.0|1.0|1400.0|20.0,fast_firing,True,1.0,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,1.0,1.0,1450.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|1.0|1.0|1450.0|8.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,1.0,1.0,1450.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|1.0|1.0|1450.0|20.0,fast_firing,True,1.0,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,1.0,1.0,1500.0,2.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|1.0|1.0|1500.0|2.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,1.0,1.0,1500.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|1.0|1.0|1500.0|8.0,fast_firing,True,1.0,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,1.0,1.0,1500.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|1.0|1.0|1500.0|20.0,fast_firing,True,1.0,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,5.0,1.0,1350.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|5.0|1.0|1350.0|20.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,5.0,1.0,1400.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|5.0|1.0|1400.0|8.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,5.0,1.0,1400.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|5.0|1.0|1400.0|20.0,fast_firing,True,1.033051118890845,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,5.0,1.0,1450.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|5.0|1.0|1450.0|8.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,5.0,1.0,1450.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|5.0|1.0|1450.0|20.0,fast_firing,True,1.0159029915524806,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,5.0,1.0,1500.0,2.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|5.0|1.0|1500.0|2.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,5.0,1.0,1500.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|5.0|1.0|1500.0|8.0,fast_firing,True,1.0258817631595738,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,5.0,1.0,1500.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|5.0|1.0|1500.0|20.0,fast_firing,True,1.0258817631595738,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,20.0,1.0,1350.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|20.0|1.0|1350.0|20.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,20.0,1.0,1400.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|20.0|1.0|1400.0|8.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,20.0,1.0,1400.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|20.0|1.0|1400.0|20.0,fast_firing,True,1.0613769071463455,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,20.0,1.0,1450.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|20.0|1.0|1450.0|8.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,20.0,1.0,1450.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|20.0|1.0|1450.0|20.0,fast_firing,True,1.020932967024055,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,20.0,1.0,1500.0,2.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|20.0|1.0|1500.0|2.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,20.0,1.0,1500.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|20.0|1.0|1500.0|8.0,fast_firing,True,1.0121119313462097,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,20.0,1.0,1500.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|20.0|1.0|1500.0|20.0,fast_firing,True,1.0121119313462097,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,50.0,1.0,1350.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|50.0|1.0|1350.0|20.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,50.0,1.0,1400.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|50.0|1.0|1400.0|8.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,50.0,1.0,1400.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|50.0|1.0|1400.0|20.0,fast_firing,True,1.0766032978311775,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,50.0,1.0,1450.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|50.0|1.0|1450.0|8.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,50.0,1.0,1450.0,20.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|50.0|1.0|1450.0|20.0,fast_firing,True,1.0278294047229093,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,50.0,1.0,1500.0,2.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|50.0|1.0|1500.0|2.0,fast_firing,True,nan,trajectory_negligible
mech_009_PR_attrition_moderate,50.0,0.65,GBseg_rich,50.0,1.0,1500.0,8.0,mech_009_PR_attrition_moderate|50.0|0.65|GBseg_rich|50.0|1.0|1500.0|8.0,fast_firing,True,1.0064376272921192,trajectory_negligible
