rho,G_reference_nm,G_comparison_nm,ratio,pct,delta_ln_G,comparison_id
0.7000000000000001,225.0,225.0,1.0,0.0,0.0,representative_highT_vs_two_step
0.7010000000000001,225.11990645555412,225.01462197290692,1.0004679006267418,0.04676817981353378,0.00046779119537759876,representative_highT_vs_two_step
0.7020000000000001,225.24069684025432,225.06049894071649,1.0008006642675458,0.080002371714216,0.0008003439069005837,representative_highT_vs_two_step
0.7030000000000001,225.36238943981897,225.13855087820278,1.0009942258255775,0.09932383223863747,0.000993731910429742,representative_highT_vs_two_step
0.7040000000000001,225.4850027543785,225.24675207444562,1.00105773192172,0.10566143070384888,0.0010571729174605792,representative_highT_vs_two_step
0.7050000000000001,225.60855550619442,225.3712265138984,1.0010530580853958,0.10519503206052484,0.0010525040086793833,representative_highT_vs_two_step
0.7060000000000001,225.73306664743131,225.49593921463259,1.0010515818316934,0.1050477168987806,0.0010510293068351738,representative_highT_vs_two_step
0.7070000000000001,225.85855536799136,225.62248489230836,1.0010463074005929,0.10452137856737974,0.0010457604025234286,representative_highT_vs_two_step
0.7080000000000001,225.98504110341526,225.74915951730972,1.0010448835628443,0.10437929207782858,0.001044338051978139,representative_highT_vs_two_step
0.7090000000000001,226.11254354285867,225.87774052502468,1.001039513753273,0.10384342865502767,0.0010389738329887376,representative_highT_vs_two_step
0.7100000000000001,226.24108263714888,226.00645564405704,1.0010381428814643,0.10370662585103406,0.0010376043838025942,representative_highT_vs_two_step
0.7110000000000001,226.37067860692935,226.1371525091455,1.0010326746188882,0.10316093021452966,0.0010321417772571162,representative_highT_vs_two_step
0.7120000000000001,226.50135195089806,226.2679887872555,1.0010313573956853,0.10302947935302148,0.0010308259120481184,representative_highT_vs_two_step
0.7130000000000001,226.6331234541463,226.40088425518,1.0010257875084294,0.1024736346685438,0.0010252617479381632,representative_highT_vs_two_step
0.7140000000000001,226.7660141966042,226.53392458418452,1.0010245247498613,0.1023476173190861,0.0010240002825689634,representative_highT_vs_two_step
0.7150000000000001,226.90004556159946,226.66910375300532,1.0010188499657446,0.10178129670381318,0.0010183312903899728,representative_highT_vs_two_step
0.7160000000000001,227.0352392445356,226.80443338617067,1.0010176426224082,0.10166080786971331,0.0010171251751759018,representative_highT_vs_two_step
0.7170000000000001,227.1716172616964,226.94198384459108,1.0010118595652295,0.10108367404049459,0.0010113479804119041,representative_highT_vs_two_step
0.7180000000000001,227.3092019591826,227.0796905349153,1.0010107087240019,0.10096882233060654,0.0010101983018359708,representative_highT_vs_two_step
0.7190000000000001,227.4480160219872,227.21970250431485,1.0010048139098677,0.1003805272367277,0.0010043094222868083,representative_highT_vs_two_step
0.7200000000000001,227.58808248321685,227.35987664682452,1.001003720796114,0.10027143508674834,0.0010032174052101708,representative_highT_vs_two_step
0.7210000000000001,227.7294247334644,227.5024431276936,1.0009977106296104,0.09967161952675957,0.0009972132471618648,representative_highT_vs_two_step
0.7220000000000001,227.8720665303404,227.6451779061698,1.000996676609878,0.09956842346904106,0.0009961802575200406,representative_highT_vs_two_step
0.7230000000000001,228.01603200816973,227.79039482936446,1.0009905473800784,0.09895671669138918,0.0009900571117516252,representative_highT_vs_two_step
0.7240000000000001,228.16134568786003,227.93578636791614,1.0009895739652739,0.09885956767299132,0.0009890846597335851,representative_highT_vs_two_step
0.7250000000000001,228.3080324869492,228.08375275115907,1.0009833218415818,0.09823558695989129,0.0009828386973579585,representative_highT_vs_two_step
0.7260000000000001,228.4561177298383,228.23190027107054,1.0009824106906242,0.09814465070832691,0.0009819284410605945,representative_highT_vs_two_step
0.7270000000000001,228.60562715821746,228.3827183811335,1.000976031718442,0.09750800094246934,0.0009755557091924963,representative_highT_vs_two_step
0.7280000000000001,228.7565869416916,228.53372436342215,1.000975184642399,0.09742345837947936,0.0009747094587584776,representative_highT_vs_two_step
0.7290000000000001,228.90902368861333,228.6874998844376,1.0009686747386177,0.09677373159262519,0.0009682058760022592,representative_highT_vs_two_step
0.7300000000000001,229.0629644571306,228.84147023857057,1.0009678937053197,0.09669577929586166,0.0009674255982348738,representative_highT_vs_two_step
0.7310000000000001,229.2184367664563,228.99831244693465,1.0009612486536235,0.09603255419891774,0.0009607869499873895,representative_highT_vs_two_step
0.7320000000000001,229.37546860836787,229.15535668616667,1.0009605357927662,0.09596140491249042,0.0009600747734550482,representative_highT_vs_two_step
0.7330000000000001,229.5340884589447,229.31537863251174,1.0009537512387403,0.09528424640598669,0.0009532967070114499,representative_highT_vs_two_step
0.7340000000000001,229.6943252905511,229.4756100563247,1.0009531088474837,0.09522012960037952,0.000952654927646544,representative_highT_vs_two_step
0.7350000000000001,229.8562085840733,229.63892875506033,1.0009461802935196,0.09452858826455975,0.0009457329471036422,representative_highT_vs_two_step
0.7360000000000001,230.0197683414193,229.80246463920375,1.000945610842585,0.09447175074666406,0.0009451640343011118,representative_highT_vs_two_step
0.7370000000000001,230.18503509828903,229.96920126614546,1.0009385336425716,0.0937653623101139,0.0009380934952463048,representative_highT_vs_two_step
0.7380000000000001,230.35203993722473,230.1361630607989,1.0009380397828602,0.09371606888510933,0.0009376000984825843,representative_highT_vs_two_step
0.7390000000000001,230.52081450095045,230.30644315942908,1.0009308091366467,0.09299435367060409,0.0009303762024541447,representative_highT_vs_two_step
0.7400000000000001,230.6913910060093,230.47695669603303,1.000930393706383,0.09295288785643653,0.0009299611584309578,representative_highT_vs_two_step
0.7410000000000001,230.86380225670877,230.65091039296578,1.000923004654004,0.09221535020299851,0.0009225789471412266,representative_highT_vs_two_step
0.7420000000000001,231.0380816593835,230.82510610029365,1.0009226706864256,0.09218201499951353,0.0009222452874764535,representative_highT_vs_two_step
0.7430000000000001,231.21426323698566,231.00286833054534,1.0009151181020741,0.09142814265902233,0.0009146996367810648,representative_highT_vs_two_step
0.7440000000000001,231.39238164401326,231.1808814606213,1.0009148688336842,0.0914032613732917,0.0009144505962615842,representative_highT_vs_two_step
0.7450000000000001,231.5724721817871,231.36259220332175,1.0009071474194104,0.090632524879984,0.0009067362098565097,representative_highT_vs_two_step
