property_id,candidate_id,exact_two_attained,reduction_TS_exact,span_TS_20_exact,Chen_window_width_C_exact,lower_boundary_present_exact,upper_boundary_present_exact,two_step_pass_exact,success_T2_C,closed_fraction_switch_exact,closed_accommodation_fraction_exact,two_artifact_reasons,topology_parameters_modified
LHS11014,693168,True,0.0001705053415773,0.0,50.0,True,False,False,1250.0,6.146434226905368e-07,0.3410620234926148,numerical instability,False
LHS13244,693168,True,-0.0007669978653257,0.0,50.0,True,False,False,1250.0,3.804463870199321e-07,0.3640295406272116,numerical instability,False
LHS43517,693168,True,0.1958933136120918,0.0138999999999984,250.0,True,False,False,1100.0,1.5444785373029095e-06,0.1731468460912635,numerical instability,False
LHS32390,693168,True,0.7868723846394913,0.0299999999999966,500.0,False,False,False,1100.0,0.667356531894201,0.0170134948894356,,False
LHS29426,693168,True,0.524390540174399,0.0299999999999966,500.0,False,False,False,1100.0,0.1612772437611574,0.0033292176901095,,False
LHS39966,693168,True,4.369770214440738e-05,0.0,0.0,True,False,False,1300.0,2.998772542687084e-07,0.3716500540638446,numerical instability,False
LHS10944,693168,True,0.7656431590098902,0.0299999999999966,250.0,True,False,False,1100.0,0.0280838945532809,0.0511045911220684,numerical instability,False
LHS27059,693168,True,0.5848408464776924,0.0299999999999966,150.0,True,False,False,1150.0,3.680823986289519e-07,0.230084508868972,numerical instability,False
LHS23911,693168,True,0.7034486012529505,0.0299999999999966,300.0,True,False,False,1100.0,0.0540770139998279,0.0350092298479835,numerical instability,False
LHS40534,693168,True,0.0894821886171911,0.0,300.0,True,False,False,1100.0,1.1993219588822383e-06,0.2185942683000188,numerical instability,False
LHS36588,693168,True,0.3452527739212587,0.0274999999999969,200.0,True,False,False,1100.0,7.791523326233847e-07,0.223129746710234,numerical instability,False
LHS18873,693168,True,0.7907528250049192,0.0299999999999966,500.0,False,False,False,1100.0,0.8772894360271869,0.0170144068027764,,False
LHS16026,693168,True,0.3918583507254748,0.0299999999999966,200.0,True,False,False,1100.0,7.515914319491894e-07,0.2136123689294062,numerical instability,False
LHS11572,693168,True,0.0112126743869543,0.0,150.0,True,False,False,1150.0,5.39993686756423e-07,0.2917238882699085,numerical instability,False
LHS27275,693168,True,0.002596223382323,0.0,0.0,True,False,False,1300.0,3.0723248870434697e-07,0.3689868687507446,numerical instability,False
LHS10654,693168,True,0.606889796361758,0.0299999999999966,250.0,True,False,False,1100.0,0.005605091303636,0.081794446646723,numerical instability,False
LHS33216,693168,True,0.3141636171649286,0.0299999999999966,350.0,True,False,False,1100.0,0.1917294032962253,0.0956136756698161,numerical instability,False
LHS15393,693168,False,,0.0,0.0,True,False,False,1100.0,3.79411584147508e-07,0.3898894792934633,unattained interval;numerical instability;unsupported interpolation,False
LHS25791,693168,True,0.0025465697800949,0.0,200.0,True,False,False,1100.0,3.373375269179438e-07,0.3313822356997641,numerical instability,False
LHS27859,693168,True,0.6505905458278503,0.0299999999999966,500.0,False,False,False,1100.0,0.4667488759432903,0.0029838257041024,,False
LHS02364,693168,True,0.8951997723458363,0.0299999999999966,450.0,False,True,False,1100.0,0.1342635589350707,0.003798394693327,,False
LHS41262,693168,True,0.1293249920036394,0.0090999999999989,100.0,True,False,False,1200.0,5.27437596395151e-07,0.2861093097370229,numerical instability,False
LHS09757,693168,True,0.6655051262052639,0.0299999999999966,400.0,True,False,False,1100.0,0.2950082769715169,0.0467677874161842,numerical instability,False
LHS19702,693168,True,0.5672152166655948,0.0299999999999966,150.0,True,False,False,1150.0,1.739236016132267e-06,0.1615860468597427,numerical instability,False
LHS20220,693168,True,0.8543140181009369,0.0299999999999966,500.0,False,False,False,1100.0,0.3096644469698037,0.0039401626482321,,False
LHS15683,693168,True,0.7385059571897219,0.0299999999999966,500.0,False,False,False,1100.0,0.2256593371753706,0.0033053576261853,,False
LHS43831,693168,False,,0.0,0.0,True,False,False,1100.0,3.510193880918993e-07,0.3831694481216282,unattained interval;numerical instability;unsupported interpolation,False
LHS23238,693168,True,0.4319178896666473,0.0299999999999966,300.0,True,False,False,1100.0,0.0213272524056467,0.0752539978591565,numerical instability,False
LHS12049,693168,True,0.0004378105172408,0.0,0.0,True,False,False,1300.0,3.64071896348343e-07,0.3822916036850207,numerical instability,False
LHS49259,693168,True,0.6161399068666278,0.0299999999999966,500.0,False,False,False,1100.0,0.5782647606615972,0.0089472730950468,,False
LHS36805,693168,True,0.6188364471582553,0.0299999999999966,500.0,False,False,False,1100.0,0.7172979364353842,0.0011250981233788,,False
LHS44427,693168,True,0.0078399131534836,0.0,200.0,True,False,False,1100.0,5.35785945672828e-07,0.2936645464022064,numerical instability,False
LHS02067,693168,True,0.8486177372835316,0.0299999999999966,250.0,True,False,False,1100.0,0.0183999551925369,0.040328923774383,numerical instability,False
LHS32759,693168,True,0.0008087044004717,0.0,50.0,True,False,False,1250.0,1.839623458933465e-07,0.3378257299431151,numerical instability,False
LHS31308,693168,True,0.2088926025913939,0.0154999999999982,100.0,True,False,False,1200.0,0.0020149112494513,0.2513781517729442,numerical instability,False
LHS08719,693168,True,0.4617371873034037,0.0299999999999966,500.0,False,False,False,1100.0,0.4374182074522897,0.0116953453248607,,False
LHS17474,693168,False,-0.0003525472756358,0.0,0.0,True,False,False,1300.0,4.356276303261299e-07,0.3547915331133539,unattained interval;numerical instability;unsupported interpolation,False
LHS11765,693168,True,0.4521542814484907,0.0299999999999966,300.0,True,False,False,1100.0,0.1975866419272934,0.0690328679740288,numerical instability,False
LHS36645,693168,False,,0.0,0.0,True,False,False,1100.0,2.04273387789262e-07,0.3781827108336479,unattained interval;numerical instability;unsupported interpolation,False
LHS25198,693168,True,0.0126114807674291,0.0,150.0,True,False,False,1150.0,5.686428008524588e-07,0.3140326299982271,numerical instability,False
LHS05076,693168,True,0.5507442672129172,0.0299999999999966,300.0,True,False,False,1100.0,0.0274171532968384,0.0391343561605677,numerical instability,False
LHS34400,693168,True,0.3041709350141925,0.0299999999999966,350.0,True,False,False,1100.0,0.004046383769265,0.1312220844548743,numerical instability,False
LHS45745,693168,False,,0.0,0.0,True,False,False,1100.0,3.383183738473434e-07,0.3821942782388986,unattained interval;numerical instability;unsupported interpolation,False
LHS06235,693168,False,,0.0,0.0,True,False,False,1100.0,3.767010472968281e-07,0.3904352578929785,unattained interval;numerical instability;unsupported interpolation,False
LHS25861,693168,True,0.6266452531047735,0.0299999999999966,500.0,False,False,False,1100.0,0.3857700438367867,0.0103350333114759,,False
LHS04584,693168,True,0.4460149725448549,0.0299999999999966,300.0,True,False,False,1100.0,0.0553794001022157,0.0988149876715406,numerical instability,False
LHS49453,693168,True,4.70544651065552e-05,0.0,50.0,True,False,False,1250.0,5.8860825683928767e-08,0.3539193329462411,numerical instability,False
LHS41570,693168,True,0.5101446619557469,0.0299999999999966,250.0,True,False,False,1100.0,0.0071541982117371,0.1365233541844043,numerical instability,False
LHS49344,693168,True,0.5902293371824014,0.0299999999999966,250.0,True,False,False,1100.0,0.0237605421515771,0.088647181202417,numerical instability,False
LHS10483,693168,True,0.6090405705132353,0.0299999999999966,350.0,True,False,False,1100.0,0.0320986052299357,0.0457902134035361,numerical instability,False
LHS31732,693168,True,0.8573851275194861,0.0299999999999966,250.0,True,False,False,1100.0,0.0565625798499731,0.0386996383433714,numerical instability,False
LHS38714,693168,True,0.8125413456555929,0.0299999999999966,200.0,True,False,False,1100.0,0.0016593131480146,0.1428226966257256,numerical instability,False
LHS15807,693168,True,0.009355262214109,0.0,50.0,True,False,False,1250.0,1.9945155965941925e-07,0.3309747037170584,numerical instability,False
LHS43228,693168,True,0.5806125148124921,0.0299999999999966,150.0,True,False,False,1150.0,4.719382205532683e-07,0.1892081121617052,numerical instability,False
LHS46162,693168,True,0.0165548038260787,0.0,50.0,True,False,False,1250.0,7.345283071465059e-07,0.3058571641785989,numerical instability,False
LHS19930,693168,True,0.4873983388018693,0.0299999999999966,250.0,True,False,False,1100.0,0.0671746721801601,0.1366986463805524,numerical instability,False
LHS49876,693168,True,0.8168077356954979,0.0299999999999966,500.0,False,False,False,1100.0,0.4513991954543115,0.0056917394735667,,False
LHS35378,693168,True,0.8729795976272354,0.0299999999999966,400.0,True,True,True,1100.0,0.1480930435087783,0.0016758829171584,,False
LHS15123,693168,False,,0.0,0.0,True,False,False,1100.0,3.030779181213401e-07,0.3708858384909686,unattained interval;numerical instability;unsupported interpolation,False
LHS33154,693168,True,0.0087199948414822,0.0,50.0,True,False,False,1250.0,2.045942558696132e-07,0.3840326291688223,numerical instability,False
LHS39809,693168,True,0.4961060813184665,0.0299999999999966,300.0,True,False,False,1100.0,0.00046039902289,0.1217053868197016,numerical instability,False
LHS05506,693168,True,-0.0004185673487042,0.0,100.0,True,False,False,1200.0,1.9266132453555505e-07,0.3413183956725293,numerical instability,False
LHS23656,693168,True,0.0005249628509896,0.0,150.0,True,False,False,1150.0,4.83180341206685e-07,0.3545247966112331,numerical instability,False
LHS10959,693168,True,0.357824853454131,0.0294999999999967,250.0,True,False,False,1100.0,1.3364291523369951e-06,0.1982280061803043,numerical instability,False
