property_id,behavior,evidence_level,Theta_nuc,f_nuc,f_exchange,f_transport,I_low_slow,I_low_PR_slow,Pi_PR,R_fast_screen,span_fast_1p5_screen,S_closed_growth,A_closed_fraction,M_PR_closed,Gamma_mig,reduction_TS_screen,span_TS_20_screen,Chen_window_width_C_screen
BASE,fast_firing,dimensionless screen paired to exact promotion,1067.44318909746,0.9990640588005014,0.0009355947987936751,3.4640070493779157e-07,39434.896812542356,6.879797808582907e-19,3.9278976441551916e-21,1.796162,0.17,,,,,,,
OAT0001,fast_firing,dimensionless screen paired to exact promotion,0.5105336666991941,0.33798231575652865,0.6617726652266503,0.00024501901682079185,18519.94283281648,1.1486899192180972e-19,3.543597130080073e-24,1.1063752136031262,0.0,,,,,,,
OAT0002,fast_firing,dimensionless screen paired to exact promotion,3.4522678398020523,0.7753953634459557,0.22452150825017622,8.312830386812427e-05,31743.38327272282,3.5592719413976187e-19,1.9541821829175517e-23,1.2714077287340253,0.0066634329828591165,,,,,,,
OAT0003,fast_firing,dimensionless screen paired to exact promotion,23.344500108655303,0.9589229601948381,0.04106183680357059,1.5203001591220008e-05,37684.22572265686,5.874529060706919e-19,1.0971249960337115e-22,1.4596508755563828,0.06525655180072046,,,,,,,
OAT0004,fast_firing,dimensionless screen paired to exact promotion,157.85730152219446,0.9937050422585688,0.00629262791793331,2.329823497836724e-06,39158.42724234322,6.698359430723633e-19,6.369011092684789e-22,1.6235006662478844,0.11625692241888001,,,,,,,
OAT0005,fast_firing,dimensionless screen paired to exact promotion,1067.44318909746,0.9990640588005014,0.0009355947987936751,3.4640070493779157e-07,39434.896812542356,6.879797808582907e-19,3.9278976441551916e-21,1.796162,0.17,,,,,,,
OAT0006,fast_firing,dimensionless screen paired to exact promotion,7218.132775381017,0.9998614792065592,0.00013846952558278045,5.126785798309525e-08,39483.39790950586,6.914918599681323e-19,2.674659880624651e-20,2.004248749751362,0.17,,,,,,,
OAT0007,fast_firing,dimensionless screen paired to exact promotion,48809.56784883502,0.9999795126333482,2.047978408327346e-05,7.582568492863288e-09,39491.86324752138,6.921542235513362e-19,1.795340903927549e-19,2.263802266679961,0.17,,,,,,,
OAT0008,fast_firing,dimensionless screen paired to exact promotion,330054.0441311417,0.9999969702023412,3.0286763020319875e-06,1.1213568175079476e-09,39493.35027616968,6.92278597307479e-19,8.613577512565112e-19,2.5897580704955114,0.17,,,,,,,
OAT0009,fast_firing,dimensionless screen paired to exact promotion,2231850.77943528,0.999999551941572,4.4789259741031935e-07,1.6583066908815523e-10,39493.613446876254,6.923019460906119e-19,3.934487055952017e-18,2.9996247218066996,0.17,,,,,,,
OAT0010,fast_firing,dimensionless screen paired to exact promotion,296260.2449188999,0.9999966246006957,3.028675255313292e-06,3.4672404901942733e-07,39493.337917927165,6.922780522901319e-19,6.714546098203966e-19,2.5692835855941043,0.17,,,,,,,
OAT0011,fast_firing,dimensionless screen paired to exact promotion,48014.7603794235,0.9999791735048639,2.0479777137852956e-05,3.4671799828439704e-07,39491.85102545507,6.921536942731358e-19,1.6073963252093023e-19,2.2613142650914098,0.17,,,,,,,
OAT0012,fast_firing,dimensionless screen paired to exact promotion,7202.772149286539,0.9998611838382341,0.00013846948467760237,3.466770882913532e-07,39483.387309164376,6.914914147838541e-19,2.62198763786578e-20,2.003991668782128,0.17,,,,,,,
OAT0013,fast_firing,dimensionless screen paired to exact promotion,1067.44318909746,0.9990640588005014,0.0009355947987936751,3.4640070493779157e-07,39434.896812542356,6.879797808582907e-19,3.9278976441551916e-21,1.796162,0.17,,,,,,,
OAT0014,fast_firing,dimensionless screen paired to exact promotion,157.907101690153,0.9937070150461252,0.006292640410592123,3.445432827669585e-07,39158.49447611192,6.698381823714971e-19,6.372797342526228e-22,1.6235255491054028,0.11626466753072985,,,,,,,
OAT0015,fast_firing,dimensionless screen paired to exact promotion,23.35295423648596,0.9589372200888143,0.0410624474234677,3.324877179834394e-07,37684.70186587015,5.874638672152469e-19,1.097550354706938e-22,1.4596762960966478,0.06526446427329279,,,,,,,
OAT0016,fast_firing,dimensionless screen paired to exact promotion,3.4535418945263783,0.7754596176070446,0.22454011352154937,2.688714060161281e-07,31745.897734175458,3.5594963237060074e-19,1.9546873216065747e-23,1.2714314556800461,0.006670818302276321,,,,,,,
OAT0017,fast_firing,dimensionless screen paired to exact promotion,1067.837127546362,0.9990644037578525,0.0009355951218363276,1.120311074599244e-09,39434.90931336813,6.879803189350749e-19,3.9324381687268585e-21,1.7961976256734176,0.17,,,,,,,
OAT0018,fast_firing,dimensionless screen paired to exact promotion,1067.8297598584784,0.9990643973085738,0.0009355951157967632,7.575629426071057e-09,39434.90903894312,6.879803035879348e-19,3.9323998723049155e-21,1.7961969561694717,0.17,,,,,,,
OAT0019,fast_firing,dimensionless screen paired to exact promotion,1067.7799416555658,0.9990643536980578,0.0009355950749567675,5.12269854040286e-08,39434.907361554135,6.879802214067913e-19,3.9320195418077494e-21,1.7961924425561735,0.17,,,,,,,
OAT0020,fast_firing,dimensionless screen paired to exact promotion,1067.44318909746,0.9990640588005014,0.0009355947987936751,3.4640070493779157e-07,39434.896812542356,6.879797808582907e-19,3.9278976441551916e-21,1.796162,0.17,,,,,,,
