target,feature,evidence_level,n,spearman_r,absolute_rank_score
Chen_window_width_C_exact,k_PR_factor,exact,1000,0.9543326215832343,0.9543326215832343
Chen_window_width_C_exact,M_PR_closed,exact,1000,0.9118300217094052,0.9118300217094052
Chen_window_width_C_exact,log10_kPR_over_kgrowth,exact,1000,0.8417821445291584,0.8417821445291584
Chen_window_width_C_exact,I_low_PR_slow,exact,1000,0.3969721007634646,0.3969721007634646
Chen_window_width_C_exact,Pi_PR,exact,1000,0.26685823723161084,0.26685823723161084
Chen_window_width_C_exact,k_closed_factor,exact,1000,-0.13142331115682926,0.13142331115682926
Chen_window_width_C_exact,k_growth_factor,exact,1000,-0.05640104501062077,0.05640104501062077
Chen_window_width_C_exact,k_exchange_factor,exact,1000,-0.0499033566343934,0.0499033566343934
Chen_window_width_C_exact,S_closed_growth,exact,1000,-0.04207814328887322,0.04207814328887322
Chen_window_width_C_exact,log10_knuc_over_ktransport,exact,1000,0.03715915532735348,0.03715915532735348
Chen_window_width_C_exact,log10_kclosed_over_kgrowth,exact,1000,-0.03407688113296395,0.03407688113296395
Chen_window_width_C_exact,k_nuc_factor,exact,1000,0.02919963918267784,0.02919963918267784
Chen_window_width_C_exact,f_exchange,exact,1000,-0.026618888888825083,0.026618888888825083
Chen_window_width_C_exact,I_low_slow,exact,1000,0.025409845780331824,0.025409845780331824
Chen_window_width_C_exact,Q_PR_delta_kJ,exact,1000,-0.025314168321475865,0.025314168321475865
Chen_window_width_C_exact,f_nuc,exact,1000,0.024952079169883134,0.024952079169883134
Chen_window_width_C_exact,Theta_nuc,exact,1000,0.024901162210334758,0.024901162210334758
Chen_window_width_C_exact,Q_growth_delta_kJ,exact,1000,-0.024798938310424314,0.024798938310424314
Chen_window_width_C_exact,Q_PR_minus_Q_closed_kJ,exact,1000,-0.022831335499025062,0.022831335499025062
Chen_window_width_C_exact,Q_closed_minus_Q_growth_kJ,exact,1000,0.020578114391346578,0.020578114391346578
Chen_window_width_C_exact,f_transport,exact,1000,0.019722268986421012,0.019722268986421012
Chen_window_width_C_exact,Q_nuc_minus_Q_growth_kJ,exact,1000,0.01868655370060262,0.01868655370060262
Chen_window_width_C_exact,Q_exchange_delta_kJ,exact,1000,-0.017326402427621374,0.017326402427621374
Chen_window_width_C_exact,Q_nuc_minus_Q_PR_kJ,exact,1000,0.014441608087293651,0.014441608087293651
Chen_window_width_C_exact,Q_closed_delta_kJ,exact,1000,-0.01404744647860807,0.01404744647860807
Chen_window_width_C_exact,Q_nuc_minus_Q_transport_kJ,exact,1000,-0.012561366780787573,0.012561366780787573
Chen_window_width_C_exact,k_transport_factor,exact,1000,0.006325975430259844,0.006325975430259844
Chen_window_width_C_exact,Q_transport_delta_kJ,exact,1000,0.004110227743379055,0.004110227743379055
Chen_window_width_C_exact,Q_nuc_delta_kJ,exact,1000,-0.0034734823829365236,0.0034734823829365236
R_fast_exact,k_nuc_factor,exact,955,0.515882569413061,0.515882569413061
R_fast_exact,Q_growth_delta_kJ,exact,955,-0.4302553654534628,0.4302553654534628
R_fast_exact,f_transport,exact,955,0.3653811160122649,0.3653811160122649
R_fast_exact,I_low_slow,exact,955,-0.3413672167432493,0.3413672167432493
R_fast_exact,log10_knuc_over_ktransport,exact,955,0.3373062097605363,0.3373062097605363
R_fast_exact,f_nuc,exact,955,-0.33409844140880757,0.33409844140880757
R_fast_exact,Theta_nuc,exact,955,-0.3340966218572202,0.3340966218572202
R_fast_exact,f_exchange,exact,955,0.31033247629750565,0.31033247629750565
R_fast_exact,Pi_PR,exact,955,-0.2760172113079812,0.2760172113079812
R_fast_exact,Q_closed_minus_Q_growth_kJ,exact,955,0.2198897662990728,0.2198897662990728
R_fast_exact,Q_nuc_minus_Q_transport_kJ,exact,955,-0.21974863391788635,0.21974863391788635
R_fast_exact,Q_transport_delta_kJ,exact,955,0.18936561464497823,0.18936561464497823
R_fast_exact,Q_nuc_delta_kJ,exact,955,-0.17089629998147685,0.17089629998147685
R_fast_exact,Q_nuc_minus_Q_PR_kJ,exact,955,-0.11437659171421177,0.11437659171421177
R_fast_exact,k_growth_factor,exact,955,-0.09207702604003026,0.09207702604003026
R_fast_exact,Q_nuc_minus_Q_growth_kJ,exact,955,0.07152690056328345,0.07152690056328345
R_fast_exact,log10_kPR_over_kgrowth,exact,955,0.05444908080458639,0.05444908080458639
