property_id,design_stage,pair_map,diagnostic_only,Q_nuc_delta_kJ,Q_exchange_delta_kJ,Q_transport_delta_kJ,Q_growth_delta_kJ,Q_PR_delta_kJ,Q_closed_delta_kJ,k_nuc_factor,k_exchange_factor,k_transport_factor,k_growth_factor,k_PR_factor,k_closed_factor,Theta_nuc,f_nuc,f_exchange,f_transport,I_low_slow,I_low_PR_slow,Pi_PR,S_closed_growth,A_closed_fraction,M_PR_closed,Gamma_mig,Q_nuc_minus_Q_growth_kJ,Q_nuc_minus_Q_PR_kJ,Q_nuc_minus_Q_transport_kJ,Q_closed_minus_Q_growth_kJ,Q_PR_minus_Q_closed_kJ,log10_kclosed_over_kgrowth,log10_kPR_over_kgrowth,log10_knuc_over_ktransport,R_fast_screen,span_fast_1p5_screen,fast_firing_pass_screen,reduction_TS_screen,span_TS_20_screen,Chen_window_width_C_screen,lower_boundary_present_screen,upper_boundary_present_screen,two_step_pass_screen,high_density_attainment_screen,classification_screen,artifact_flag,topology_parameters_modified
PAIR00522,pairwise,kclosed-kgrowth,False,0,0,0,0,0,0,1,1,1,0.03,1,30,1067.44319,0.999064059,0.000935594799,3.46400705e-07,39434.8968,6.87979781e-19,3.92789764e-21,3851.82129,0.1674,0.3247075,0.99846761,-50,150.863289,90,-226.811428,25.9481396,3,1.52287875,0,1.08149487,0,False,0.999463969,0.03,529.724492,False,True,False,False,neither,False,False
PAIR00523,pairwise,kclosed-kgrowth,False,0,0,0,0,0,0,1,1,1,0.1,1,30,1067.44319,0.999064059,0.000935594799,3.46400705e-07,39434.8968,6.87979781e-19,3.92789764e-21,1155.54639,0.1674,0.3247075,0.994910233,-50,150.863289,90,-226.811428,25.9481396,2.47712125,1,0,1.17823847,0,False,0.998596813,0.03,480.085091,False,True,False,False,neither,False,False
PAIR00524,pairwise,kclosed-kgrowth,False,0,0,0,0,0,0,1,1,1,0.3,1,30,1067.44319,0.999064059,0.000935594799,3.46400705e-07,39434.8968,6.87979781e-19,3.92789764e-21,385.182129,0.1674,0.3247075,0.984884568,-50,150.863289,90,-226.811428,25.9481396,2,0.522878745,0,1.3640242,0.0354915111,False,0.996627474,0.03,437.403846,False,True,False,False,neither,False,False
LHS00007,LHS,,False,-32.1032616,26.5237094,36.6626626,54.5446335,-98.7834328,0.773638654,5.78409297,0.0488196424,0.150540371,17.9629181,24.7325998,0.0437008237,42.6576894,0.977094528,0.0228488407,5.66316559e-05,38494.4417,1.23545508e-14,4.16613515e-18,0.012901043,0.1674,0.587160956,0.600807382,-136.647895,217.54346,21.2340757,-280.582423,-73.6089319,-2.61388727,0.13889288,1.58458228,1.29932754,0.0153538362,False,0.0981453068,0.014721796,17.6127718,True,True,False,False,neither,False,False
LHS00010,LHS,,False,96.0827214,58.341038,-63.0487522,57.8276157,-11.6620186,-26.9107955,0.40418722,0.0358919431,4.61344013,0.113853626,1.55954026,15.0406126,1318465.79,0.999999242,7.58453355e-07,3.36447894e-12,39493.6081,2.36721045e-18,1.00837276e-17,842.158714,0.1674,0.377894777,0.995887082,-11.7448943,258.608029,249.131474,-311.54984,41.1969164,2.12091866,1.13664972,-1.05744231,1.03511277,0,False,0.998280677,0.03,472.460048,False,True,False,False,neither,False,False
LHS00013,LHS,,False,-88.8747442,60.7299211,-59.1211287,-90.0726116,-55.665882,-63.5756161,21.1851988,0.136779315,0.722566428,3.14798321,0.0359336185,0.0810384208,0.00397281445,0.00395709366,0.996042702,2.04261936e-07,246.68131,2.56992309e-21,6.52315999e-26,0.0847041894,0.1674,0.0132776006,0.784237108,-48.8021326,117.654427,60.2463845,-200.314433,33.8578737,-1.58934144,-1.94253145,1.46715476,1.45503499,0.0638197986,False,0.163894684,0.0245842026,127.08232,True,True,False,True,neither,False,False
LHS00026,LHS,,False,-22.6321804,24.7012362,33.2661694,-19.6967129,71.8279104,-46.7728095,1.26695523,2.57668212,0.0527758683,0.0305614966,9.32674636,8.8635306,8.77113924,0.897657788,0.102340718,1.49381629e-06,35319.2042,4.41755833e-20,2.79321793e-23,1312.24039,0.1674,0.616616633,0.998245367,-52.9354675,56.4031982,34.1016502,-253.887525,144.548859,2.46243213,2.48455555,1.38032588,1.08951692,0,False,0.999183295,0.03,543.718865,False,True,False,False,neither,False,False
LHS00039,LHS,,False,13.3028578,52.1720776,4.06290018,79.8623438,-48.3447556,-78.6188946,1.87670486,14.6319672,0.0318412821,3.1608231,2.20672388,15.3345662,1.99170127,0.665742028,0.334257965,6.80584003e-09,28442.3018,1.23924397e-17,4.73686455e-22,47.9472007,0.1674,0.376174876,0.908614839,-116.559486,212.510902,99.2399576,-385.292667,56.2222785,0.685871304,-0.156052196,1.77040543,1.01123533,0,False,0.983205684,0.03,439.243942,False,True,False,False,neither,False,False
LHS00045,LHS,,False,-60.7739061,34.8348562,-5.12447876,30.1382977,-6.09192621,-60.4524822,29.7661263,8.02578069,5.89514081,1.53704662,0.133554072,8.50736877,0.002990702,0.00298178437,0.997005439,1.27766632e-05,391.514975,1.58194374e-22,4.01144363e-27,36.5338405,0.1674,0.0725906843,0.938321952,-140.912204,96.181309,34.3505727,-317.402208,80.3086955,0.74310822,-1.06102991,0.703228137,1.00078443,0,False,0.970500198,0.03,405.695795,False,True,False,False,neither,False,False
LHS00049,LHS,,False,-89.1269046,-17.6578187,-10.3085695,37.8046239,-2.52605906,-45.7659991,11.0328983,3.70932472,6.36832848,19.9963733,1.06731407,18.4291207,0.110416636,0.0994371234,0.899559947,0.00100292925,9906.44845,2.87416936e-20,7.66125033e-25,5.83462884,0.1674,0.331280788,0.550343422,-176.931528,64.2624434,11.181665,-310.382051,69.1880797,-0.0354466222,-1.272659,0.238664158,1.04110713,0,False,0.912365389,0.03,338.214559,False,True,False,False,neither,False,False
