property_id,exact_fast_attained,R_fast_exact,median_fast_ratio_exact,span_fast_1p5_exact,fast_firing_pass_exact,nucleation_facile_pass_exact,PR_off_pass_exact,fast_artifact_reasons,candidate_id,exact_two_attained,reduction_TS_exact,span_TS_20_exact,Chen_window_width_C_exact,lower_boundary_present_exact,upper_boundary_present_exact,two_step_pass_exact,success_T2_C,closed_fraction_switch_exact,closed_accommodation_fraction_exact,two_artifact_reasons,topology_parameters_modified,classification_exact
BASE,True,1.7961615996597604,1.7873484720505837,0.1700000000000001,True,False,True,,693168.0,True,0.9062874073435776,0.0299999999999966,250.0,True,True,True,1100.0,0.649417504348451,0.1674003340096851,,False,both_pass
LHS00012,True,6.0757391510799765,5.494076257374674,0.1700000000000001,False,True,True,,,,,,,,,,,,,,,neither
LHS00019,True,2.1322674707964584,2.1247135862106146,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00022,True,1.9312753668563456,1.6942300118981504,0.1670000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00026,,,,,,,,,693168.0,True,0.8074889729178996,0.0299999999999966,500.0,False,False,False,1100.0,0.718512626418795,0.0010193689253823,,False,neither
LHS00034,True,1.8462619637645812,1.7253011274266628,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00040,True,1.8167087481984243,1.8030588616016856,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00044,True,2.331176881081465,2.2925310822301888,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00048,True,2.1316607715936584,2.044627428411439,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00052,True,2.258609701280407,2.14027141539764,0.1700000000000001,False,True,True,,,,,,,,,,,,,,,neither
LHS00054,True,2.1567719901552267,2.1536478498615845,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00059,True,1.3018900898574632,1.145689320904442,0.0,False,False,False,,,,,,,,,,,,,,,neither
LHS00060,,,,,,,,,693168.0,True,0.6665069333192157,0.0299999999999966,500.0,False,False,False,1100.0,0.997936538389912,0.0321683887692744,,False,neither
LHS00062,False,,,0.0,False,False,False,unattained interval,,,,,,,,,,,,,,neither
LHS00066,True,2.3836052302163537,2.3457569660350104,0.1700000000000001,False,True,True,,,,,,,,,,,,,,,neither
LHS00070,True,2.386749512697377,2.2956599663103354,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00077,True,3.0092747071715595,2.947645868732394,0.1700000000000001,False,True,True,,,,,,,,,,,,,,,neither
LHS00078,True,2.035810786745764,1.9290970654886517,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00079,True,1.1789106260976108,1.0836694085314915,0.0,False,False,False,,,,,,,,,,,,,,,neither
LHS00088,True,1.0574890998465027,1.0342732889110628,0.0,False,False,False,,,,,,,,,,,,,,,neither
LHS00089,True,4.776494694186271,4.032570082921692,0.1700000000000001,False,True,True,,,,,,,,,,,,,,,neither
LHS00099,True,4.459479083662858,3.68112650255827,0.1700000000000001,False,True,True,,,,,,,,,,,,,,,neither
LHS00100,False,,,0.0,False,False,False,unattained interval,,,,,,,,,,,,,,neither
LHS00101,,,,,,,,,693168.0,True,0.0299145130673781,0.0,250.0,True,False,False,1100.0,4.2057488509798826e-07,0.3185286422381848,numerical instability,False,neither
LHS00134,True,1.6800845752717508,1.6630596475759376,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00135,True,2.168042878498512,2.101786895980428,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00139,True,1.8009148967347155,1.6032137410009246,0.1370000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00147,,,,,,,,,693168.0,True,0.5037802948260838,0.0299999999999966,300.0,True,False,False,1100.0,7.86211586107051e-07,0.1740465010111616,numerical instability,False,neither
LHS00151,True,1.2541472853663187,1.120961406944239,0.0,False,False,False,,,,,,,,,,,,,,,neither
LHS00155,True,1.3345509392444066,1.166663215522452,0.0,False,False,False,,,,,,,,,,,,,,,neither
LHS00163,True,1.8311315764779263,1.6428483889816163,0.1590000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00164,True,2.1188421036777667,2.108370772893423,0.1700000000000001,False,True,True,,,,,,,,,,,,,,,neither
LHS00169,True,1.9349167555097648,1.9206910973939368,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00174,True,1.9857488983653684,1.983846284599407,0.1700000000000001,True,False,True,,,,,,,,,,,,,,,fast_only
LHS00177,True,1.142949360446177,1.136485171381589,0.0,False,False,False,,,,,,,,,,,,,,,neither
LHS00180,True,2.197826175252093,2.1038119596558755,0.1700000000000001,False,True,True,,,,,,,,,,,,,,,neither
LHS00186,True,1.281851240911882,1.1353669591187432,0.0,False,False,False,,,,,,,,,,,,,,,neither
