figure_id,filename_pdf,filename_png,short_title,source_table_or_script,purpose,manuscript_location
1,candidate_4412_causal_diagnosis.pdf,candidate_4412_causal_diagnosis.png,candidate_4412_causal_diagnosis,coupled_pr_sweep_state_plots.py,negative mechanism audit,draft
2,coupled_state_mechanism_schematic.pdf,coupled_state_mechanism_schematic.png,coupled_state_mechanism_schematic,coupled_pr_sweep_state_plots.py,negative mechanism audit,draft
3,highT_vs_twostep_G_rho_best.pdf,highT_vs_twostep_G_rho_best.png,highT_vs_twostep_G_rho_best,coupled_pr_sweep_state_plots.py,negative mechanism audit,draft
4,reduction_TS_vs_density_best.pdf,reduction_TS_vs_density_best.png,reduction_TS_vs_density_best,coupled_pr_sweep_state_plots.py,negative mechanism audit,draft
5,PR_damage_and_sweep_memory_vs_density.pdf,PR_damage_and_sweep_memory_vs_density.png,PR_damage_and_sweep_memory_vs_density,coupled_pr_sweep_state_plots.py,negative mechanism audit,draft
6,pore_number_D90_location_vs_density.pdf,pore_number_D90_location_vs_density.png,pore_number_D90_location_vs_density,coupled_pr_sweep_state_plots.py,negative mechanism audit,draft
7,closed_pore_accommodation_vs_density.pdf,closed_pore_accommodation_vs_density.png,closed_pore_accommodation_vs_density,coupled_pr_sweep_state_plots.py,negative mechanism audit,draft
8,Chen_filled_window_best.pdf,Chen_filled_window_best.png,Chen_filled_window_best,coupled_pr_sweep_state_plots.py,negative mechanism audit,draft
9,Chen_classification_map_best.pdf,Chen_classification_map_best.png,Chen_classification_map_best,coupled_pr_sweep_state_plots.py,negative mechanism audit,draft
10,ablation_waterfall_coupled_state.pdf,ablation_waterfall_coupled_state.png,ablation_waterfall_coupled_state,coupled_pr_sweep_state_plots.py,negative mechanism audit,draft
11,fast_firing_preservation.pdf,fast_firing_preservation.png,fast_firing_preservation,coupled_pr_sweep_state_plots.py,negative mechanism audit,draft
