parameter,baseline
k_PR,1e-05
Q_PR,250000.0
activity_mid,1180.0
activity_width,70.0
activity_power,2.0
k_sweep,20.0
sweep_exp,1.0
k_growth,9000.0
Q_growth,500000.0
k_open,1.5e-05
Q_density,475000.0
k_closed,2e-06
Q_closed,475000.0
gas_ratio,0.25
closed_transition,2e-05
capacity_recovery,1e-08
removable_threshold,0.08
attached_drag,30.0
PR_to_damaged,0.6
PR_to_seed,0.2
sweep_to_attached,0.6
sweep_to_TJ,0.2
number_loss,3.0
