candidate_id,exact_reconfirmed,tier,rejection_reason,median_reduction,span20,lower_bracketed,upper_bracketed
16894,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
200753,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
78810,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
28887,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
93480,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
244247,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
99356,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
45004,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
191529,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
62787,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
119466,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
126966,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
136696,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
61968,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
175656,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
81693,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
131300,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
166030,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
175101,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
193118,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
36026,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
109453,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
248631,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
67886,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
27500,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
78605,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
42158,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
85471,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
195848,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
142572,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
38825,True,reject,no_complete_dynamic_bridge,0.0,0.0,False,False
