attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,exact_reconfirmed,rho_high_final,rho_two_final,dynamic_equivalence_class
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,620919,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,698751,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,606636,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,519654,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,719280,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,281151,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,814011,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,970251,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,719334,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,629142,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,827604,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,320178,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,40035,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,47058,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,556896,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,872802,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,87690,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,3405,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,506454,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,863451,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,507435,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,251007,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,209784,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,565401,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,726276,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,573459,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,930468,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,429807,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,614166,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,110796,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,637452,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,232872,True,0.7954577523024531,0.7954577523024531,8
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,473664,True,0.7954577523024531,0.7954577523024531,8
