figure_id,filename_pdf,filename_png,short_title,source_table_or_script,purpose,manuscript_location
1,optimizer_convergence.pdf,optimizer_convergence.png,optimizer_convergence,interacting_local_region_plots.py,negative spatial-model audit,draft
2,stage0_phase_map.pdf,stage0_phase_map.png,stage0_phase_map,interacting_local_region_plots.py,negative spatial-model audit,draft
3,pareto_front.pdf,pareto_front.png,pareto_front,interacting_local_region_plots.py,negative spatial-model audit,draft
4,best_highT_vs_twostep_G_rho.pdf,best_highT_vs_twostep_G_rho.png,best_highT_vs_twostep_G_rho,interacting_local_region_plots.py,negative spatial-model audit,draft
5,reduction_TS_vs_density_best.pdf,reduction_TS_vs_density_best.png,reduction_TS_vs_density_best,interacting_local_region_plots.py,negative spatial-model audit,draft
6,best_physical_time_histories.pdf,best_physical_time_histories.png,best_physical_time_histories,interacting_local_region_plots.py,negative spatial-model audit,draft
7,local_region_topology_histories.pdf,local_region_topology_histories.png,local_region_topology_histories,interacting_local_region_plots.py,negative spatial-model audit,draft
8,pore_connectivity_distribution_histories.pdf,pore_connectivity_distribution_histories.png,pore_connectivity_distribution_histories,interacting_local_region_plots.py,negative spatial-model audit,draft
9,pore_number_D90_location_histories.pdf,pore_number_D90_location_histories.png,pore_number_D90_location_histories,interacting_local_region_plots.py,negative spatial-model audit,draft
10,closed_pore_and_accommodation_histories.pdf,closed_pore_and_accommodation_histories.png,closed_pore_and_accommodation_histories,interacting_local_region_plots.py,negative spatial-model audit,draft
11,Chen_filled_window_best.pdf,Chen_filled_window_best.png,Chen_filled_window_best,interacting_local_region_plots.py,negative spatial-model audit,draft
12,Chen_classification_map_best.pdf,Chen_classification_map_best.png,Chen_classification_map_best,interacting_local_region_plots.py,negative spatial-model audit,draft
13,robustness_heatmap_rho0_G0.pdf,robustness_heatmap_rho0_G0.png,robustness_heatmap_rho0_G0,interacting_local_region_plots.py,negative spatial-model audit,draft
14,ablation_waterfall_best.pdf,ablation_waterfall_best.png,ablation_waterfall_best,interacting_local_region_plots.py,negative spatial-model audit,draft
15,fast_firing_preservation.pdf,fast_firing_preservation.png,fast_firing_preservation,interacting_local_region_plots.py,negative spatial-model audit,draft
