figure_id,panel_id,candidate_id,evidence_level,model_layer,source_file,source_table,source_branch_or_commit,units_reference,human_readable_label_reference,derivation_notes,path_label,closed_fraction_at_switch,closed_fraction_at_target,closed_accommodation_fraction,PR_damage_memory,closed_shrinkage_share,open_shrinkage_share,Chen_window_width_C,S_closed_growth
Figure 4,selectivity,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,integrated saved open/closed flux histories,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Pathwise diagnostic groups; unavailable S_closed_growth is explicitly NaN.,highT_reference,,0.9999999999999984,0.0065846499501626,0.9986602348533732,0.9224042423514627,0.0775957576485373,270.0,
Figure 4,selectivity,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,integrated saved open/closed flux histories,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Pathwise diagnostic groups; unavailable S_closed_growth is explicitly NaN.,lower_failure,,0.0001228313254217,0.9760334478268728,1.0,0.9468369734647833,0.05316302653521663,270.0,
Figure 4,selectivity,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,integrated saved open/closed flux histories,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Pathwise diagnostic groups; unavailable S_closed_growth is explicitly NaN.,success,,0.9453094397506112,0.0123045236746642,1.0,0.8736482489367626,0.12635175106323712,270.0,
Figure 4,selectivity,693168,diagnostic,candidate_693168_audit,results/audit_candidate_693168_closed_accommodation/dense_candidate_693168_histories.csv,integrated saved open/closed flux histories,codex/figure-source-data-package@579367dddf34,results/figure_source_data_package/all_columns_dictionary.csv,results/figure_source_data_package/all_columns_dictionary.csv,Pathwise diagnostic groups; unavailable S_closed_growth is explicitly NaN.,upper_failure,,0.9999995648448312,0.0034688194312579,0.9970117033444036,0.8701094430715024,0.12989055692849746,270.0,
