property_id,perturbed_parameter,perturbed_value,R_fast_exact,span_fast_1p5_exact,exact_fast_attained,fast_firing_pass_exact,nucleation_facile_pass_exact,PR_off_pass_exact,evidence_level,boundary_role
OAT0001,Q_nuc_delta_kJ,-100.0,0.9995128770709744,0.0,True,False,False,False,exact OAT,interior
OAT0002,Q_nuc_delta_kJ,-75.0,1.004289552611904,0.0,True,False,False,False,exact OAT,interior
OAT0003,Q_nuc_delta_kJ,-50.0,1.079755701326267,0.0,True,False,False,False,exact OAT,interior
OAT0004,Q_nuc_delta_kJ,-25.0,1.3629901128274082,0.0,True,False,False,False,exact OAT,adjacent_failure
OAT0005,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0006,Q_nuc_delta_kJ,25.0,1.9266672353498704,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0007,Q_nuc_delta_kJ,50.0,1.7322421164592012,0.1110000000000001,True,True,False,True,exact OAT,survival_edge
OAT0008,Q_nuc_delta_kJ,75.0,1.4155156722954774,0.0,True,False,False,False,exact OAT,adjacent_failure
OAT0009,Q_nuc_delta_kJ,100.0,1.122315939408234,0.0,True,False,False,False,exact OAT,interior
OAT0010,Q_exchange_delta_kJ,-75.0,1.8012667883747375,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0011,Q_exchange_delta_kJ,-50.0,1.8011126048251715,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0012,Q_exchange_delta_kJ,-25.0,1.8003082007379667,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0013,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0014,Q_exchange_delta_kJ,25.0,1.775475303518437,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0015,Q_exchange_delta_kJ,50.0,1.68470875480311,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0016,Q_exchange_delta_kJ,75.0,1.426564494910065,0.0,True,False,False,False,exact OAT,interior
OAT0017,Q_transport_delta_kJ,-75.0,1.7961616791642292,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0018,Q_transport_delta_kJ,-50.0,1.79616165758609,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0019,Q_transport_delta_kJ,-25.0,1.7961615922839167,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0020,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0021,Q_transport_delta_kJ,25.0,1.7961641865939648,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0022,Q_transport_delta_kJ,50.0,1.796196291212757,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0023,Q_transport_delta_kJ,75.0,1.7964995216709234,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0024,Q_growth_delta_kJ,-100.0,2.283217480231148,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0025,Q_growth_delta_kJ,-75.0,2.058391807536246,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0026,Q_growth_delta_kJ,-50.0,1.8568695514020623,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0027,Q_growth_delta_kJ,-25.0,1.6708995797884278,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0028,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0029,Q_growth_delta_kJ,25.0,1.355649463379176,0.0,True,False,False,False,exact OAT,interior
OAT0030,Q_growth_delta_kJ,50.0,1.0732448204442102,0.0,True,False,False,False,exact OAT,interior
OAT0031,Q_growth_delta_kJ,75.0,1.0063929949711137,0.0,True,False,False,False,exact OAT,interior
OAT0032,Q_growth_delta_kJ,100.0,0.999943890200811,0.0,True,False,False,False,exact OAT,interior
OAT0033,Q_PR_delta_kJ,-100.0,1.7961616008261454,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0034,Q_PR_delta_kJ,-75.0,1.7961615997875902,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0035,Q_PR_delta_kJ,-50.0,1.796161599671098,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0036,Q_PR_delta_kJ,-25.0,1.7961615996600555,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0037,multiple_or_none,,1.7961615996597604,0.1700000000000001,True,True,False,True,exact OAT,interior
OAT0038,Q_PR_delta_kJ,25.0,1.7961615996601468,0.1700000000000001,True,True,False,True,exact OAT,interior
