property_id,perturbed_parameter,perturbed_value,reduction_TS_exact,span_TS_20_exact,Chen_window_width_C_exact,exact_two_attained,lower_boundary_present_exact,upper_boundary_present_exact,two_step_pass_exact,evidence_level,boundary_role
OAT0001,Q_nuc_delta_kJ,-100.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0002,Q_nuc_delta_kJ,-75.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0003,Q_nuc_delta_kJ,-50.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0004,Q_nuc_delta_kJ,-25.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0005,multiple_or_none,,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0006,Q_nuc_delta_kJ,25.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0007,Q_nuc_delta_kJ,50.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0008,Q_nuc_delta_kJ,75.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0009,Q_nuc_delta_kJ,100.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0010,Q_exchange_delta_kJ,-75.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0011,Q_exchange_delta_kJ,-50.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0012,Q_exchange_delta_kJ,-25.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0013,multiple_or_none,,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0014,Q_exchange_delta_kJ,25.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0015,Q_exchange_delta_kJ,50.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0016,Q_exchange_delta_kJ,75.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0017,Q_transport_delta_kJ,-75.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0018,Q_transport_delta_kJ,-50.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0019,Q_transport_delta_kJ,-25.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0020,multiple_or_none,,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0021,Q_transport_delta_kJ,25.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0022,Q_transport_delta_kJ,50.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0023,Q_transport_delta_kJ,75.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0024,Q_growth_delta_kJ,-100.0,0.858271102047229,0.0299999999999966,200.0,True,True,True,True,exact OAT,interior
OAT0025,Q_growth_delta_kJ,-75.0,0.8728230738191195,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0026,Q_growth_delta_kJ,-50.0,0.8855511750507036,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0027,Q_growth_delta_kJ,-25.0,0.8966472276959343,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0028,multiple_or_none,,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0029,Q_growth_delta_kJ,25.0,0.9146332090063962,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0030,Q_growth_delta_kJ,50.0,0.9218325718571958,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0031,Q_growth_delta_kJ,75.0,0.928020957091144,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0032,Q_growth_delta_kJ,100.0,0.9333222580111716,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0033,Q_PR_delta_kJ,-100.0,0.7564554342314023,0.0299999999999966,300.0,True,True,True,True,exact OAT,interior
OAT0034,Q_PR_delta_kJ,-75.0,0.7910385368903631,0.0299999999999966,300.0,True,True,True,True,exact OAT,interior
OAT0035,Q_PR_delta_kJ,-50.0,0.8119997468341519,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0036,Q_PR_delta_kJ,-25.0,0.88162483368635,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0037,multiple_or_none,,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0038,Q_PR_delta_kJ,25.0,0.9269065992175858,0.0299999999999966,200.0,True,True,True,True,exact OAT,interior
OAT0039,Q_PR_delta_kJ,50.0,0.943873953128095,0.0299999999999966,300.0,True,True,True,True,exact OAT,interior
OAT0040,Q_PR_delta_kJ,75.0,0.9557514300625152,0.0299999999999966,300.0,True,True,True,True,exact OAT,interior
OAT0041,Q_PR_delta_kJ,100.0,0.9635978523600128,0.0299999999999966,300.0,True,True,True,True,exact OAT,interior
OAT0042,Q_closed_delta_kJ,-100.0,0.9051317022991464,0.0299999999999966,400.0,True,False,True,False,exact OAT,interior
OAT0043,Q_closed_delta_kJ,-75.0,0.9080153214211992,0.0299999999999966,400.0,True,False,True,False,exact OAT,interior
OAT0044,Q_closed_delta_kJ,-50.0,0.9096166608941753,0.0299999999999966,400.0,True,False,True,False,exact OAT,lower_boundary_lost
OAT0045,Q_closed_delta_kJ,-25.0,0.909075686696071,0.0299999999999966,250.0,True,True,True,True,exact OAT,survival_edge
OAT0046,multiple_or_none,,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0047,Q_closed_delta_kJ,25.0,0.9038118762172096,0.0299999999999966,200.0,True,True,True,True,exact OAT,interior
OAT0048,Q_closed_delta_kJ,50.0,0.9009671156079446,0.0299999999999966,200.0,True,True,True,True,exact OAT,interior
OAT0049,Q_closed_delta_kJ,75.0,0.8956718966348138,0.0299999999999966,200.0,True,True,True,True,exact OAT,interior
OAT0050,Q_closed_delta_kJ,100.0,0.885199182046886,0.0299999999999966,200.0,True,True,True,True,exact OAT,survival_edge
OAT0051,k_nuc_factor,0.03,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0052,k_nuc_factor,0.1,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0053,k_nuc_factor,0.3,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0054,multiple_or_none,,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0055,k_nuc_factor,3.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0056,k_nuc_factor,10.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0057,k_nuc_factor,30.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0058,k_exchange_factor,0.03,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0059,k_exchange_factor,0.1,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0060,k_exchange_factor,0.3,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0061,multiple_or_none,,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0062,k_exchange_factor,3.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0063,k_exchange_factor,10.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0064,k_exchange_factor,30.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0065,k_transport_factor,0.03,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0066,k_transport_factor,0.1,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0067,k_transport_factor,0.3,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0068,multiple_or_none,,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0069,k_transport_factor,3.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0070,k_transport_factor,10.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0071,k_transport_factor,30.0,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0072,k_growth_factor,0.03,0.577674798554757,0.0299999999999966,350.0,True,True,False,False,exact OAT,upper_boundary_lost
OAT0073,k_growth_factor,0.1,0.7469497420848502,0.0299999999999966,300.0,True,True,True,True,exact OAT,threshold_pass
OAT0074,k_growth_factor,0.3,0.8452821120260933,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0075,multiple_or_none,,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0076,k_growth_factor,3.0,0.9349007499508868,0.0299999999999966,200.0,True,True,True,True,exact OAT,interior
OAT0077,k_growth_factor,10.0,0.9498732753663216,0.0299999999999966,200.0,True,True,True,True,exact OAT,interior
OAT0078,k_growth_factor,30.0,0.9562391843162446,0.0299999999999966,150.0,True,True,True,True,exact OAT,interior
OAT0079,k_PR_factor,0.03,,0.0,0.0,False,True,True,False,exact OAT,interior
OAT0080,k_PR_factor,0.1,0.0546080623764779,0.0,100.0,True,True,False,False,exact OAT,below_threshold_failure
OAT0081,k_PR_factor,0.3,0.7965954110525617,0.0299999999999966,100.0,True,True,True,True,exact OAT,threshold_pass
OAT0082,multiple_or_none,,0.9062874073435776,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0083,k_PR_factor,3.0,0.9204455545768976,0.0299999999999966,250.0,True,True,True,True,exact OAT,interior
OAT0084,k_PR_factor,10.0,0.9202236895863996,0.0299999999999966,300.0,True,True,True,True,exact OAT,interior
OAT0085,k_PR_factor,30.0,0.9173370697000892,0.0299999999999966,350.0,True,True,True,True,exact OAT,interior
