model_style,matched_density,matching_tier,G0_a_nm,G0_b_nm,rate_a,rate_b,coverage_difference,G1_difference_nm,rho2_difference,G2_difference_nm
density,0.8,max_topology_contrast,35.0,2000.0,0.1,100.0,0.6953037511466335,1863.1383672313336,0.031414930175291955,1840.8963384012663
density,0.8,nearest_rho_connectivity,1000.0,2000.0,100.0,0.1,0.020966415681257455,999.9017588035225,0.0010158797123055452,1052.721451866925
density,0.8,nearest_rho_connectivity_G1,35.0,150.0,100.0,100.0,0.03439635711688771,18.582442393216184,0.0014366136455690182,10.230314937513185
density,0.85,max_topology_contrast,35.0,2000.0,0.1,100.0,0.5280873345910138,1813.237626852872,0.02634176645790154,1812.2070314863875
density,0.85,nearest_rho_connectivity,35.0,150.0,0.1,0.1,0.003433743797857436,5.368096247364036,0.00028725898358838986,3.1357360933575933
density,0.85,nearest_rho_connectivity_G1,35.0,150.0,0.1,0.1,0.003433743797857436,5.368096247364036,0.00028725898358838986,3.1357360933575933
connectivity,0.8,max_topology_contrast,150.0,2000.0,0.1,100.0,0.6369244338233253,1840.4025596822814,0.007741174131356998,1752.804320843497
connectivity,0.8,nearest_rho_connectivity,35.0,150.0,0.1,0.1,0.005715972142603665,42.43397634671595,0.0002929937799621696,31.91417343330042
connectivity,0.8,nearest_rho_connectivity_G1,35.0,150.0,0.1,0.1,0.005715972142603665,42.43397634671595,0.0002929937799621696,31.91417343330042
connectivity,0.85,max_topology_contrast,150.0,2000.0,0.1,100.0,0.5133792883308703,1813.589799193631,0.008602133808317425,1735.3290601749504
connectivity,0.85,nearest_rho_connectivity,35.0,150.0,100.0,100.0,0.007015852421116409,6.605695783940007,0.00039907952006601466,3.9687220497988847
connectivity,0.85,nearest_rho_connectivity_G1,35.0,150.0,100.0,100.0,0.007015852421116409,6.605695783940007,0.00039907952006601466,3.9687220497988847
hybrid_topology,0.8,max_topology_contrast,35.0,2000.0,0.1,100.0,0.630909293269877,1882.9814840126726,0.027485202280233323,1860.0117818467113
hybrid_topology,0.8,nearest_rho_connectivity,35.0,150.0,0.1,0.1,0.025980013298985805,40.23354720073068,0.0008534001685399639,25.263789056264102
hybrid_topology,0.8,nearest_rho_connectivity_G1,35.0,150.0,100.0,100.0,0.03432607376087654,18.582025981104096,0.0013674406119900118,9.940011064072564
hybrid_topology,0.85,max_topology_contrast,150.0,2000.0,0.1,100.0,0.49692716151832494,1820.4710521232596,0.024570735430542556,1825.3469854456416
hybrid_topology,0.85,nearest_rho_connectivity,35.0,150.0,100.0,100.0,0.007001133212748867,6.611873165294611,0.0004109606241411434,4.048458365608099
hybrid_topology,0.85,nearest_rho_connectivity_G1,35.0,150.0,100.0,100.0,0.007001133212748867,6.611873165294611,0.0004109606241411434,4.048458365608099
