model_style,G0_nm,n_first_states,n_5pct_windows,max_5pct_window_width_C,minimum_required_growth_tolerance,minimum_T_lower_C,maximum_T_upper_5pct_C
density,25.0,10,0,nan,0.5150187090941372,1225.0,1125.0
density,35.0,10,0,nan,0.5175747956201066,1225.0,1125.0
density,50.0,10,0,nan,0.5164419853744694,1225.0,1125.0
density,75.0,63,0,nan,0.37367749358113805,1215.0,1135.0
density,100.0,10,0,nan,0.5149072264252819,1225.0,1135.0
density,150.0,10,0,nan,0.5064248896668864,1225.0,1145.0
density,225.0,10,0,nan,0.3680204062334959,1215.0,1150.0
density,300.0,10,0,nan,0.195053927614351,1200.0,1165.0
density,325.0,1,0,nan,0.23841176036105854,1215.0,1155.0
density,350.0,1,0,nan,0.1464926131541796,1200.0,1160.0
density,375.0,1,0,nan,0.11548138877496393,1195.0,1160.0
density,400.0,1,0,nan,0.0925364143139487,1190.0,1165.0
density,425.0,1,0,nan,0.07558438970273337,1185.0,1165.0
density,450.0,58,10,0.0,0.04830537431436173,1165.0,1180.0
density,475.0,1,0,nan,0.05975767844816096,1180.0,1170.0
density,500.0,1,0,nan,0.05117100813635504,1175.0,1170.0
density,550.0,1,1,0.0,0.04826534608342676,1175.0,1175.0
density,600.0,9,9,25.0,0.029718674985530907,1150.0,1185.0
density,800.0,9,9,25.0,0.02769515272993519,1150.0,1185.0
density,1000.0,58,54,35.0,0.020702652074188112,1140.0,1195.0
density,1500.0,9,9,45.0,0.018570916560269924,1140.0,1195.0
density,2000.0,58,52,45.0,0.017308144236143883,1140.0,1200.0
density,3000.0,9,9,55.0,0.015771525452157528,1140.0,1200.0
density,5000.0,9,9,50.0,0.017661450557023752,1150.0,1210.0
density,10000.0,10,9,70.0,0.015158518704303306,1155.0,1225.0
connectivity,25.0,10,0,nan,0.5101478172122454,1225.0,1130.0
connectivity,35.0,10,0,nan,0.5127009227435804,1225.0,1130.0
connectivity,50.0,10,0,nan,0.5115693863157655,1225.0,1130.0
connectivity,75.0,63,0,nan,0.36815285347427895,1215.0,1135.0
connectivity,100.0,10,0,nan,0.5100344642256296,1225.0,1130.0
connectivity,150.0,10,0,nan,0.5015445035696334,1225.0,1140.0
connectivity,225.0,10,0,nan,0.36249352217495545,1215.0,1160.0
connectivity,300.0,10,0,nan,0.21172298061888362,1205.0,1175.0
connectivity,325.0,1,0,nan,0.2266849402075724,1215.0,1165.0
connectivity,350.0,1,0,nan,0.15112461868959842,1205.0,1170.0
connectivity,375.0,1,0,nan,0.11426496701841404,1200.0,1175.0
connectivity,400.0,1,0,nan,0.10136747385098818,1200.0,1175.0
connectivity,425.0,1,0,nan,0.07826441654879858,1195.0,1180.0
connectivity,450.0,61,4,0.0,0.048154996618309666,1175.0,1190.0
connectivity,475.0,1,0,nan,0.06603452440894256,1195.0,1185.0
connectivity,500.0,1,0,nan,0.05230218814586325,1190.0,1185.0
connectivity,550.0,1,1,0.0,0.046430427397135134,1190.0,1190.0
connectivity,600.0,9,9,10.0,0.033498259918668165,1175.0,1195.0
connectivity,800.0,9,9,20.0,0.02338022090029031,1175.0,1205.0
connectivity,1000.0,61,53,20.0,0.02078347320943253,1180.0,1210.0
connectivity,1500.0,10,9,25.0,0.018117272337925625,1190.0,1220.0
connectivity,2000.0,61,52,20.0,0.019982055549845817,1200.0,1230.0
connectivity,3000.0,10,9,25.0,0.015790158527145156,1200.0,1235.0
connectivity,5000.0,10,8,20.0,0.015246272527704602,1215.0,1245.0
connectivity,10000.0,10,8,30.0,0.01584164366907804,1230.0,1260.0
hybrid_topology,25.0,10,0,nan,0.516410544427102,1225.0,1120.0
hybrid_topology,35.0,10,0,nan,0.5189718774707056,1225.0,1120.0
hybrid_topology,50.0,10,0,nan,0.5178367618669086,1225.0,1120.0
hybrid_topology,75.0,10,0,nan,0.5195348986931422,1225.0,1120.0
hybrid_topology,100.0,10,0,nan,0.5162995606490222,1225.0,1120.0
hybrid_topology,150.0,10,0,nan,0.5078057863899197,1225.0,1135.0
hybrid_topology,225.0,10,0,nan,0.3695521212543039,1215.0,1150.0
hybrid_topology,300.0,10,0,nan,0.1967304590456302,1200.0,1165.0
hybrid_topology,325.0,1,0,nan,0.23831174931305274,1215.0,1155.0
hybrid_topology,350.0,1,0,nan,0.14580533198104456,1200.0,1160.0
hybrid_topology,375.0,1,0,nan,0.11432996283615285,1195.0,1165.0
hybrid_topology,400.0,1,0,nan,0.09137209835639387,1190.0,1165.0
hybrid_topology,425.0,1,0,nan,0.073925632303174,1185.0,1170.0
hybrid_topology,450.0,9,0,nan,0.05037551176252141,1165.0,1180.0
hybrid_topology,475.0,1,0,nan,0.05803686882847251,1180.0,1170.0
hybrid_topology,500.0,1,1,0.0,0.04887296288816132,1175.0,1175.0
hybrid_topology,550.0,1,1,0.0,0.04600524678066159,1175.0,1175.0
hybrid_topology,600.0,9,9,20.0,0.031734049063613295,1150.0,1185.0
hybrid_topology,800.0,9,9,35.0,0.02417440417510916,1140.0,1190.0
hybrid_topology,1000.0,9,9,35.0,0.022908499853705928,1140.0,1190.0
hybrid_topology,1500.0,9,9,45.0,0.02082584245988354,1140.0,1200.0
hybrid_topology,2000.0,9,9,55.0,0.0158722412793755,1130.0,1200.0
hybrid_topology,3000.0,9,9,55.0,0.018636251695877397,1140.0,1200.0
hybrid_topology,5000.0,9,9,60.0,0.017248296479570678,1140.0,1210.0
hybrid_topology,10000.0,10,9,75.0,0.017063571559624697,1150.0,1225.0
