design,model_style,G0_nm,rho0,T1_C,rho_switch,rho_target,growth_tolerance,first_step_attained,eligible_second_step_target,rho1,G1_nm,first_connected_coverage,T_lower_density_C,T_upper_no_growth_C,T_success_lower_C,T_success_upper_C,window_width_C,optimum_T2_C,minimum_required_growth_tolerance
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.88,0.025,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1200.0,1215.0,1200.0,1215.0,15.0,1200.0,0.00628652783894404
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.88,0.05,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1200.0,1235.0,1200.0,1235.0,35.0,1200.0,0.00628652783894404
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.88,0.075,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1200.0,1250.0,1200.0,1250.0,50.0,1200.0,0.00628652783894404
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.88,0.1,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1200.0,1270.0,1200.0,1270.0,70.0,1200.0,0.00628652783894404
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.88,0.15,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1200.0,1300.0,1200.0,1300.0,100.0,1200.0,0.00628652783894404
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.88,0.2,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1200.0,1350.0,1200.0,1350.0,150.0,1200.0,0.00628652783894404
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.9,0.025,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1225.0,1215.0,nan,nan,nan,nan,0.03059250783895929
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.9,0.05,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1225.0,1235.0,1225.0,1235.0,10.0,1225.0,0.03059250783895929
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.9,0.075,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1225.0,1250.0,1225.0,1250.0,25.0,1225.0,0.03059250783895929
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.9,0.1,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1225.0,1270.0,1225.0,1270.0,45.0,1225.0,0.03059250783895929
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.9,0.15,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1225.0,1300.0,1225.0,1300.0,75.0,1225.0,0.03059250783895929
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.9,0.2,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1225.0,1350.0,1225.0,1350.0,125.0,1225.0,0.03059250783895929
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.92,0.025,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1270.0,1215.0,nan,nan,nan,nan,0.09681168350431013
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.92,0.05,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1270.0,1235.0,nan,nan,nan,nan,0.09681168350431013
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.92,0.075,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1270.0,1250.0,nan,nan,nan,nan,0.09681168350431013
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.92,0.1,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1270.0,1270.0,1270.0,1270.0,0.0,1270.0,0.09681168350431013
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.92,0.15,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1270.0,1300.0,1270.0,1300.0,30.0,1270.0,0.09681168350431013
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.92,0.2,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,1270.0,1350.0,1270.0,1350.0,80.0,1270.0,0.09681168350431013
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.94,0.025,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1215.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.94,0.05,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1235.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.94,0.075,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1250.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.94,0.1,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1270.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.94,0.15,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1300.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.94,0.2,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1350.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.95,0.025,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1215.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.95,0.05,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1235.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.95,0.075,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1250.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.95,0.1,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1270.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.95,0.15,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1300.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.95,0.2,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1350.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.96,0.025,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1215.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.96,0.05,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1235.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.96,0.075,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1250.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.96,0.1,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1270.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.96,0.15,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1300.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.96,0.2,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1350.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.98,0.025,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1215.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.98,0.05,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1235.0,nan,nan,nan,nan,nan
upper_size_extension,connectivity,3000.0,0.7,1200.0,0.75,0.98,0.075,True,True,0.7501508346155588,3000.034043791683,0.9932656288191495,nan,1250.0,nan,nan,nan,nan,nan
