design,model_style,G0_nm,rho0,T1_C,rho_switch,T2_C,first_step_attained,first_step_budget_h,second_step_budget_h,density_gain,growth_fraction,rho1,G1_nm,first_time_h,first_mean_radius_nm,first_large_fraction,first_fine_fraction,first_f_pore,first_connected_coverage,first_isolation,first_activity,first_E_G,rho2,G2_nm,second_time_h,second_initial_rho_dot,second_final_rho_dot,second_initial_dGdt_nm_s,second_final_dGdt_nm_s,second_median_E_G,second_mean_radius_nm,second_large_fraction,second_fine_fraction,second_f_pore,second_connected_coverage,second_isolation,second_activity
size_onset_refinement,density,350.0,0.7,1300.0,0.825,900.0,True,96.0,96.0,2.554902480689236e-07,2.53785192340259e-08,0.8250000000000002,352.28595514441645,2.8349139281734383,48.32783898354767,0.06499435183561342,0.45199613548342066,0.6476023304047857,0.5704062403122019,0.015267153880374576,0.8118964727764294,7.903664563983129,0.8250002554902482,352.28596408491234,95.95,7.109539655480194e-13,7.681533089991991e-13,2.3721319759372752e-11,2.8082418177912667e-11,10.071165736232391,51.226817498444824,0.07246556501364494,0.39082325806991736,0.6212436358019882,0.5471889125337772,0.015267367273939179,0.07795506538994025
size_onset_refinement,density,350.0,0.7,1300.0,0.825,925.0,True,96.0,96.0,1.458086257843938e-06,1.448520446645737e-07,0.8250000000000002,352.28595514441645,2.8349139281734383,48.32783898354767,0.06499435183561342,0.45199613548342066,0.6476023304047857,0.5704062403122019,0.015267153880374576,0.8118964727764294,7.903664563983129,0.825001458086258,352.28600617375736,95.95,4.046446051554815e-12,4.3947136940369875e-12,1.3467537667943715e-10,1.6103116832203122e-10,10.070557484256835,51.38603219657258,0.07292565747937513,0.38780293858172926,0.6198468792937144,0.5459555243042996,0.015268371759738884,0.10400357672694323
size_onset_refinement,density,350.0,0.7,1300.0,0.825,950.0,True,96.0,96.0,7.773572308633625e-06,7.722490694250606e-07,0.8250000000000002,352.28595514441645,2.8349139281734383,48.32783898354767,0.06499435183561342,0.45199613548342066,0.6476023304047857,0.5704062403122019,0.015267153880374576,0.8118964727764294,7.903664563983129,0.8250077735723088,352.2862271969175,95.95,2.153747027441425e-11,2.346497381171117e-11,7.158927214845717e-10,8.607049538530079e-10,10.071015036282052,51.46266757281595,0.07314992548840575,0.38636280578891014,0.6191654337064518,0.5453388885004172,0.015273647929391483,0.13605720153319495
size_onset_refinement,density,350.0,0.7,1300.0,0.825,975.0,True,96.0,96.0,3.873183326907892e-05,3.847149993674928e-06,0.8250000000000002,352.28595514441645,2.8349139281734383,48.32783898354767,0.06499435183561342,0.45199613548342066,0.6476023304047857,0.5704062403122019,0.015267153880374576,0.8118964727764294,7.903664563983129,0.8250387318332693,352.28731044132655,95.95,1.0727124409181139e-10,1.1695260077756492e-10,3.5654452677447112e-09,4.288896550151369e-09,10.07265726127404,51.43778270869357,0.07308162637772024,0.3868407229523261,0.6193224939386017,0.5453966422123463,0.015299537478980869,0.17447581215401523
size_onset_refinement,density,350.0,0.7,1300.0,0.825,1000.0,True,96.0,96.0,0.0001799817876435572,1.788862378803353e-05,0.8250000000000002,352.28595514441645,2.8349139281734383,48.32783898354767,0.06499435183561342,0.45199613548342066,0.6476023304047857,0.5704062403122019,0.015267153880374576,0.8118964727764294,7.903664563983129,0.8251799817876437,352.29225705533383,95.95,4.987091800994334e-10,5.43224214041045e-10,1.659722323139794e-08,1.9924409335889752e-08,10.06635632334351,51.29270560034148,0.07268075116244323,0.3896308914518102,0.6203171557768168,0.545903367629854,0.015418210235003818,0.21922344301932384
size_onset_refinement,density,350.0,0.7,1300.0,0.825,1025.0,True,96.0,96.0,0.0007761089904406715,7.759673529117381e-05,0.8250000000000002,352.28595514441645,2.8349139281734383,48.32783898354767,0.06499435183561342,0.45199613548342066,0.6476023304047857,0.5704062403122019,0.015267153880374576,0.8118964727764294,7.903664563983129,0.8257761089904408,352.3132913844246,95.95,2.1465168582384397e-09,2.3463906749648196e-09,7.163610007749046e-08,8.683059222100381e-08,10.00864384662643,51.012316467445345,0.07196605402597575,0.39522300029389595,0.6216256243625162,0.5454757981246099,0.015929112879201342,0.269624331211482
size_onset_refinement,density,350.0,0.7,1300.0,0.825,1050.0,True,96.0,96.0,0.003082244342181406,0.0003171646680903197,0.8250000000000002,352.28595514441645,2.8349139281734383,48.32783898354767,0.06499435183561342,0.45199613548342066,0.6476023304047857,0.5704062403122019,0.015267153880374576,0.8118964727764294,7.903664563983129,0.8280822443421816,352.3976878024527,95.95,8.405636857811553e-09,9.433556402827447e-09,2.8179706707496003e-07,3.675131341347025e-07,9.738782813096769,50.62229195361627,0.07122050381567084,0.40377595785063636,0.620587979184934,0.5381942502667121,0.018067091155784698,0.3236636464921929
size_onset_refinement,density,350.0,0.7,1300.0,0.825,1075.0,True,96.0,96.0,0.011006334476999613,0.0012706333340942967,0.8250000000000002,352.28595514441645,2.8349139281734383,48.32783898354767,0.06499435183561342,0.45199613548342066,0.6476023304047857,0.5704062403122019,0.015267153880374576,0.8118964727764294,7.903664563983129,0.8360063344769998,352.7335814221562,95.95,2.9096394488649738e-08,3.4100399604498436e-08,9.81930866242545e-07,1.6556855036365854e-06,8.780027749006535,50.418944647168225,0.07189620512570825,0.41123980950753347,0.6065935341739919,0.5012385443592228,0.02778167831098676,0.3754948698872047
size_onset_refinement,density,350.0,0.7,1300.0,0.825,1100.0,True,96.0,96.0,0.029976567731320958,0.004944574489975885,0.8250000000000002,352.28595514441645,2.8349139281734383,48.32783898354767,0.06499435183561342,0.45199613548342066,0.6476023304047857,0.5704062403122019,0.015267153880374576,0.8118964727764294,7.903664563983129,0.8549765677313211,354.0278592914003,95.95,8.608261898420846e-08,7.445264267030886e-08,2.931840411814956e-06,7.2667580760480534e-06,6.3544994582884655,51.401721098317985,0.07790730288281818,0.4003098336292319,0.5574991663146144,0.38477195421765786,0.07576696988856968,0.4127993332961748
size_onset_refinement,density,350.0,0.7,1300.0,0.825,1125.0,True,96.0,96.0,0.050341202525545525,0.01505730446754862,0.8250000000000002,352.28595514441645,2.8349139281734383,48.32783898354767,0.06499435183561342,0.45199613548342066,0.6476023304047857,0.5704062403122019,0.015267153880374576,0.8118964727764294,7.903664563983129,0.8753412025255457,357.5904320306671,95.95,2.1363471304399967e-07,6.958201521610765e-08,7.366238498290972e-06,2.136435377218238e-05,3.1973790133647126,53.36812507883745,0.08800649874395285,0.3729545028609665,0.4944365227808528,0.24553125767400466,0.2026306403174035,0.4400118631377426
