model_style,rho0,peak_C,heating_rate_C_min,n_scored,n_positive,lowest_positive_G0_nm,highest_positive_G0_nm,max_HR_pct
density,0.6,1300.0,0.5,0,0,nan,nan,nan
density,0.6,1300.0,1.0,0,0,nan,nan,nan
density,0.6,1300.0,2.0,0,0,nan,nan,nan
density,0.6,1300.0,5.0,0,0,nan,nan,nan
density,0.6,1300.0,10.0,0,0,nan,nan,nan
density,0.6,1300.0,20.0,0,0,nan,nan,nan
density,0.6,1300.0,50.0,0,0,nan,nan,nan
density,0.6,1300.0,100.0,0,0,nan,nan,nan
density,0.6,1400.0,0.5,12,12,50.0,2000.0,4.4005199603018035
density,0.6,1400.0,1.0,8,8,225.0,2000.0,5.130825777230608
density,0.6,1400.0,2.0,8,8,225.0,2000.0,5.975001683147665
density,0.6,1400.0,5.0,7,7,300.0,2000.0,5.662103187022792
density,0.6,1400.0,10.0,7,7,300.0,2000.0,5.834462099576035
density,0.6,1400.0,20.0,7,7,300.0,2000.0,5.921655608788731
density,0.6,1400.0,50.0,7,7,300.0,2000.0,5.974413091206775
density,0.6,1400.0,100.0,7,7,300.0,2000.0,5.991894439731906
density,0.6,1450.0,0.5,14,10,25.0,2000.0,1.9700439135755343
density,0.6,1450.0,1.0,14,11,25.0,2000.0,3.690110708965055
density,0.6,1450.0,2.0,14,12,25.0,2000.0,4.657793989794939
density,0.6,1450.0,5.0,14,12,25.0,2000.0,5.274295818603189
density,0.6,1450.0,10.0,14,12,25.0,2000.0,5.487492204833169
density,0.6,1450.0,20.0,14,12,25.0,2000.0,5.595113407475122
density,0.6,1450.0,50.0,14,12,25.0,2000.0,5.660451428892003
density,0.6,1450.0,100.0,14,12,25.0,2000.0,5.682307111849023
density,0.7,1300.0,0.5,0,0,nan,nan,nan
density,0.7,1300.0,1.0,0,0,nan,nan,nan
density,0.7,1300.0,2.0,0,0,nan,nan,nan
density,0.7,1300.0,5.0,0,0,nan,nan,nan
density,0.7,1300.0,10.0,0,0,nan,nan,nan
density,0.7,1300.0,20.0,0,0,nan,nan,nan
density,0.7,1300.0,50.0,0,0,nan,nan,nan
density,0.7,1300.0,100.0,0,0,nan,nan,nan
density,0.7,1400.0,0.5,14,14,25.0,2000.0,4.8183327870393615
density,0.7,1400.0,1.0,9,9,150.0,2000.0,6.364368211290244
density,0.7,1400.0,2.0,8,8,225.0,2000.0,6.804810573232616
density,0.7,1400.0,5.0,8,8,225.0,2000.0,7.466036487678574
density,0.7,1400.0,10.0,8,8,225.0,2000.0,7.694890830778261
density,0.7,1400.0,20.0,8,8,225.0,2000.0,7.810891577501873
density,0.7,1400.0,50.0,8,8,225.0,2000.0,7.880855125567606
density,0.7,1400.0,100.0,8,8,225.0,2000.0,7.904309936808202
density,0.7,1450.0,0.5,14,10,25.0,2000.0,1.9779134953217796
density,0.7,1450.0,1.0,14,11,25.0,2000.0,3.9607913691478696
density,0.7,1450.0,2.0,14,12,25.0,2000.0,5.13133704067112
density,0.7,1450.0,5.0,14,12,25.0,2000.0,5.895109409387646
density,0.7,1450.0,10.0,14,12,25.0,2000.0,6.160720234299644
density,0.7,1450.0,20.0,14,12,25.0,2000.0,6.296225424197795
density,0.7,1450.0,50.0,14,12,25.0,2000.0,6.377682258354496
density,0.7,1450.0,100.0,14,12,25.0,2000.0,6.4054861934933385
density,0.8,1300.0,0.5,4,4,800.0,2000.0,0.09998221706360991
density,0.8,1300.0,1.0,4,4,800.0,2000.0,0.13365556054858319
density,0.8,1300.0,2.0,3,3,1000.0,2000.0,0.10593491178945512
density,0.8,1300.0,5.0,2,2,1500.0,2000.0,0.05667317665254651
