design,model_style,G0_nm,rho0,T1_C,rho_switch,rho_target,growth_tolerance,first_step_attained,eligible_second_step_target,rho1,G1_nm,first_connected_coverage,T_lower_density_C,T_upper_no_growth_C,T_success_lower_C,T_success_upper_C,window_width_C,optimum_T2_C,minimum_required_growth_tolerance
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.88,0.025,True,True,0.825,327.5509189749129,0.5468145154716242,1160.0,1155.0,nan,nan,nan,nan,0.030906395323202922
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.88,0.05,True,True,0.825,327.5509189749129,0.5468145154716242,1160.0,1165.0,1160.0,1165.0,5.0,1160.0,0.030906395323202922
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.88,0.075,True,True,0.825,327.5509189749129,0.5468145154716242,1160.0,1175.0,1160.0,1175.0,15.0,1160.0,0.030906395323202922
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.88,0.1,True,True,0.825,327.5509189749129,0.5468145154716242,1160.0,1185.0,1160.0,1185.0,25.0,1160.0,0.030906395323202922
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.88,0.15,True,True,0.825,327.5509189749129,0.5468145154716242,1160.0,1195.0,1160.0,1195.0,35.0,1160.0,0.030906395323202922
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.88,0.2,True,True,0.825,327.5509189749129,0.5468145154716242,1160.0,1205.0,1160.0,1205.0,45.0,1160.0,0.030906395323202922
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.9,0.025,True,True,0.825,327.5509189749129,0.5468145154716242,1215.0,1155.0,nan,nan,nan,nan,0.2266849402075724
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.9,0.05,True,True,0.825,327.5509189749129,0.5468145154716242,1215.0,1165.0,nan,nan,nan,nan,0.2266849402075724
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.9,0.075,True,True,0.825,327.5509189749129,0.5468145154716242,1215.0,1175.0,nan,nan,nan,nan,0.2266849402075724
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.9,0.1,True,True,0.825,327.5509189749129,0.5468145154716242,1215.0,1185.0,nan,nan,nan,nan,0.2266849402075724
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.9,0.15,True,True,0.825,327.5509189749129,0.5468145154716242,1215.0,1195.0,nan,nan,nan,nan,0.2266849402075724
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.9,0.2,True,True,0.825,327.5509189749129,0.5468145154716242,1215.0,1205.0,nan,nan,nan,nan,0.2266849402075724
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.92,0.025,True,True,0.825,327.5509189749129,0.5468145154716242,1350.0,1155.0,nan,nan,nan,nan,1.9386648084254625
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.92,0.05,True,True,0.825,327.5509189749129,0.5468145154716242,1350.0,1165.0,nan,nan,nan,nan,1.9386648084254625
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.92,0.075,True,True,0.825,327.5509189749129,0.5468145154716242,1350.0,1175.0,nan,nan,nan,nan,1.9386648084254625
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.92,0.1,True,True,0.825,327.5509189749129,0.5468145154716242,1350.0,1185.0,nan,nan,nan,nan,1.9386648084254625
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.92,0.15,True,True,0.825,327.5509189749129,0.5468145154716242,1350.0,1195.0,nan,nan,nan,nan,1.9386648084254625
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.92,0.2,True,True,0.825,327.5509189749129,0.5468145154716242,1350.0,1205.0,nan,nan,nan,nan,1.9386648084254625
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.94,0.025,True,True,0.825,327.5509189749129,0.5468145154716242,nan,1155.0,nan,nan,nan,nan,nan
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.94,0.05,True,True,0.825,327.5509189749129,0.5468145154716242,nan,1165.0,nan,nan,nan,nan,nan
size_onset_refinement,connectivity,325.0,0.7,1300.0,0.825,0.94,0.075,True,True,0.825,327.5509189749129,0.5468145154716242,nan,1175.0,nan,nan,nan,nan,nan
