model_style,G0_nm,matched_density,history_rate_C_min,history_reached,rho1,G1_nm,first_time_h,first_mean_radius_nm,first_large_fraction,first_fine_fraction,first_f_pore,first_connected_coverage,first_isolation,first_activity,first_E_G,rho2,G2_nm,second_time_h,second_initial_rho_dot,second_final_rho_dot,second_initial_dGdt_nm_s,second_final_dGdt_nm_s,second_median_E_G,second_mean_radius_nm,second_large_fraction,second_fine_fraction,second_f_pore,second_connected_coverage,second_isolation,second_activity
density,35.0,0.8,0.1,True,0.8002533611346672,137.1220473528551,208.8,66.81337919423193,0.1447533485499811,0.19744367576121774,0.2679706605960944,0.2551386659879731,0.003905408111771038,0.5738823698281801,0.19378635375859238,0.8813856250428981,264.5165987537761,95.95,7.258898030683272e-07,6.200013788970772e-08,0.00034925760986312447,0.0003220550574659071,0.08347959011305373,73.96368963742287,0.21058753628603358,0.15771565867141743,0.27419188162065145,0.11968165105312041,0.2622838255622479,0.44799146412110813
density,35.0,0.8,100.0,True,0.8003483558283218,158.25690564747507,0.822811835320012,46.59889432102296,0.057792533896494795,0.4815343578605423,0.4248883477987597,0.40446848574167993,0.003925992187348271,0.8895157861494082,0.2358648674292942,0.8876223525061178,258.5088689608197,95.95,1.1305387856470055e-06,4.9838949923353105e-08,0.00011526324166864236,0.0002847531531839587,0.0759625266255909,54.93066600671036,0.09609538677653336,0.3514255275905571,0.3502979269694436,0.1318490669886921,0.3345566955882904,0.5208080958418037
density,35.0,0.85,0.1,True,0.8500071590014624,189.3491710543127,213.95,70.70127046489215,0.17851783997453172,0.17411106887473168,0.2624050949026284,0.191818720846889,0.05855882533215189,0.6321427241503645,0.10628336311180367,0.8875479922671904,302.75912704936337,95.95,3.3170867933975e-07,4.171340325554999e-08,0.00033578852929286236,0.00028597155347109414,0.06072848282709526,74.7010842004951,0.21826703014849685,0.15433497221308942,0.29114446746623723,0.10978756257865692,0.33363761897487726,0.46630551406048
density,35.0,0.85,100.0,True,0.8503483558283217,206.12991040784908,1.2933300486044483,50.5638218135762,0.07475700793675319,0.4153484475810787,0.39288781970744713,0.28614418204779435,0.059612615735439425,0.8789412643489759,0.1276900906561187,0.8927866527199497,295.9757939880319,95.95,5.916022827223731e-07,3.5358833267941974e-08,0.00016254554474995066,0.0002484925415093747,0.06435702709887317,55.66301003437881,0.10001036505504708,0.34173159385900004,0.37151709946458866,0.12233127981592369,0.4011341958509844,0.5336110120449572
density,150.0,0.8,0.1,True,0.8002955377890829,162.0891738262587,204.25,67.15963805541254,0.1476042007591464,0.195170545058951,0.30689661420638326,0.29217699452880197,0.003914533924592165,0.5758714953012473,0.5520412388788649,0.8832260480950019,276.3834865139151,95.95,9.35890079807948e-07,5.5819172424894166e-08,0.00021395362552417146,0.0003097507832285284,0.08404952260265375,74.53515278194551,0.21660262132348526,0.15501299943471736,0.27884249728994503,0.116688267201218,0.28254219871631137,0.45327390218918284
density,150.0,0.8,100.0,True,0.800364826924447,176.83934804069125,0.6249738638438919,46.59856247279879,0.057794297924012056,0.4815532390382776,0.4610358304206911,0.43886484285856764,0.0039295722299305825,0.8966129484230866,0.4261977888987826,0.8890589661516868,268.7391838983329,95.95,1.2456754693089606e-06,4.585467292357618e-08,8.507205606717505e-05,0.0002733287925934713,0.07913220508436312,55.13072276568118,0.0971565581660251,0.3487558370424073,0.35652413968128527,0.12941893666720136,0.35255317292621513,0.5246879804686984
density,150.0,0.85,0.1,True,0.8500916502969624,194.71726730167674,210.7,71.05896563666164,0.18191267818453932,0.1721352025588116,0.26734564281128936,0.19525246464474644,0.05881813878529773,0.605360820687894,0.13756072310800935,0.8878352512507788,305.89486314272096,95.95,3.4948803881522566e-07,4.099643158864267e-08,0.00031604809299400283,0.00028353712128879036,0.061600922809514486,75.09245952922971,0.22249380551697767,0.15251153538801,0.2916281315716148,0.10918396006283843,0.33719501258240264,0.4666964157306772
density,150.0,0.85,100.0,True,0.8503648269244468,212.76322784089442,1.050986662030448,50.56403677360553,0.07476120804296818,0.4153573964229355,0.40252796908160904,0.29311271575163134,0.0596639337667004,0.8813311425894307,0.1534162550533263,0.8932072782656796,300.03177375272395,95.95,6.182298854994166e-07,3.4566364343452084e-08,0.00015005593451802724,0.00024465484952665445,0.06608629095054469,55.72470343822234,0.10034510740798813,0.3409312550246219,0.3740030217652667,0.12176410358188032,0.406760549760147,0.5350849357491114
density,600.0,0.8,0.1,True,0.8000049405886294,601.137253336625,200.4,65.43688276172182,0.13412165419739838,0.2070550258881749,0.7536905533833007,0.7179393912536542,0.0038520854490863513,0.7384473108795604,24.136591671780547,0.9049528887559959,653.6820706709761,95.95,1.8979490524556113e-06,2.8402369932393633e-08,4.6870310043657045e-05,0.00014780724278078472,0.3443085686984574,75.69009351737608,0.2288387323865421,0.15047170914604321,0.4621085655507421,0.10712167274508225,0.5683593555677651,0.5789408928336698
density,600.0,0.8,100.0,True,0.8007243144396041,601.1295419114472,0.49826032400763076,46.62021995635789,0.05788526395193283,0.48118740758439105,0.8771098865353154,0.8343489780804721,0.004008522966307923,0.9393291693673163,27.070103483197183,0.907497185445753,645.3791775985628,95.95,1.7909516900107166e-06,2.891490107149353e-08,2.3519499330346635e-05,0.00012481981009868946,0.4087445467343678,58.06656957775579,0.11344362501626852,0.31160360055149905,0.565908666028658,0.12120856189637473,0.6026478950930656,0.6278378341851838
density,600.0,0.85,0.1,True,0.8503205698155414,603.7966190113142,204.9,69.35070075489742,0.1664157993969807,0.182042847870342,0.6282787412357119,0.45771991608842255,0.059526138166035046,0.7437742709881717,5.4697248043668045,0.9058576356489673,658.7092238185531,95.95,1.0155244520345664e-06,2.4588359448616942e-08,0.00011072291332643273,0.00014502114040666024,0.2584447945400971,75.82607952474379,0.23030008018742448,0.14988570028798265,0.4608414519132913,0.10388691889124459,0.5806456001402808,0.5782090097680869
density,600.0,0.85,100.0,True,0.8507243144396042,603.4255825216387,0.7310323721999145,50.59733602261632,0.07491697548185851,0.4148492098858789,0.7669012068500699,0.5562520330947123,0.060794322655735776,0.931105684905956,6.198387501494558,0.90841181544556,650.1665354424521,95.95,1.0673343422999092e-06,2.4967958319868333e-08,8.119071261741773e-05,0.00012199849490006964,0.309685295699604,58.22734945364307,0.11438115416040534,0.309691977290324,0.5638862919539419,0.11733951225137745,0.6147499700200476,0.6269367134437946
