model_style,G0_nm,rho0,heating_rate_C_min,peak_target_C,actual_peak_C,time_budget_h,reached_0p90,G_at_0p90_nm,time_to_0p90_h,final_rho,final_G_nm,final_mean_radius_nm,final_fine_fraction,final_connected_coverage,peak_rho,peak_G_nm,peak_connected_coverage,HR_pct_vs_0p1,HR_pct_vs_0p2
connectivity,25.0,0.6,0.1,1300.0,1300.0,220.5,False,nan,nan,0.8739348054124174,225.8387133619252,57.81008298651717,0.3138480708922487,0.16819781331242717,0.8285402710138731,146.64110138053488,0.27806630939439253,nan,nan
connectivity,25.0,0.6,0.2,1300.0,1300.0,114.25,False,nan,nan,0.8577233673253597,184.12034208376642,55.78018267489445,0.3398437847065877,0.21170852553065056,0.7401119481910807,105.35171190921503,0.3769192129927762,nan,nan
connectivity,25.0,0.6,0.5,1300.0,1300.0,50.5,False,nan,nan,0.8376289238284077,157.91093974568508,53.65742359569221,0.3691169401694635,0.2639033231892523,0.6522085618933791,77.10333324075869,0.3940206959359822,nan,nan
connectivity,25.0,0.6,1.0,1300.0,1300.0,29.25,False,nan,nan,0.8282013994218433,149.92593941622124,52.776298474231254,0.38192516871612864,0.2850848980711253,0.6203641683350629,62.13191877175667,0.3620348181683003,nan,nan
connectivity,25.0,0.6,2.0,1300.0,1300.0,18.625,False,nan,nan,0.8223849921760217,145.7441834685478,52.26438276693943,0.3895386948763553,0.29683248470794465,0.607572272915667,50.59921535779835,0.316925621504644,nan,nan
connectivity,25.0,0.6,5.0,1300.0,1300.0,12.25,False,nan,nan,0.8187213315132641,143.32802594909091,51.95308967475549,0.3942329564793911,0.30371784640208294,0.602084028521686,39.314947572305456,0.2600774522074376,nan,nan
connectivity,25.0,0.6,10.0,1300.0,1300.0,10.125,False,nan,nan,0.8181324226952561,142.95336449249942,51.90311313758844,0.3949974943839321,0.3047935368309553,0.6008059433487126,33.310186573898406,0.22601804809597797,nan,nan
connectivity,25.0,0.6,20.0,1300.0,1300.0,9.0625,False,nan,nan,0.8174360489056913,142.51406346495483,51.84520165602336,0.3958769776407128,0.3060450303595866,0.6003424483379747,29.596332141944135,0.20384834925751918,nan,nan
connectivity,25.0,0.6,50.0,1300.0,1300.0,8.425,False,nan,nan,0.8171810184972766,142.35433260706577,51.82390722587537,0.3962022146541038,0.3065009346711616,0.6001216851801171,26.97481504978821,0.18772357579074525,nan,nan
connectivity,25.0,0.6,100.0,1300.0,1300.0,8.2125,False,nan,nan,0.8167618186393547,142.0933061857906,51.78951823690814,0.39672323168601903,0.3072428897989467,0.6000597279039421,26.04114776330081,0.18188837572646058,nan,nan
