attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,rho_high_final,rho_two_final,optimizer_score,iteration
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,True,False,opt_0_0,0.9948315436827146,0.9288681840100692,nan,0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,True,False,opt_0_1,0.994244298597165,0.9301255569623641,nan,0
True,0.01082809479658553,0.02582768442052441,0.0449588282437996,0.0,0.0,0.0008001457640924439,Tier_C,,300,True,True,True,opt_0_2,0.9939499100303507,0.9949496290280977,5.051655368841049,0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,True,False,opt_0_3,0.9009617636451182,0.9948529744740454,nan,0
True,0.008887023258970617,0.022839556795639426,0.041690844620830614,0.0,0.0,0.0007071796422302031,Tier_C,,300,True,True,True,opt_0_5,0.993797917574178,0.9947220678829058,5.045679113591278,0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,True,False,opt_0_6,0.994142071495482,0.9128779811820168,nan,0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,True,False,opt_0_7,0.9370236456875851,0.8842441111119774,nan,0
True,0.011560151732967872,0.025824660150754353,0.04514069801023257,0.0,0.0,0.0008081107262989522,Tier_C,,300,True,True,True,opt_0_107,0.9946270805773946,0.9949731785452042,5.051649320301509,0
True,0.00987088309450157,0.024848395302662585,0.04314752707234981,0.0,0.0,0.0007644874168153302,Tier_C,,300,True,True,True,opt_0_8,0.9938584436936324,0.9948672375655384,5.049696790605325,0
True,0.008022203687546914,0.02379453488509775,0.03904612840949495,0.0,0.0,0.0007152391615271412,Tier_C,,300,True,True,True,opt_0_108,0.9948843245833209,0.9948488175233028,5.047589069770195,0
True,0.02511455000476215,0.042131231328305874,0.0658994309413875,0.0,0.0,0.0013340794965610169,Tier_C,,200,True,True,True,opt_0_101,0.9945391234229876,0.9948027499705324,4.0842624626566115,0
True,0.027470981398324157,0.05721594784917283,0.10019689337938964,0.0,0.0,0.0018642865333985883,Tier_C,,100,True,True,True,opt_0_9,0.9945817987177944,0.9907821237020024,3.1144318956983454,0
True,0.01577324429722171,0.03409272887086545,0.05999431916714992,0.0,0.0,0.0010813915452551012,Tier_C,,100,True,True,True,opt_0_4,0.9940949590638876,0.9949649795141181,3.068185457741731,0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,True,False,opt_0_10,0.9252312656550925,0.9949035068614538,nan,0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,False,False,opt_0_14,0.9949667238501103,0.8989536108014682,nan,0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,True,False,opt_0_17,0.994845490305033,0.9075754905243153,nan,0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,True,False,opt_0_18,0.8304463572851734,0.8304463572851734,nan,0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,True,False,opt_0_19,0.994892934755676,0.9492514121892495,nan,0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,True,True,False,opt_0_22,0.9943885569944302,0.9183373933388358,nan,0
False,nan,nan,nan,0.0,0.0,0.0,reject,high_density_unattained,0.0,False,True,False,opt_0_23,0.9739669686896408,0.9259748887105332,nan,0
