iteration,best_score,median_score,evaluations
0,-1000000000.0,nan,128
1,5.087551457079442,nan,256
2,5.140607748863911,nan,384
3,5.140607748863911,nan,512
4,5.140607748863911,nan,640
5,5.211038496912542,nan,768
6,5.211038496912542,nan,896
7,5.211038496912542,nan,1024
8,5.211038496912542,nan,1152
9,5.211038496912542,nan,1280
10,5.211038496912542,nan,1408
11,5.211038496912542,nan,1536
12,5.211038496912542,nan,1664
13,5.211038496912542,nan,1792
14,5.211038496912542,nan,1920
15,5.211038496912542,nan,2048
16,5.275384801727793,nan,2176
17,5.275384801727793,nan,2304
18,5.275384801727793,nan,2432
19,5.275384801727793,nan,2560
20,5.275384801727793,nan,2688
21,5.275384801727793,nan,2816
22,5.275384801727793,nan,2944
23,5.275384801727793,nan,3072
24,5.320951066693839,nan,3200
25,5.320951066693839,nan,3328
26,5.320951066693839,nan,3456
27,5.320951066693839,nan,3584
28,5.320951066693839,nan,3712
29,5.320951066693839,nan,3840
30,5.320951066693839,nan,3968
31,5.320951066693839,nan,4096
32,5.320951066693839,nan,4224
33,5.3317232901821985,nan,4352
34,5.3317232901821985,nan,4480
35,5.3317232901821985,nan,4608
36,5.3317232901821985,nan,4736
37,5.3317232901821985,nan,4864
38,5.3317232901821985,nan,4992
39,5.3317232901821985,nan,5120
40,5.3317232901821985,nan,5248
41,5.3317232901821985,nan,5376
42,5.3317232901821985,nan,5504
43,5.3317232901821985,nan,5632
44,5.3317232901821985,nan,5760
45,5.3317232901821985,nan,5888
46,5.3317232901821985,nan,6016
47,5.3317232901821985,nan,6144
48,5.3317232901821985,2.1167659386833,6272
49,5.3317232901821985,2.1155868688278843,6400
