T2_C,classification,rho_final,growth_fraction,candidate_id,median_reduction,span20,window_width_C,lower_bracketed,upper_bracketed,complete
1200,grain_growth,0.9845800549425209,1.0766293841820591,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1225,grain_growth,0.9858689818179833,1.1383813785690715,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1250,grain_growth,0.9866436047161855,1.2506431429858638,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1275,grain_growth,0.9871950293559736,1.4428299884932132,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1300,grain_growth,0.9878288463150638,1.7513936791878155,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1325,grain_growth,0.9893312736568505,2.2022976951067865,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1350,grain_growth,0.9925101627926246,2.7674684125012696,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1375,grain_growth,0.9949733188181998,3.1495633270795045,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1400,grain_growth,0.9949681449873646,2.980113427885188,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1425,grain_growth,0.9948964753939599,2.365377985652109,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1450,grain_growth,0.9949706076011878,1.7962975702594584,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1475,grain_growth,0.9949253339153071,1.544943507416126,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1500,grain_growth,0.9947286052448416,1.8178609900088754,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1525,grain_growth,0.9947286052448416,2.208721598077756,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
1550,grain_growth,0.9947286052448416,2.735684146371463,B_4412,0.3064196992144472,0.029999999999996696,0.0,False,True,False
