attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,rho_high_final,rho_two_final
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,A_full,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,A_plus_B_migration,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,A_plus_B_drive,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_PR_0,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_coalescence_0,0.994745543383889,0.9949852584012715
True,0.08101196939503552,0.10446008949486318,0.13572617617846616,0.0,0.0,0.0033935975780166813,Tier_C,,75,True,True,True,morph_coalescence_0.1,0.9947616583500579,0.9949799232908332
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_closed_0,0.994745543383889,0.9949852584012715
True,0.09056523699391006,0.11248790692751531,0.14089655906403387,0.0,0.0,0.003610675947372758,Tier_C,,50,True,True,True,morph_closed_0.1,0.9945764727032513,0.9949837331474196
True,0.09018445446131651,0.11181355567022899,0.14106889324148975,0.0,0.0,0.0036046742047091385,Tier_C,,50,True,True,True,morph_closed_0.25,0.994921491365838,0.9949632177512047
True,0.08964710280418364,0.11084371517216007,0.14132893852456518,0.0,0.0,0.003589225767652219,Tier_C,,25,True,True,True,morph_closed_0.4,0.994681548220992,0.9949758598393204
True,0.08910496176516858,0.11001826304361739,0.14119933178142308,0.0,0.0,0.0035712222646348017,Tier_C,,25,True,True,True,morph_closed_0.5,0.9945199775019761,0.9949632183042612
True,0.0883483981661487,0.10896545508098665,0.1407973530859763,0.0,0.0,0.003544608862681836,Tier_C,,25,True,True,True,morph_closed_0.6,0.9943568917561479,0.9949997244991186
True,0.08670531754173316,0.10677788877545402,0.13890439626776985,0.0,0.0,0.0034812141239806316,Tier_C,,25,True,True,True,morph_closed_0.75,0.9947778051955026,0.9949946727999881
True,0.0840361169935191,0.10336751813256184,0.1334085196095438,0.0,0.0,0.0033712059782946687,Tier_C,,25,True,True,True,morph_closed_0.9,0.9944151430073205,0.9949933810835534
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_migration_0,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_migration_0.1,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_migration_0.25,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_migration_0.4,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_migration_0.5,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_migration_0.6,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_migration_0.75,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_migration_0.9,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_migration_1,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_drive_0,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_drive_0.1,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_drive_0.25,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_drive_0.4,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_drive_0.5,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_drive_0.6,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_drive_0.75,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_drive_0.9,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_drive_1,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_PR_closed_0,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_PR_drive_0,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_PR_closed_drive_0,0.994745543383889,0.9949852584012715
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_coalescence_closed_0,0.994745543383889,0.9949852584012715
True,0.08080278781377548,0.10407919636737983,0.13635591057095942,0.0,0.0,0.003393500352215667,Tier_C,,75,True,True,True,morph_coalescence_closed_0.1,0.9945715985071722,0.9949602281386873
True,0.0907606029619834,0.11282604664289253,0.1415061067401049,0.0,0.0,0.0036109037296671496,Tier_C,,50,True,True,True,morph_PR_coalescence_closed_migration_drive_0,0.994745543383889,0.9949852584012715
