attained,min_reduction,median_reduction,max_reduction,span20,span30,A_TS,tier,rejection_reason,window_width_C,lower_bracketed,upper_bracketed,complete,candidate_id,rho_high_final,rho_two_final,blocks,lambda
True,0.6186055280565732,0.6284544208701567,0.6382320578207648,0.029999999999996696,0.029999999999996696,0.02967976914487068,Tier_B,,50,True,True,True,morph_PR_0,0.9949700662161614,0.9948014974458911,PR,0
True,0.07899221138544987,0.11494237424798148,0.13661322366452489,0.0,0.0,0.003499760492885685,Tier_C,,0.0,False,True,False,morph_PR_0.1,0.994472263455503,0.9947960135811755,PR,0.1
True,0.026134379178950784,0.03900565778856857,0.05737567088676232,0.0,0.0,0.0012220882962570784,Tier_C,,0.0,False,True,False,morph_PR_0.25,0.9948922396268167,0.994980599123923,PR,0.25
True,0.02693952113474629,0.04177984318557926,0.06363569834875205,0.0,0.0,0.001320930144232537,Tier_C,,0.0,False,True,False,morph_PR_0.4,0.9947345614593551,0.9949962957720652,PR,0.4
True,0.02833741328741224,0.04372056935888202,0.06623744302619661,0.0,0.0,0.001378625757926619,Tier_C,,0.0,False,True,False,morph_PR_0.5,0.9943875625627915,0.9948234145041392,PR,0.5
True,0.029103465942107887,0.04401042315075765,0.06422653338298845,0.0,0.0,0.001377652157615226,Tier_C,,0.0,False,True,False,morph_PR_0.6,0.9943870351723361,0.9949501174320058,PR,0.6
True,0.04549785109070281,0.06555001191547671,0.09104345155118299,0.0,0.0,0.002064165872276696,Tier_C,,0.0,False,True,False,morph_PR_0.75,0.9942478552496237,0.994997475326933,PR,0.75
True,0.05861219041705812,0.07978363600503713,0.10715004846711185,0.0,0.0,0.0025280454989692787,Tier_C,,0.0,False,True,False,morph_PR_0.9,0.9947365741264145,0.9949899607628373,PR,0.9
True,0.06875907633218714,0.09033641504752976,0.1208502315068063,0.0,0.0,0.002891799336840568,Tier_C,,0.0,False,True,False,morph_PR_1,0.9946279472304073,0.9947799421982177,PR,1
True,0.6186055280565732,0.6284544208701567,0.6382320578207648,0.029999999999996696,0.029999999999996696,0.02967976914487068,Tier_B,,50,True,True,True,morph_coalescence_0,0.9949700662161614,0.9948014974458911,coalescence,0
True,0.6023476231312093,0.612080964023227,0.6211258497021173,0.029999999999996696,0.029999999999996696,0.028382041125106484,Tier_B,,75,True,True,True,morph_coalescence_0.1,0.9949729713622053,0.9948545631260902,coalescence,0.1
True,0.5547293196079284,0.5683900534047135,0.5794689417953893,0.029999999999996696,0.029999999999996696,0.02519250070304277,Tier_C,,0.0,False,True,False,morph_coalescence_0.25,0.9941252331067193,0.9949298683439601,coalescence,0.25
True,0.5057594646670455,0.518860354926568,0.5328817130053022,0.029999999999996696,0.029999999999996696,0.021983772161018496,Tier_C,,0.0,False,True,False,morph_coalescence_0.4,0.9946037250335661,0.994751273946103,coalescence,0.4
True,0.4571206291050467,0.4751496138321366,0.4920683344372395,0.029999999999996696,0.029999999999996696,0.019289463722250443,Tier_C,,0.0,False,True,False,morph_coalescence_0.5,0.9941008732208529,0.9948916565214819,coalescence,0.5
True,0.38053060658291216,0.4096133242289788,0.43474026885692163,0.029999999999996696,0.029999999999996696,0.015895355837983415,Tier_C,,0.0,False,True,False,morph_coalescence_0.6,0.9944765819141916,0.99474386775733,coalescence,0.6
True,0.2135096628921096,0.2638811670707697,0.3026291397131031,0.029999999999996696,0.0029999999999996696,0.009287637972531581,Tier_C,,0.0,False,True,False,morph_coalescence_0.75,0.9949858113513985,0.9948967819067165,coalescence,0.75
True,0.1388120400277113,0.1697005254947298,0.20265754994201557,0.0009999999999998899,0.0,0.005636283193785629,Tier_C,,0.0,False,True,False,morph_coalescence_0.9,0.9943740166324437,0.9948932135763483,coalescence,0.9
True,0.13209176610022955,0.1635408480099757,0.20657760365727262,0.0017999999999998018,0.0,0.005433978998185696,Tier_C,,0.0,False,True,False,morph_coalescence_1,0.994837353390628,0.994890399598124,coalescence,1
True,0.6186055280565732,0.6284544208701567,0.6382320578207648,0.029999999999996696,0.029999999999996696,0.02967976914487068,Tier_B,,50,True,True,True,morph_closed_0,0.9949700662161614,0.9948014974458911,closed,0
True,0.618574061297026,0.6288306341542848,0.6384089771177437,0.029999999999996696,0.029999999999996696,0.0297001135399799,Tier_B,,50,True,True,True,morph_closed_0.1,0.9946483577152777,0.9949593780132957,closed,0.1
True,0.6185187078069769,0.629526024623412,0.6384889820385258,0.029999999999996696,0.029999999999996696,0.029731337352226023,Tier_B,,50,True,True,True,morph_closed_0.25,0.9941219502252912,0.9948584645856222,closed,0.25
True,0.6184504340741899,0.6294131184084483,0.6381712866392536,0.029999999999996696,0.029999999999996696,0.029761595261194197,Tier_B,,25,True,True,True,morph_closed_0.4,0.9946407599298973,0.9949582252097865,closed,0.4
True,0.6186814558540614,0.6292831171439252,0.6378704441365592,0.029999999999996696,0.029999999999996696,0.02978022929247675,Tier_B,,25,True,True,True,morph_closed_0.5,0.9942789491317129,0.9949641043606917,closed,0.5
True,0.61962197820453,0.6291170666330627,0.6383231219904821,0.029999999999996696,0.029999999999996696,0.029795733932530617,Tier_B,,25,True,True,True,morph_closed_0.6,0.9947977410968807,0.9948460774282508,closed,0.6
True,0.6209277953876005,0.6295017770787694,0.6379894965777917,0.029999999999996696,0.029999999999996696,0.029808523599792615,Tier_B,,25,True,True,True,morph_closed_0.75,0.9942359548507735,0.9949513172224397,closed,0.75
True,0.6216877767044275,0.6304420725945943,0.636459241248658,0.029999999999996696,0.029999999999996696,0.029791259320351614,Tier_B,,25,True,True,True,morph_closed_0.9,0.994563571954109,0.9949303640965569,closed,0.9
True,0.6214196443455587,0.6299590739772725,0.634638594910425,0.029999999999996696,0.029999999999996696,0.029747315070041237,Tier_C,,0.0,True,True,False,morph_closed_1,0.9949933538261807,0.9949957775345535,closed,1
True,0.6186055280565732,0.6284544208701567,0.6382320578207648,0.029999999999996696,0.029999999999996696,0.02967976914487068,Tier_B,,50,True,True,True,morph_migration_0,0.9949700662161614,0.9948014974458911,migration,0
