parameter_id,mechanism_mode,G0_nm,T1_C,rho_switch,growth_tolerance,map_type,T2_min_searched_C,T2_max_searched_C,T2_cap_C,extension_model_extrapolative,state_group_id,equivalent_route_count,boundary_status,n_success,mechanism_id,heating_rate_C_min,T_at_switch_C,rho1,G1_nm,first_step_growth_fraction,X_J,Lambda_over_K_TJ,P_comp_TJ,f_GBseg,f_TJ,f_iso_location,C_GBseg,C_TJ,f_clean_GB,T_lower_density_C,T_first_success_C,T_last_success_C,T_upper_growth_C,window_width_C,lower_bracketed,upper_bracketed
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.72,0.05,practical,900.0,1245.0,1550.0,True,state_0001,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,1.0,1250.0,0.7202234197534727,50.39609758900662,0.007921951780132446,0.016193917387361263,0.45957960038755485,0.14307663713128815,0.5695496270954904,0.32321987042700356,0.10723050247750603,0.1398205072789035,0.07061823044279802,0.8601794927210965,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.72,0.1,practical,900.0,1245.0,1550.0,True,state_0001,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,1.0,1250.0,0.7202234197534727,50.39609758900662,0.007921951780132446,0.016193917387361263,0.45957960038755485,0.14307663713128815,0.5695496270954904,0.32321987042700356,0.10723050247750603,0.1398205072789035,0.07061823044279802,0.8601794927210965,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.75,0.05,practical,900.0,1245.0,1550.0,True,state_0002,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,1.0,1250.0,0.7501021102321264,51.12334833976914,0.022466966795382747,0.04156267643456315,0.46556234010366565,0.1467255512368647,0.5181845066944584,0.36175310452153814,0.12006238878400345,0.11138436106482064,0.07171663813975926,0.8886156389351794,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.75,0.1,practical,900.0,1245.0,1550.0,True,state_0002,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,1.0,1250.0,0.7501021102321264,51.12334833976914,0.022466966795382747,0.04156267643456315,0.46556234010366565,0.1467255512368647,0.5181845066944584,0.36175310452153814,0.12006238878400345,0.11138436106482064,0.07171663813975926,0.8886156389351794,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.8,0.05,practical,900.0,1245.0,1550.0,True,state_0003,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,1.0,1250.0,0.8000096449189653,52.890329716120874,0.057806594322417484,0.09772843864892435,0.45554738184362054,0.14839034468956225,0.4109069200120441,0.4388706110230282,0.15022246896492766,0.0661933783315598,0.07130442180535934,0.9338066216684402,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.8,0.1,practical,900.0,1245.0,1550.0,True,state_0003,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,1.0,1250.0,0.8000096449189653,52.890329716120874,0.057806594322417484,0.09772843864892435,0.45554738184362054,0.14839034468956225,0.4109069200120441,0.4388706110230282,0.15022246896492766,0.0661933783315598,0.07130442180535934,0.9338066216684402,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.72,0.05,practical,900.0,1245.0,1550.0,True,state_0004,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,5.0,1250.0,0.7201894106819009,50.47034749944575,0.009406949988915017,0.015089730164840203,0.4583891870857093,0.14292833754662093,0.5701094143897333,0.3226731606158068,0.10721742499445981,0.14020277689378668,0.07071420925631955,0.8597972231062133,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.72,0.1,practical,900.0,1245.0,1550.0,True,state_0004,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,5.0,1250.0,0.7201894106819009,50.47034749944575,0.009406949988915017,0.015089730164840203,0.4583891870857093,0.14292833754662093,0.5701094143897333,0.3226731606158068,0.10721742499445981,0.14020277689378668,0.07071420925631955,0.8597972231062133,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.75,0.05,practical,900.0,1245.0,1550.0,True,state_0005,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,5.0,1250.0,0.750155868046789,51.21124014212627,0.024224802842525435,0.04053503722918484,0.46433162744208634,0.14659978519512717,0.5186332790880365,0.36127855233697487,0.12008816857498862,0.11166200961976547,0.07185071844373214,0.8883379903802345,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.75,0.1,practical,900.0,1245.0,1550.0,True,state_0005,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,5.0,1250.0,0.750155868046789,51.21124014212627,0.024224802842525435,0.04053503722918484,0.46433162744208634,0.14659978519512717,0.5186332790880365,0.36127855233697487,0.12008816857498862,0.11166200961976547,0.07185071844373214,0.8883379903802345,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.8,0.05,practical,900.0,1245.0,1550.0,True,state_0006,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,5.0,1250.0,0.8000637669905755,52.9924369526648,0.05984873905329593,0.09673197254106314,0.45434103567588446,0.1482914810427597,0.41137903634465284,0.4383582237393381,0.15026273991600914,0.06639425589693837,0.07147690257364225,0.9336057441030616,,,,,,,
mech_009,persistent_tj_multihit_q1,50.0,1250.0,0.8,0.1,practical,900.0,1245.0,1550.0,True,state_0006,1,LOWER_BOUND_RIGHT_CENSORED,0,mech_009,5.0,1250.0,0.8000637669905755,52.9924369526648,0.05984873905329593,0.09673197254106314,0.45434103567588446,0.1482914810427597,0.41137903634465284,0.4383582237393381,0.15026273991600914,0.06639425589693837,0.07147690257364225,0.9336057441030616,,,,,,,
