iteration,best_score,median_score,material_id
1,5.246392169419014,-1.7086887738820977,E0021
2,5.2605032769569675,4.90342860486648,E0021
3,5.798803564087292,5.081670068349114,E0021
4,13.546834113881854,5.229157139221358,E0021
5,13.621184877880069,9.11305330164068,E0021
6,13.624852827979037,8.936801572313541,E0021
7,13.628260809460157,9.296098973610688,E0021
8,13.628260809460157,6.692454211006457,E0021
9,13.632646163069245,12.891115087695146,E0021
10,13.63386024999096,11.521223848724091,E0021
11,13.63386024999096,13.407975895038245,E0021
12,13.634422661326738,13.38421712786603,E0021
13,13.63446941773028,13.57223025514654,E0021
14,13.634507054073687,13.30767827087671,E0021
15,13.634686176328444,13.450696100846557,E0021
16,13.634971925533867,13.610524173797213,E0021
17,13.63513142182146,6.650059319281635,E0021
18,13.635205717797326,13.610673425062373,E0021
19,13.635205717797326,13.550660078443336,E0021
20,13.635205717797326,13.567127314263725,E0021
21,13.635217818468533,13.496496484211125,E0021
22,13.635341345892572,13.548401021683048,E0021
23,13.635341345892572,13.620089829793962,E0021
24,13.635341345892572,13.564767071354389,E0021
25,13.635341345892572,13.616734717120206,E0021
1,6.817748536372979,-0.15125269531161933,E0142
2,10.509556246330536,6.63446486058405,E0142
3,13.979074918903686,6.692159342572729,E0142
4,14.899967745091795,6.791942104720047,E0142
5,15.240358104277833,14.39729409717648,E0142
6,15.240358104277833,14.913957279631997,E0142
7,15.240358104277833,8.80483700620789,E0142
8,15.252800192897105,15.130111566753946,E0142
9,15.252800192897105,15.098134117707485,E0142
10,15.252974616665055,14.590696023111903,E0142
11,15.254017361603896,15.191285025904815,E0142
12,15.255298542754156,15.21172689282643,E0142
13,15.255298542754156,15.212492842900238,E0142
14,15.255298542754156,15.202131958449243,E0142
15,15.255298542754156,15.203897725944628,E0142
16,15.255298542754156,15.178421673671274,E0142
17,15.255298542754156,15.21329431016489,E0142
18,15.255298542754156,15.219689099604421,E0142
19,15.255298542754156,15.222740418438512,E0142
20,15.255369563430795,15.222404348468645,E0142
21,15.255369563430795,15.216532472818436,E0142
22,15.255369563430795,15.220896107839152,E0142
23,15.25546757974791,15.228904427396037,E0142
24,15.25546757974791,15.225203022501578,E0142
25,15.25546757974791,8.2725584137549,E0142
