family,dynamic_state_variables,equations,density_changing_channels,migration_only_channels,conservative_redistribution_channels,projection_only
connected_removable,"C_rem_GBseg,C_rem_TJ,removable_pore_memory",latent_topology_memory_model.derivatives/advance,none,migration_factor,connected inventory bookkeeping,False
persistent_junction_segment,"X_J,junction_density,segment_length,C_TJ_constraint",latent_topology_memory_model.derivatives/advance,none,migration_factor,connected inventory bookkeeping,False
residual_stress_work,"sigma_res_GBseg,sigma_res_TJ,stored_PR_work,stored_shear_work",latent_topology_memory_model.derivatives/advance,none,migration_factor,connected inventory bookkeeping,False
combined,all declared states,latent_topology_memory_model.derivatives/advance,none,migration_factor,connected inventory bookkeeping,False
